name,id_name
01 ai yi base (6b),yi-unknown-unknown-unknown-unknown-6-unknown-base-false
01 ai yi chat (34b),yi-unknown-unknown-unknown-unknown-34-unknown-chat-false
34b vanilla language model,vanilla-language-unknown-unknown-unknown-34-unknown-unknown-false
70b vanilla language model,vanilla-language-unknown-unknown-unknown-70-unknown-unknown-false
7b vanilla language model,vanilla-language-unknown-unknown-unknown-7-unknown-unknown-false
8x7b vanilla language model,vanilla-language-unknown-unknown-unknown-8x7-unknown-unknown-false
abab6.5g,abab-g-unknown-6.5-unknown-unknown-unknown-unknown-false
abab6.5s,abab-s-unknown-6.5-unknown-unknown-unknown-unknown-false
abab6.5t,abab-t-unknown-6.5-unknown-unknown-unknown-unknown-false
ada (fine tuning),ada-unknown-unknown-unknown-unknown-unknown-unknown-unknown-true
ai21 jurrasic 2 grande,jurrasic-grande-unknown-2-unknown-unknown-unknown-unknown-false
ai21 jurrasic 2 grande instruct,jurrasic-grande-unknown-2-unknown-unknown-unknown-instruct-false
ai21 jurrasic 2 jumbo,jurrasic-jumbo-unknown-2-unknown-unknown-unknown-unknown-false
ai21 jurrasic 2 jumbo instruct,jurrasic-jumbo-unknown-2-unknown-unknown-unknown-instruct-false
ai21 jurrasic 2 large,jurrasic-large-unknown-2-unknown-unknown-unknown-unknown-false
ai21 text summarize,unknown-text-unknown-unknown-unknown-unknown-unknown-summarize-false
ai21: jamba 1.5 large,jamba-large-unknown-1.5-unknown-unknown-unknown-unknown-false
ai21: jamba 1.5 mini,jamba-mini-unknown-1.5-unknown-unknown-unknown-unknown-false
ai21: jamba instruct,jamba-unknown-unknown-unknown-unknown-unknown-unknown-instruct-false
airoboros 70b,airoboros-unknown-unknown-unknown-unknown-70-unknown-unknown-false
airoboros gptq (33b),airoboros-gptq-unknown-unknown-unknown-33-unknown-unknown-false
allam 1 13b instruct,allam-unknown-unknown-1-unknown-13-unknown-instruct-false
alpaca (7b),alpaca-unknown-unknown-unknown-unknown-7-unknown-unknown-false
amazon titan text express,titan-text-express-unknown-unknown-unknown-unknown-unknown-unknown-false
amazon titan text lite,titan-text-lite-unknown-unknown-unknown-unknown-unknown-unknown-false
amazon titan text premier,titan-text-premier-unknown-unknown-unknown-unknown-unknown-unknown-false
