name,id_name
aiqr (50 steps),aiqr-unknown-unknown-unknown-unknown-50-false-unknown-false
amazon titan image generator 1024,amazontitan-unknown-unknown-1-1024x1024-unknown-false-unknown-false
analog diffusion,analogdiffusion-unknown-unknown-1-unknown-unknown-false-unknown-false
analog diffusion (100 steps 1024x1024),analogdiffusion-unknown-unknown-1-1024x1024-100-false-unknown-false
analog diffusion (100 steps 512x512),analogdiffusion-unknown-unknown-1-512x512-100-false-unknown-false
analog diffusion (25 steps 1024x1024),analogdiffusion-unknown-unknown-1-1024x1024-25-false-unknown-false
analog diffusion (25 steps 512x512),analogdiffusion-unknown-unknown-1-512x512-25-false-unknown-false
analog diffusion (50 steps 1024x1024),analogdiffusion-unknown-unknown-1-1024x1024-50-false-unknown-false
analog diffusion (50 steps 512x512),analogdiffusion-unknown-unknown-1-512x512-50-false-unknown-false
analog diffusion (75 steps 1024x1024),analogdiffusion-unknown-unknown-1-1024x1024-75-false-unknown-false
analog diffusion (75 steps 512x512),analogdiffusion-unknown-unknown-1-512x512-75-false-unknown-false
analog diffusion 1024,analogdiffusion-unknown-unknown-1-1024x1024-unknown-false-unknown-false
analog diffusion 512,analogdiffusion-unknown-unknown-1-512x512-unknown-false-unknown-false
black forest labs/flux dev,flux-dev-unknown-1-unknown-unknown-false-unknown-false
black forest labs/flux pro,flux-pro-unknown-1-unknown-unknown-false-unknown-false
black forest labs/flux schnell,flux-schnell-unknown-1-unknown-unknown-false-unknown-false
cogview 3,cogview-unknown-unknown-3-unknown-unknown-false-unknown-false
cogview 3 plus,cogview-plus-unknown-3-unknown-unknown-false-unknown-false
controlnet,controlnet-unknown-unknown-1-unknown-unknown-false-unknown-false
controlnet (100 steps 1024x1024),controlnet-unknown-unknown-1-1024x1024-100-false-unknown-false
controlnet (100 steps 512x512),controlnet-unknown-unknown-1-512x512-100-false-unknown-false
controlnet (25 steps 1024x1024),controlnet-unknown-unknown-1-1024x1024-25-false-unknown-false
controlnet (25 steps 512x512),controlnet-unknown-unknown-1-512x512-25-false-unknown-false
controlnet (50 steps 1024x1024),controlnet-unknown-unknown-1-1024x1024-50-false-unknown-false
controlnet (50 steps 512x512),controlnet-unknown-unknown-1-512x512-50-false-unknown-false
controlnet (75 steps 1024x1024),controlnet-unknown-unknown-1-1024x1024-75-false-unknown-false
controlnet (75 steps 512x512),controlnet-unknown-unknown-1-512x512-75-false-unknown-false
core,core-unknown-unknown-1-unknown-unknown-false-unknown-false
dalle 2 1024,dalle-unknown-unknown-2-1024x1024-unknown-false-unknown-false
dalle 2 256,dalle-unknown-unknown-2-256x256-unknown-false-unknown-false
dalle 2 512,dalle-unknown-unknown-2-512x512-unknown-false-unknown-false
dalle 3 1024,dalle-unknown-unknown-3-1024x1024-unknown-false-unknown-false
dalle 3 1024 hd,dalle-unknown-unknown-3-1024x1024-unknown-true-unknown-false
dalle 3 1792,dalle-unknown-unknown-3-1792x1792-unknown-false-unknown-false
dalle 3 1792 hd,dalle-unknown-unknown-3-1792x1792-unknown-true-unknown-false
diffusion stable 3.5 medium,stablediffusion-medium-unknown-3.5-unknown-unknown-false-unknown-false
dreamshaper 8 lcm (50 steps 1024x1024),dreamshaper-lcm-unknown-8-1024x1024-50-false-unknown-false
dreamshaper 8 lcm (50 steps 2048x2048),dreamshaper-lcm-unknown-8-2048x2048-50-false-unknown-false
dreamshaper 8 lcm (50 steps 512x512),dreamshaper-lcm-unknown-8-512x512-50-false-unknown-false
flux,flux-unknown-unknown-1-unknown-unknown-false-unknown-false
flux 1 schnell (50 steps 1024x1024),flux-schnell-unknown-1-1024x1024-50-false-unknown-false
flux 1 schnell (50 steps 2048x2048),flux-schnell-unknown-1-2048x2048-50-false-unknown-false
flux 1 schnell (50 steps 512x512),flux-schnell-unknown-1-512x512-50-false-unknown-false
flux 1.1 [pro] 1024,flux-pro-unknown-1.1-1024x1024-unknown-false-unknown-false
flux dev (1024x1024 50 steps),flux-dev-unknown-1-1024x1024-50-false-unknown-false
flux dev (512x512 50 steps),flux-dev-unknown-1-512x512-50-false-unknown-false
flux dev (768x768 50 steps),flux-dev-unknown-1-768x768-50-false-unknown-false
flux realism lora (100 steps 1024x1024),flux-realism-unknown-1-1024x1024-100-false-unknown-true
flux realism lora (100 steps 512x512),flux-realism-unknown-1-512x512-100-false-unknown-true
flux realism lora (25 steps 1024x1024),flux-realism-unknown-1-1024x1024-25-false-unknown-true
flux realism lora (25 steps 512x512),flux-realism-unknown-1-512x512-25-false-unknown-true
flux realism lora (50 steps 1024x1024),flux-realism-unknown-1-1024x1024-50-false-unknown-true
flux realism lora (50 steps 512x512),flux-realism-unknown-1-512x512-50-false-unknown-true
flux realism lora (75 steps 1024x1024),flux-realism-unknown-1-1024x1024-75-false-unknown-true
flux realism lora (75 steps 512x512),flux-realism-unknown-1-512x512-75-false-unknown-true
flux realism lora 1024,flux-realism-unknown-1-1024x1024-unknown-false-unknown-true
flux.1 [dev] (100 steps 1024x1024),flux-dev-unknown-1-1024x1024-100-false-unknown-false
flux.1 [dev] (100 steps 512x512),flux-dev-unknown-1-512x512-100-false-unknown-false
flux.1 [dev] (25 steps 1024x1024),flux-dev-unknown-1-1024x1024-25-false-unknown-false
flux.1 [dev] (25 steps 512x512),flux-dev-unknown-1-512x512-25-false-unknown-false
flux.1 [dev] (30 steps 1024x1024),flux-dev-unknown-1-1024x1024-30-false-unknown-false
flux.1 [dev] (50 steps 1024x1024),flux-dev-unknown-1-1024x1024-50-false-unknown-false
flux.1 [dev] (50 steps 512x512),flux-dev-unknown-1-512x512-50-false-unknown-false
flux.1 [dev] (75 steps 1024x1024),flux-dev-unknown-1-1024x1024-75-false-unknown-false
flux.1 [dev] (75 steps 512x512),flux-dev-unknown-1-512x512-75-false-unknown-false
flux.1 [dev] 1024,flux-dev-unknown-1-1024x1024-unknown-false-unknown-false
flux.1 [dev] 1024x1024,flux-dev-unknown-1-1024x1024-unknown-false-unknown-false
flux.1 [dev] with pretrained loras (30 steps 1024x1024),flux-dev-lora-1-1024x1024-30-false-unknown-false
flux.1 [dév] 30 steps,flux-dev-unknown-1-unknown-30-false-unknown-false
flux.1 [dév] fp8 30 steps,flux-dev-fp8-1-unknown-30-false-unknown-false
flux.1 [pro],flux-pro-unknown-1-unknown-unknown-false-unknown-false
flux.1 [pro] (100 steps 1024x1024),flux-pro-unknown-1-1024x1024-100-false-unknown-false
flux.1 [pro] (100 steps 512x512),flux-pro-unknown-1-512x512-100-false-unknown-false
flux.1 [pro] (25 steps 1024x1024),flux-pro-unknown-1-1024x1024-25-false-unknown-false
flux.1 [pro] (25 steps 512x512),flux-pro-unknown-1-512x512-25-false-unknown-false
flux.1 [pro] (50 steps 1024x1024),flux-pro-unknown-1-1024x1024-50-false-unknown-false
flux.1 [pro] (50 steps 512x512),flux-pro-unknown-1-512x512-50-false-unknown-false
flux.1 [pro] (75 steps 1024x1024),flux-pro-unknown-1-1024x1024-75-false-unknown-false
flux.1 [pro] (75 steps 512x512),flux-pro-unknown-1-512x512-75-false-unknown-false
flux.1 [pro] 1024,flux-pro-unknown-1-1024x1024-unknown-false-unknown-false
flux.1 [pro] 1024x1024,flux-pro-unknown-1-1024x1024-unknown-false-unknown-false
flux.1 [schnell],flux-schnell-unknown-1-unknown-unknown-false-unknown-false
flux.1 [schnell] (100 steps 1024x1024),flux-schnell-unknown-1-1024x1024-100-false-unknown-false
flux.1 [schnell] (100 steps 512x512),flux-schnell-unknown-1-512x512-100-false-unknown-false
flux.1 [schnell] (25 steps 1024x1024),flux-schnell-unknown-1-1024x1024-25-false-unknown-false
flux.1 [schnell] (25 steps 512x512),flux-schnell-unknown-1-512x512-25-false-unknown-false
flux.1 [schnell] (4 steps 1024x1024),flux-schnell-unknown-1-1024x1024-4-false-unknown-false
flux.1 [schnell] (50 steps 1024x1024),flux-schnell-unknown-1-1024x1024-50-false-unknown-false
flux.1 [schnell] (50 steps 512x512),flux-schnell-unknown-1-512x512-50-false-unknown-false
flux.1 [schnell] (75 steps 1024x1024),flux-schnell-unknown-1-1024x1024-75-false-unknown-false
flux.1 [schnell] (75 steps 512x512),flux-schnell-unknown-1-512x512-75-false-unknown-false
flux.1 [schnell] 1024,flux-schnell-unknown-1-1024x1024-unknown-false-unknown-false
flux.1 [schnell] 1024x1024,flux-schnell-unknown-1-1024x1024-unknown-false-unknown-false
flux.1 [schnell] 30 steps,flux-schnell-unknown-1-unknown-30-false-unknown-false
flux.1 [schnell] fp8 30 steps,flux-schnell-fp8-1-unknown-30-false-unknown-false
flux.1 [schnell] free,flux-schnell-free-1-unknown-unknown-false-unknown-false
flux.1 [schnell] with pretrained loras (4 steps 1024x1024),flux-schnell-loras-1-1024x1024-4-false-unknown-false
flux1.1 [pro],flux-pro-unknown-1.1-unknown-unknown-false-unknown-false
ideogram version 0.2 default,ideogram-unknown-default-0.2-unknown-unknown-false-unknown-false
ideogram version 1.0 default,ideogram-unknown-default-1-unknown-unknown-false-unknown-false
ideogram version 1.0 turbo,ideogram-unknown-turbo-1-unknown-unknown-false-unknown-false
ideogram version 2.0 default,ideogram-unknown-default-2-unknown-unknown-false-unknown-false
ideogram version 2.0 quality,ideogram-unknown-quality-2-unknown-unknown-false-unknown-false
ideogram version 2.0 turbo,ideogram-unknown-turbo-2-unknown-unknown-false-unknown-false
imagen,imagen-unknown-unknown-1-unknown-unknown-false-unknown-false
imagen 2,imagen-unknown-unknown-2-unknown-unknown-false-unknown-false
imagen 3,imagen-unknown-unknown-3-unknown-unknown-false-unknown-false
imagen 3 fast,imagen-fast-unknown-3-unknown-unknown-false-unknown-false
japonese stable diffusion xl 30 steps,stablediffusion-xl-japonese-1-unknown-30-false-unknown-false
juggernaut v9 and xi (30 steps),juggernaut-unknown-unknown-9-unknown-30-false-unknown-false
juggernaut v9 and xi lighting (4 steps),juggernaut-lighting-unknown-9-unknown-4-false-unknown-false
midjourney version 1,midjourney-unknown-unknown-1-unknown-unknown-false-unknown-false
