name,id_name
amazon titan image generator v1 512,titan-image-generator-unknown-1-unknown-512-unknown-unknown-false
amazon titan image generator v1 512 hd,titan-image-generator-hd-1-unknown-512-unknown-unknown-false
amazon titan image generator v2 1024,titan-image-generator-unknown-2-unknown-1024-unknown-unknown-false
amazon titan image generator v2 1024 hd,titan-image-generator-hd-2-unknown-1024-unknown-unknown-false
amazon titan image generator v2 512,titan-image-generator-unknown-2-unknown-512-unknown-unknown-false
amazon titan image generator v2 512 hd,titan-image-generator-hd-2-unknown-512-unknown-unknown-false
anthropic: claude 3 haiku,claude-haiku-unknown-3-unknown-unknown-unknown-false
anthropic: claude 3 haiku (self moderated),claude-haiku-unknown-3-unknown-unknown-unknown-false
anthropic: claude 3 opus,claude-opus-unknown-3-unknown-unknown-unknown-false
anthropic: claude 3 opus (self moderated),claude-opus-unknown-3-unknown-unknown-unknown-false
anthropic: claude 3 sonnet,claude-sonnet-unknown-3-unknown-unknown-unknown-false
anthropic: claude 3 sonnet (self moderated),claude-sonnet-unknown-3-unknown-unknown-unknown-false
anthropic: claude 3.5 sonnet,claude-sonnet-unknown-3.5-unknown-unknown-unknown-false
anthropic: claude 3.5 sonnet (self moderated),claude-sonnet-unknown-3.5-unknown-unknown-unknown-false
base,base-unknown-unknown-unknown-unknown-unknown-unknown-false
chat gpt 4o latest,chatgpt-4o-latest-unknown-unknown-unknown-unknown-false
claude 3 haiku,claude-haiku-unknown-3-unknown-unknown-unknown-false
claude 3 opus,claude-opus-unknown-3-unknown-unknown-unknown-false
claude 3 sonnet,claude-sonnet-unknown-3-unknown-unknown-unknown-false
claude 3.5 haiku,claude-haiku-unknown-3.5-unknown-unknown-unknown-false
claude 3.5 sonnet,claude-sonnet-unknown-3.5-unknown-unknown-unknown-false
claude 3.5 sonnet 20241022,claude-sonnet-unknown-3.5-20241022-unknown-unknown-unknown-false
extended,extended-unknown-unknown-unknown-unknown-unknown-unknown-false
firellava 13b,firellava-unknown-unknown-unknown-13-unknown-unknown-false
gemini 1.0 pro,gemini-pro-unknown-1.0-unknown-unknown-unknown-false
gemini 1.5 flash,gemini-flash-unknown-1.5-unknown-unknown-unknown-false
gemini 1.5 flash (<128 k),gemini-flash-unknown-1.5-unknown-unknown-unknown-false
gemini 1.5 flash 128k,gemini-flash-unknown-1.5-unknown-unknown-128-unknown-false
gemini 1.5 pro,gemini-pro-unknown-1.5-unknown-unknown-unknown-false
gemini 1.5 pro (<128k),gemini-pro-unknown-1.5-unknown-unknown-unknown-false
gemini 1.5 pro 128k,gemini-pro-unknown-1.5-unknown-unknown-128-unknown-false
gemini pro,gemini-pro-unknown-unknown-unknown-unknown-unknown-false
glm 4 0520,glm-unknown-unknown-4-0520-unknown-unknown-false
glm 4v,glm-unknown-unknown-4-unknown-unknown-unknown-unknown-false
google: gemini flash 1.5,gemini-flash-unknown-1.5-unknown-unknown-unknown-false
google: gemini flash 1.5 (preview),gemini-flash-unknown-1.5-unknown-unknown-unknown-false
google: gemini flash 1.5 experimental,gemini-flash-unknown-1.5-unknown-unknown-unknown-false
google: gemini pro 1.0,gemini-pro-unknown-1.0-unknown-unknown-unknown-false
google: gemini pro 1.5 experimental,gemini-pro-unknown-1.5-unknown-unknown-unknown-false
google: gemini pro vision 1.0,gemini-pro-vision-unknown-1.0-unknown-unknown-unknown-false
gpt 3.5 16k 0613,gpt-unknown-unknown-3.5-0613-unknown-16-unknown-false
gpt 3.5 16k 1106,gpt-unknown-unknown-3.5-1106-unknown-16-unknown-false
gpt 3.5 4k 0301,gpt-unknown-unknown-3.5-0301-unknown-4-unknown-false
gpt 3.5 4k 0613,gpt-unknown-unknown-3.5-0613-unknown-4-unknown-false
gpt 3.5 turbo 0613 (16k),gpt-turbo-unknown-3.5-0613-unknown-16-unknown-false
gpt 3.5 turbo 16k,gpt-turbo-unknown-3.5-unknown-16-unknown-unknown-false
gpt 3.5 turbo 16k 0613,gpt-turbo-unknown-3.5-0613-unknown-16-unknown-false
gpt 3.5 turbo 4k,gpt-turbo-unknown-3.5-unknown-4-unknown-false
gpt 4,gpt-unknown-unknown-4-unknown-unknown-unknown-false
gpt 4 0 2024 08 06,gpt-unknown-4-0-20240806-unknown-unknown-unknown-false
gpt 4 0 global deployment,gpt-unknown-4-0-unknown-unknown-unknown-unknown-false
gpt 4 0 mini global deployment,gpt-unknown-4-0-mini-unknown-unknown-unknown-false
