id_name,company,date_release,speed_index,quality_index,country_company
audio-intelligence-unknown-unknown,core,2022-05-19,,,USA
aura-stt-unknown-unknown,deepgram,2024-09-27,,,USA
base-unknown-unknown-unknown,deepgram,2021-01-05,162.0,0.739,USA
core-transcription-unknown-unknown,core,2022-05-19,,,USA
nova-unknown-unknown-1,deepgram,2023-12-22,,,USA
nova-unknown-unknown-2,deepgram,2023-12-22,,,USA
whisper-cloud-unknown-unknown,openai,2023-04-15,43.9,0.897,USA
whisper-distil-unknown-unknown,openai,2024-08-25,201.8,0.87,USA
enhanced-unknown-unknown-unknown,deepgram,2022-12-01,,,USA
gladia-unknown-unknown-unknown,gladia,2023-06-20,20.6,0.871,FRA
redaction-unknown-unknown-unknown,deepgram,2023-12-22,,,USA
speechmatics-enhanced-transcription-unknown,speechmatics,2022-12-04,9.1,0.914,GBR
speechmatics-litemode-transcription-unknown,speechmatics,2024-10-31,17.7,0.874,GBR
speechmatics-standard-transcription-unknown,speechmatics,2022-12-04,17.7,0.874,GBR
speechmatics-translation-unknown-unknown,speechmatics,2024-10-31,17.7,0.874,GBR
universal-unknown-unknown-1,assemblyai,2024-10-31,57.8,0.913,USA
universal-nano-unknown-unknown,assemblyai,2024-10-31,81.1,0.873,USA
whisper-unknown-unknown-unknown,openai,2023-03-23,43.9,0.897,USA
whisper-unknown-unknown-2,openai,2024-10-21,26.275,0.8925,USA
whisper-unknown-unknown-3,openai,2024-06-19,223.3,0.897,USA
whisper-large-unknown-unknown,openai,2023-07-29,26.275,0.8925,USA
whisper-large-unknown-3,openai,2024-06-02,223.3,0.897,USA
whisper-medium-unknown-unknown,openai,2023-07-29,4.4,0.872,USA
whisper-small-unknown-unknown,openai,2023-07-29,2.5,0.83,USA
whisper-tiny-unknown-unknown,openai,2023-07-29,43.9,0.897,USA
whisper-large-turbo-3,openai,2024-10-21,221.1,0.94,USA
whisper-turbo-unknown-3,openai,2024-06-19,223.3,0.897,USA
whisperx-unknown-unknown-unknown,openai,2024-01-03,21.3,0.891,USA
azure-ai-speech-unknown-unknown,microsoft,2024-09-30,2.0,0.874,USA
