id_name,company,date_release,quality_index,speed_index,country,Word Error Rate (%),Median Speed Factor
audio-intelligence-unknown-unknown,core,2022-05-19,,,USA,,
aura-stt-unknown-unknown,deepgram,2024-09-27,,,USA,,
base-unknown-unknown-unknown,deepgram,2021-01-05,26.1,162.0,USA,0.261,162.0
core-transcription-unknown-unknown,core,2022-05-19,,,USA,,
deepgram-nova-unknown-unknown,deepgram,2023-04-15,,,USA,,
deepgram-nova-unknown-2,deepgram,2024-09-27,,,USA,,
deepgram-whisper-cloud-unknown,openai,2023-04-15,,,USA,,
whisper-distil-unknown-unknown,openai,2024-08-25,13.0,201.8,USA,0.13,201.8
enhanced-unknown-unknown-unknown,deepgram,2022-12-01,,,USA,,
gladia-unknown-unknown-unknown,gladia,2023-06-20,12.9,20.6,FR,0.129,20.6
nova-unknown-unknown-1,deepgram,2023-12-22,15.1,129.2,USA,0.151,129.2
nova-unknown-unknown-2,deepgram,2023-12-22,15.1,129.2,USA,0.151,129.2
redaction-unknown-unknown-unknown,deepgram,2023-12-22,,,USA,,
speechmatics-transcription-enhanced-unknown,speechmatics,2022-12-04,12.6,17.7,GBR,0.126,17.7
speechmatics-transcription-lite-mode-unknown,speechmatics,2024-10-31,,,GBR,,
speechmatics-transcription-standard-unknown,speechmatics,2022-12-04,12.6,17.7,GBR,0.126,17.7
speechmatics-translation-unknown-unknown,speechmatics,2024-10-31,12.6,17.7,GBR,0.126,17.7
universal-unknown-unknown-1,universal,2024-10-31,,,USA,,
universal-nano-unknown-unknown,universal,2024-10-31,,,USA,,
whisper-unknown-unknown-unknown,openai,2023-03-23,10.3,43.9,USA,0.10300000000000001,43.9
whisper-unknown-unknown-2,openai,2024-10-21,10.75,26.275,USA,0.106,34.6
whisper-unknown-unknown-3,openai,2024-10-21,7.725,111.85,USA,0.10300000000000001,3.0
whisper-base-unknown-unknown,openai,2023-07-29,10.3,43.9,USA,0.10300000000000001,43.9
whisper-large-unknown-unknown,openai,2023-07-29,10.75,26.275,USA,0.106,34.6
whisper-large-unknown-3,openai,2024-06-02,7.725,111.85,USA,0.10300000000000001,3.0
whisper-medium-unknown-unknown,openai,2023-07-29,12.8,4.4,USA,0.128,4.4
whisper-small-unknown-unknown,openai,2023-07-29,17.0,2.5,USA,0.17,2.5
whisper-tiny-unknown-unknown,openai,2023-07-29,10.3,43.9,USA,0.10300000000000001,43.9
whisper-unknown-3,openai,2024-06-19,,,USA,,
whisper-large-turbo-3,openai,2024-10-21,6.0,221.1,USA,0.12,187.1
whisperx-unknown-unknown-unknown,openai,2024-01-03,10.9,21.3,USA,0.109,21.3
azure-ai-speech-unknown-unknown,microsoft,2024-09-30,12.6,2.0,USA,0.126,2.0
