id_name,number_of_parameters,context_window,finetuned,company,date_release,aa_ae_rating,quality_index,aa_mmlu_rating,aa_gpqa_rating,aa_humaneval_rating,aa_math_rating,aa_mgsm_rating,livebench_rating,hf_ae_rating,hf_mmlu_rating,hf_mt_rating,speed_index,latence_first_chunk,country_company
abab-g-unknown-6.5-unknown-unknown-unknown-unknown-false,,8000.0,False,minimaxi,2024-09-27,,,,,,,,,,,,,,CHN
abab-s-unknown-6.5-unknown-unknown-unknown-unknown-false,,245000.0,False,minimaxi,2024-09-27,,,,,,,,,,,,,,CHN
abab-t-unknown-6.5-unknown-unknown-unknown-unknown-false,,8000.0,False,minimaxi,2024-09-27,,,,,,,,,,,,,,CHN
ada-unknown-unknown-unknown-unknown-unknown-unknown-instruct-false,,,False,openai,2022-11-17,,,,,,,,,,,,,,USA
ada-unknown-unknown-unknown-unknown-unknown-unknown-unknown-true,,,True,openai,2022-11-17,,,,,,,,,,,,,,USA
airoboros-gptq-unknown-unknown-unknown-33-unknown-unknown-false,,,False,jondurbin,2024-10-04,,,,,,,,,,,,,,USA
airoboros-unknown-unknown-l2-unknown-70-unknown-unknown-false,70.0,4096.0,False,jondurbin,2024-10-23,,,,,,,,,,,,,,USA
airoboros-unknown-unknown-unknown-unknown-70-unknown-unknown-false,70.0,4096.0,False,jondurbin,2024-10-12,,,,,,,,,,,,,,USA
allam-unknown-unknown-1-unknown-13-unknown-instruct-false,13.0,4096.0,False,sdaia,2024-07-22,,,,,,,,,,,,,,SAU
alpaca-unknown-unknown-unknown-unknown-7-unknown-unknown-false,7.0,2048.0,False,stanford university,2023-03-13,,0.316,,,,,,,911.5,0.4810000000000001,4.529999999999999,,,USA
babbage-base-unknown-unknown-2-unknown-unknown-unknown-false,,,False,openai,2024-01-23,,,,,,,,,,,,,,USA
babbage-unknown-unknown-unknown-2-unknown-unknown-unknown-false,20.0,8000.0,False,openai,2021-09-01,,,,,,,,,,,,,,USA
babbage-unknown-unknown-unknown-2-unknown-unknown-unknown-true,,8000.0,True,openai,2023-08-23,,,,,,,,,,,,,,USA
babbage-unknown-unknown-unknown-unknown-unknown-unknown-false,,,False,openai,2020-05-03,,,,,,,,,,,,,,USA
babbage-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,False,openai,2020-05-03,,,,,,,,,,,,,,USA
babbage-unknown-unknown-unknown-unknown-unknown-unknown-unknown-true,,,True,openai,2022-11-17,,,,,,,,,,,,,,USA
