id_name,chatbot_arena_elo,quality_index,mmlu,gpqa,humaneval,math,mgsm,median_output_tokens_per_second,chatbot_arena_elo_merge,quality_index_merge,mmlu_merge,gpqa_merge,humaneval_merge,math_merge,mgsm_merge,median_output_tokens_per_second_merge,id_name_merge,Global Average,Global Average_merge
yi-unknown-unknown-unknown-unknown-6-unknown-base-false,,,,,,,,,,,,,,,,,,,
yi-unknown-unknown-unknown-unknown-34-unknown-chat-false,,,,,,,,,,,,,,,,,,,
vanilla-language-unknown-unknown-unknown-34-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
vanilla-language-unknown-unknown-unknown-70-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
vanilla-language-unknown-unknown-unknown-7-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
vanilla-language-unknown-unknown-unknown-8x7-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
abab-g-unknown-6.5-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
abab-s-unknown-6.5-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
abab-t-unknown-6.5-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
ada-unknown-unknown-unknown-unknown-unknown-unknown-unknown-true,,,,,,,,,,,,,,,,,,,
jurrasic-grande-unknown-2-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
jurrasic-grande-unknown-2-unknown-unknown-unknown-instruct-false,,,,,,,,,,,,,,,,,,,
jurrasic-jumbo-unknown-2-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
jurrasic-jumbo-unknown-2-unknown-unknown-unknown-instruct-false,,,,,,,,,,,,,,,,,,,
jurrasic-large-unknown-2-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
unknown-text-unknown-unknown-unknown-unknown-unknown-summarize-false,,,,,,,,,,,,,,,,,,,
jamba-large-unknown-1.5-unknown-unknown-unknown-unknown-false,,64.0,0.804,0.41,0.741,0.603,0.741,51.0652203449513,,64.0,0.804,0.41,0.741,0.603,0.741,51.0652203449513,jamba-large-unknown-1.5-unknown-unknown-unknown-unknown-false,,
jamba-mini-unknown-1.5-unknown-unknown-unknown-unknown-false,,45.6,0.634,0.26,0.61,0.321,0.296,82.6360186722809,,45.6,0.634,0.26,0.61,0.321,0.296,82.6360186722809,jamba-mini-unknown-1.5-unknown-unknown-unknown-unknown-false,,
jamba-unknown-unknown-unknown-unknown-unknown-unknown-instruct-false,,,,,,,,,,,,,,,,,,,
airoboros-unknown-unknown-unknown-unknown-70-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
airoboros-gptq-unknown-unknown-unknown-33-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
allam-unknown-unknown-1-unknown-13-unknown-instruct-false,,,,,,,,,,,,,,,,,,,
alpaca-unknown-unknown-unknown-unknown-7-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
titan-text-express-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
titan-text-lite-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
titan-text-premier-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
claude-instant-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
claude-unknown-unknown-1-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
claude-unknown-unknown-2-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
claude-instant-unknown-1.1-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
claude-unknown-moderated-2-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
claude-unknown-unknown-2.1-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
claude-unknown-moderated-2.1-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
babbage-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
babbage-unknown-unknown-unknown-2-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
babbage-base-unknown-unknown-2-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
babbage-unknown-unknown-unknown-2-unknown-unknown-unknown-true,,,,,,,,,,,,,,,,,,,
baichuan-npc-lite-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
baichuan-npc-turbo-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
baichuan-unknown-unknown-2-unknown-53-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
baichuan-unknown-turbo-2-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
baichuan-unknown-turbo-2-unknown-unknown-192-unknown-false,,,,,,,,,,,,,,,,,,,
baichuan-unknown-turbo-3-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
baichuan-unknown-turbo-3-unknown-unknown-128-unknown-false,,,,,,,,,,,,,,,,,,,
baichuan-unknown-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
base-control-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
bge-large-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
capybara-unknown-unknown-unknown-unknown-34-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
ml318br-unknown-carson-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
characterglm-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
charglm-unknown-unknown-3-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,,,,
gpt-turbo-unknown-3.5-unknown-unknown-unknown-chat-false,,,,,,,,,,,,,,,,,,,
gpt-turbo-unknown-3.5-0125-unknown-unknown-chat-false,,,,,,,,,,,,,,,,,,,
gpt-turbo-unknown-3.5-1106-unknown-unknown-chat-false,,,,,,,,,,,,,,,,,,,
gpt-turbo-unknown-3.5-unknown-unknown-unknown-instruct-false,,,,,,,,,,,,,,,,,,,
gpt-unknown-unknown-4-unknown-unknown-unknown-chat-false,,,,,,,,,1186.0,,,,,,,23.3512764768917,gpt-unknown-unknown-4-unknown-unknown-unknown-false,,45.14
gpt-unknown-unknown-4-unknown-unknown-unknown-chat-false,,,,,,,,,1186.0,,,,,,,23.3512764768917,gpt-unknown-unknown-4-unknown-unknown-unknown-false,,45.14
gpt-unknown-unknown-4-unknown-unknown-32-chat-false,,,,,,,,,1186.0,,,,,,,23.3512764768917,gpt-unknown-unknown-4-unknown-unknown-unknown-false,,45.14
gpt-unknown-unknown-4-unknown-unknown-32-chat-false,,,,,,,,,1186.0,,,,,,,23.3512764768917,gpt-unknown-unknown-4-unknown-unknown-unknown-false,,45.14
gpt-unknown-turbo-4-unknown-unknown-unknown-chat-false,,,,,,,,,1257.0,74.3,0.865,0.497,0.872,0.736,0.9,35.7885663785505,gpt-unknown-turbo-4-unknown-unknown-unknown-false,,51.83
gpt-unknown-turbo-4-unknown-unknown-unknown-chat-false,,,,,,,,,1257.0,74.3,0.865,0.497,0.872,0.736,0.9,35.7885663785505,gpt-unknown-turbo-4-unknown-unknown-unknown-false,,51.83
gpt-4o-unknown-unknown-unknown-unknown-unknown-chat-false,,,,,,,,,1337.0,77.2,0.886,0.514,0.905,0.783,0.901,82.104636395751,gpt-4o-unknown-unknown-202408-unknown-unknown-unknown-false,,56.03
gpt-4o-unknown-unknown-unknown-unknown-unknown-chat-false,,,,,,,,,1337.0,77.2,0.886,0.514,0.905,0.783,0.901,82.104636395751,gpt-4o-unknown-unknown-202408-unknown-unknown-unknown-false,,56.03
gpt-4o-unknown-unknown-unknown-unknown-unknown-chat-false,,,,,,,,,1337.0,77.2,0.886,0.514,0.905,0.783,0.901,82.104636395751,gpt-4o-unknown-unknown-202408-unknown-unknown-unknown-false,,56.03
gpt-4o-unknown-unknown-unknown-unknown-unknown-chat-false,,,,,,,,,1337.0,77.2,0.886,0.514,0.905,0.783,0.901,82.104636395751,gpt-4o-unknown-unknown-202408-unknown-unknown-unknown-false,,56.03
gpt-4o-unknown-unknown-unknown-unknown-unknown-chat-false,,,,,,,,,1337.0,77.2,0.886,0.514,0.905,0.783,0.901,82.104636395751,gpt-4o-unknown-unknown-202408-unknown-unknown-unknown-false,,53.98
gpt-4o-unknown-unknown-unknown-unknown-unknown-chat-false,,,,,,,,,1337.0,77.2,0.886,0.514,0.905,0.783,0.901,82.104636395751,gpt-4o-unknown-unknown-202408-unknown-unknown-unknown-false,,53.98
gpt-4o-unknown-unknown-unknown-unknown-unknown-chat-false,,,,,,,,,1337.0,77.2,0.886,0.514,0.905,0.783,0.901,82.104636395751,gpt-4o-unknown-unknown-202408-unknown-unknown-unknown-false,,53.98
