name,id_name,2023-03-07,2023-03-31,2023-06-27,2023-08-31,2023-09-30,2023-12-31,2024-01-20,2024-02-15,2024-04-01,2024-07-03,2024-08-26,2024-09-27,2024-10-21
jamba 1.5 large,jamba-large-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,
jamba 1.5 mini,jamba-mini-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,
jamba-instruct,jamba-unknown-unknown-unknown-unknown-unknown-unknown-instruct-false,,,,,,,,,,,,,
jumbo grande (base & instruct),jumbo-grande-unknown-unknown-unknown-unknown-unknown-instruct-false,,,,,,,,,,,,,
jumbo grande,jumbo-grande-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,
jumbo large (base),jumbo-large-unknown-unknown-unknown-unknown-unknown-base-false,,,,,,,,,,,,,
jumbo large,jumbo-large-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,
jumbo (base & instruct),jumbo-unknown-unknown-unknown-unknown-unknown-unknown-instruct-false,,,,,,,,,,,,,
jumbo,jumbo-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,
jurassic-2 light,jurassic-light-unknown-2-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,
jurassic-light,jurassic-light-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,
jurassic-2 mid,jurassic-mid-unknown-2-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,
jurassic-mid,jurassic-mid-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,
jurassic-2 ultra,jurassic-ultra-unknown-2-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,
jurassic-ultra,jurassic-ultra-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,
jurassic-2 chat,jurassic-unknown-unknown-2-unknown-unknown-unknown-chat-false,,,,,,,,,,,,,
