name,2024-06-18,2024-07-03,2024-08-26,2024-09-27,2024-10-21
01-ai yi base (6b),0.25999999999999995,,,0.21000000000000002,0.21000000000000002
alpaca (7b),0.25999999999999995,0.25999999999999995,0.25999999999999995,0.21000000000000002,0.21000000000000002
chat gpt 3.5 turbo,,,,4.2,4.2
chat gpt 4,,,,63.0,63.0
chat gpt 4 32k,,,,126.0,126.0
chat gpt 4 turbo,,,,31.5,31.5
chat gpt 4o mini,,,,0.63,0.63
chat gpt-3.5 turbo 0125,,,,1.58,1.58
chat gpt-3.5 turbo 1106,,,,2.1,2.1
chat gpt-3.5 turbo instruct,,,,2.1,2.1
chat gpt-4o,,,,15.75,15.75
claude 3 haiku,,,,1.31,1.31
claude 3 opus,,,,78.75,78.75
claude 3 sonnet,,,,15.75,15.75
claude 3.5 sonnet,,,,15.75,15.75
claude 3.5 sonnet 20241022,,,,15.75,15.75
claude-3-haiku,1.625,1.625,1.625,,
claude-3-opus,97.5,97.5,97.5,,
claude-3-sonnet,19.5,19.5,19.5,,
claude-3.5-sonnet,,,19.5,,
code llama (70b),,1.17,1.17,0.94,0.94
code llama instruct (13b),0.39,0.39,0.39,0.23,0.23
code llama instruct (34b),1.0399999999999998,1.0399999999999998,1.0399999999999998,0.82,0.82
code llama instruct (70b),,1.17,1.17,0.94,0.94
code llama instruct (7b),0.25999999999999995,0.25999999999999995,0.25999999999999995,0.21000000000000002,0.21000000000000002
code llama python (13b),0.39,0.39,0.39,0.23,0.23
code llama python (34b),1.0399999999999998,1.0399999999999998,1.0399999999999998,0.82,0.82
code llama python (70b),,1.17,1.17,0.94,0.94
code llama python (7b),0.25999999999999995,0.25999999999999995,0.25999999999999995,0.21000000000000002,0.21000000000000002
codegen2 (16b),,0.39,0.39,0.21000000000000002,0.21000000000000002
codegen2 (7b),,0.25999999999999995,0.25999999999999995,0.21000000000000002,0.21000000000000002
dbrx instruct,,,,1.26,1.26
deepseek coder instruct (33b),1.0399999999999998,1.0399999999999998,1.0399999999999998,0.8400000000000001,0.8400000000000001
deepseek-llm-67b-chat,1.0399999999999998,1.0399999999999998,1.0399999999999998,0.94,0.94
discolm mixtral 8x7b (46.7b),,,,0.63,0.63
dolly v2 (12b),,,,0.32,0.32
dolly v2 (3b),,,,0.11,0.11
dolly v2 (7b),,,,0.21000000000000002,0.21000000000000002
dolly-v2-12b,0.39,0.39,0.39,,
dolphin-2.5-mixtral-8x7b,1.17,1.17,1.17,0.63,0.63
evo-1 8k base,,0.12999999999999998,0.12999999999999998,,
falcon (40b),1.0399999999999998,1.0399999999999998,1.0399999999999998,0.8400000000000001,0.8400000000000001
falcon (7b),0.25999999999999995,0.25999999999999995,0.25999999999999995,0.21000000000000002,0.21000000000000002
falcon instruct (40b),1.0399999999999998,1.0399999999999998,1.0399999999999998,0.8400000000000001,0.8400000000000001
falcon instruct (7b),0.25999999999999995,0.25999999999999995,0.25999999999999995,0.21000000000000002,0.21000000000000002
flan t5,0.12999999999999998,0.12999999999999998,0.12999999999999998,,
flan t5 xl (3b),,0.12999999999999998,0.12999999999999998,0.11,0.11
gemini 1.0 pro,,,,0.39,0.39
gemini 1.5 flash,,,,0.16,0.16
gemini 1.5 pro,,,,7.88,7.88
gemma (2b),,0.12999999999999998,0.12999999999999998,0.11,0.11
gemma (7b),,0.25999999999999995,0.25999999999999995,0.21000000000000002,0.21000000000000002
gemma 2 (9b),,,,0.32,0.32
gpt neox 20b,,0.39,0.39,0.32,0.32
gpt-3.5-turbo,1.95,1.95,1.95,,
gpt-3.5-turbo-0613,2.6,2.6,2.6,,
gpt-3.5-turbo-16k,5.2,5.2,5.2,,
gpt-3.5-turbo-16k-0613,5.2,5.2,5.2,,
gpt-3.5-turbo-instruct,2.6,2.6,2.6,,
gpt-4,78.0,78.0,78.0,,
gpt-4-0613,78.0,78.0,78.0,,
gpt-4-32k,156.0,156.0,156.0,,
gpt-4-32k-0613,156.0,156.0,156.0,,
gpt-4-turbo,39.0,39.0,39.0,,
gpt-4o,19.5,19.5,19.5,,
gpt-4o mini,,,0.9,,
gpt-4o-2024-05-13,,,,5.25,5.25
gpt-4o-2024-08-06,,,,10.5,10.5
