name,2024-06-18,2024-07-03,2024-08-26,2024-09-27,2024-10-21
01-ai yi base (6b),0.25999999999999995,,,0.21000000000000002,0.21000000000000002
alpaca (7b),0.25999999999999995,0.25999999999999995,0.25999999999999995,0.21000000000000002,0.21000000000000002
chat gpt 3.5 turbo,,,,3.15,3.15
chat gpt 4,,,,31.5,31.5
chat gpt 4 32k,,,,63.0,63.0
chat gpt 4 turbo,,,,10.5,10.5
chat gpt 4o mini,,,,0.16,0.16
chat gpt-3.5 turbo 0125,,,,0.5199999999999999,0.5199999999999999
chat gpt-3.5 turbo 1106,,,,1.05,1.05
chat gpt-3.5 turbo instruct,,,,1.58,1.58
chat gpt-4o,,,,5.25,5.25
claude 3 haiku,,,,0.25999999999999995,0.25999999999999995
claude 3 opus,,,,15.75,15.75
claude 3 sonnet,,,,3.15,3.15
claude 3.5 sonnet,,,,3.15,3.15
claude 3.5 sonnet 20241022,,,,3.15,3.15
claude-3-haiku,0.325,0.325,0.325,,
claude-3-opus,19.5,19.5,19.5,,
claude-3-sonnet,3.9,3.9,3.9,,
claude-3.5-sonnet,,,3.9,,
code llama (70b),,1.17,1.17,0.94,0.94
code llama instruct (13b),0.39,0.39,0.39,0.23,0.23
code llama instruct (34b),1.0399999999999998,1.0399999999999998,1.0399999999999998,0.82,0.82
code llama instruct (70b),,1.17,1.17,0.94,0.94
code llama instruct (7b),0.25999999999999995,0.25999999999999995,0.25999999999999995,0.21000000000000002,0.21000000000000002
code llama python (13b),0.39,0.39,0.39,0.23,0.23
code llama python (34b),1.0399999999999998,1.0399999999999998,1.0399999999999998,0.82,0.82
code llama python (70b),,1.17,1.17,0.94,0.94
code llama python (7b),0.25999999999999995,0.25999999999999995,0.25999999999999995,0.21000000000000002,0.21000000000000002
codegen2 (16b),,0.39,0.39,0.21000000000000002,0.21000000000000002
codegen2 (7b),,0.25999999999999995,0.25999999999999995,0.21000000000000002,0.21000000000000002
dbrx instruct,,,,1.26,1.26
deepseek coder instruct (33b),1.0399999999999998,1.0399999999999998,1.0399999999999998,0.8400000000000001,0.8400000000000001
deepseek-llm-67b-chat,1.0399999999999998,1.0399999999999998,1.0399999999999998,0.94,0.94
discolm mixtral 8x7b (46.7b),,,,0.63,0.63
dolly v2 (12b),,,,0.32,0.32
dolly v2 (3b),,,,0.11,0.11
dolly v2 (7b),,,,0.21000000000000002,0.21000000000000002
dolly-v2-12b,0.39,0.39,0.39,,
dolphin-2.5-mixtral-8x7b,1.17,1.17,1.17,0.63,0.63
evo-1 8k base,,0.12999999999999998,0.12999999999999998,,
falcon (40b),1.0399999999999998,1.0399999999999998,1.0399999999999998,0.8400000000000001,0.8400000000000001
falcon (7b),0.25999999999999995,0.25999999999999995,0.25999999999999995,0.21000000000000002,0.21000000000000002
falcon instruct (40b),1.0399999999999998,1.0399999999999998,1.0399999999999998,0.8400000000000001,0.8400000000000001
falcon instruct (7b),0.25999999999999995,0.25999999999999995,0.25999999999999995,0.21000000000000002,0.21000000000000002
flan t5,0.12999999999999998,0.12999999999999998,0.12999999999999998,,
flan t5 xl (3b),,0.12999999999999998,0.12999999999999998,0.11,0.11
gemini 1.0 pro,,,,0.12999999999999998,0.12999999999999998
gemini 1.5 flash,,,,0.04,0.04
gemini 1.5 pro,,,,2.62,2.62
gemma (2b),,0.12999999999999998,0.12999999999999998,0.11,0.11
gemma (7b),,0.25999999999999995,0.25999999999999995,0.21000000000000002,0.21000000000000002
gemma 2 (9b),,,,0.32,0.32
gpt neox 20b,,0.39,0.39,0.32,0.32
gpt-3.5-turbo,0.65,0.65,0.65,,
gpt-3.5-turbo-0613,1.95,1.95,1.95,,
gpt-3.5-turbo-16k,3.9,3.9,3.9,,
gpt-3.5-turbo-16k-0613,3.9,3.9,3.9,,
gpt-3.5-turbo-instruct,1.95,1.95,1.95,,
gpt-4,39.0,39.0,39.0,,
gpt-4-0613,39.0,39.0,39.0,,
gpt-4-32k,78.0,78.0,78.0,,
gpt-4-32k-0613,78.0,78.0,78.0,,
gpt-4-turbo,13.0,13.0,13.0,,
gpt-4o,6.5,6.5,6.5,,
gpt-4o mini,,,0.195,,
gpt-4o-2024-05-13,,,,5.25,5.25
gpt-4o-2024-08-06,,,,2.62,2.62
