name,2024-06-18,2024-07-03,2024-08-26,2024-09-27,2024-10-21
gpt-3.5-turbo,0.00195,0.00195,0.00195,,
gpt-3.5-turbo-instruct,0.0026,0.0026,0.0026,,
gpt-3.5-turbo-0613,0.0026,0.0026,0.0026,,
gpt-3.5-turbo-16k-0613,0.0052,0.0052,0.0052,,
claude-3-opus,0.0975,0.0975,0.0975,,
claude-3-sonnet,0.0195,0.0195,0.0195,,
claude-3-haiku,0.001625,0.001625,0.001625,,
Mistral 7B Instruct v0.3,0.00026,0.00026,0.00026,,
Mixtral 8x22B Instruct,0.00117,0.00117,0.00117,0.00126,0.00126
Meta Llama 3 8B Instruct,0.00026,0.00026,0.00026,,
Meta Llama 3 70B Instruct,0.00117,0.00117,0.00117,,
OLMo-7B-Instruct,0.00026,0.00026,0.00026,0.00021,0.00021
StableLM Base Alpha 3B,0.00013,0.00013,0.00013,,
FLAN T5,0.00013,0.00013,0.00013,,
GPT-NeoX-20B,0.00039,0.00039,0.00039,,
GPT-NeoXT-Chat-Base-20B,0.00039,0.00039,0.00039,0.00032,0.00032
Zephyr 7B,0.00026,0.00026,0.00026,0.00052,0.00052
Dolly-v2-12B,0.00039,0.00039,0.00039,,
Evo-1 8k Base,0.00026,0.00013,0.00013,,
Toppy-M-7B,0.00026,0.00026,0.00026,,
ReMM-SLERP-L2-13B,0.00039,0.00039,0.00039,0.00032,0.00032
Platypus2-70B-Instruct,0.00117,0.00117,0.00117,0.00094,0.00094
Deepseek-LLM-67b-Chat,0.00104,0.00104,0.00104,0.00094,0.00094
Dolphin-2.5-Mixtral-8x7b,0.00117,0.00117,0.00117,0.00063,0.00063
OLMo-7B,0.00026,0.00026,0.00026,0.00021,0.00021
Mixtral 8x22B,0.00117,0.00156,0.00156,0.00126,0.00126
MythoMax-L2 (13B),0.00039,0.00039,0.00039,0.00032,0.00032
Falcon (7B),0.00026,0.00026,0.00026,0.00021,0.00021
Falcon Instruct (7B),0.00026,0.00026,0.00026,0.00021,0.00021
GPT-JT-Moderation (6B),0.00026,0.00026,0.00026,0.00021,0.00021
Falcon Instruct (40B),0.00104,0.00104,0.00104,0.00084,0.00084
Falcon (40B),0.00104,0.00104,0.00104,0.00084,0.00084
Alpaca (7B),0.00026,0.00026,0.00026,0.00021,0.00021
RedPajama-INCITE (3B),0.00013,0.00013,0.00013,0.00011,0.00011
RedPajama-INCITE Instruct (3B),0.00013,0.00013,0.00013,,
RedPajama-INCITE Chat (3B),0.00013,0.00013,0.00013,0.00011,0.00011
Qwen (7B),0.00026,0.00026,0.00026,0.00021,0.00021
RedPajama-INCITE (7B),0.00026,0.00026,0.00026,,
RedPajama-INCITE Instruct (7B),0.00026,0.00026,0.00026,,
RedPajama-INCITE Chat (7B),0.00026,0.00026,0.00026,0.00021,0.00021
Qwen-Chat (7B),0.00026,0.00026,0.00026,,
Platypus2 Instruct (70B),0.00117,0.00117,0.00117,,
Vicuna v1.5 (13B),0.00039,0.00039,0.00039,0.00032,0.00032
WizardLM v1.2 (13B),0.00039,0.00039,0.00039,0.00021,0.00021
OpenOrca Mistral (7B) 8K,0.00026,0.00026,0.00026,,
OpenHermes-2-Mistral (7B),0.00026,0.00026,0.00026,0.00021,0.00021
Upstage SOLAR Instruct v1 (11B),0.00039,0.00039,0.00039,0.00032,0.00032
OpenHermes-2.5-Mistral (7B),0.00026,0.00026,0.00026,0.00021,0.00021
Nous Capybara v1.9 (7B),0.00026,0.00026,0.00026,0.00021,0.00021
NexusRaven (13B),0.00039,0.00039,0.00039,0.00032,0.00032
01-ai Yi Base (6B),0.00026,,,0.00021,0.00021
LLaMA-2 (13B),0.00039,0.00039,0.00039,0.00023,0.00023
OpenChat 3.5,0.00039,0.00039,0.00039,,
LLaMA-2 (70B),0.00117,0.00117,0.00117,,
LLaMA-2 Chat (7B),0.00026,0.00026,0.00026,0.00021,0.00021
LLaMA-2-32K (7B),0.00026,0.00026,0.00026,0.00021,0.00021
Nous Hermes-2 Yi (34B),0.00104,0.00104,0.00104,0.00084,0.00084
LLaMA-2 Chat (70B),0.00117,0.00117,0.00117,0.00094,0.00094
LLaMA-2 Chat (13B),0.00039,0.00039,0.00039,0.00023,0.00023
Nous Hermes LLaMA-2 (7B),0.00026,0.00026,0.00026,0.00021,0.00021
LLaMA-2-7B-32K-Instruct (7B),0.00026,0.00026,0.00026,0.00021,0.00021
Nous Hermes Llama-2 (13B),0.00039,0.00039,0.00039,0.00032,0.00032
Mistral (7B),0.00026,0.00026,0.00026,,
Mistral (7B) Instruct,0.00026,0.00026,0.00026,,
StripedHyena Hessian (7B),0.00026,0.00026,0.00026,0.00021,0.00021
Snorkel Mistral PairRM DPO (7B),0.00026,0.00026,0.00026,,
Nous Hermes 2 - Mixtral 8x7B-DPO,0.00117,0.00117,0.00117,,
Replit-Code-v1 (3B),,0.00013,0.00013,0.00011,0.00011
Llama-3 (8B),,0.00026,0.00026,,
Llama-3 (70B),,0.00117,0.00117,,
FLAN T5 XL (3B),,0.00013,0.00013,0.00011,0.00011
GPT Neox 20B,,0.00039,0.00039,0.00032,0.00032
Microsoft Phi-2,,0.00013,0.00013,0.00011,0.00011
Gemma (2B),,0.00013,0.00013,0.00011,0.00011
Gemma (7B),,0.00026,0.00026,0.00021,0.00021
StripedHyena Nous (7B),,0.00026,0.00026,0.00021,0.00021
claude-3.5-sonnet,,,0.0195,,
llama-3.1-70b instruct turbo,,,0.0065,,
llama-3.1-8b instruct turbo,,,0.00013,,
llama-3-70b instruct lite,,,0.000702,,
Qwen 2.5 72B Instruct Turbo,,,,0.00126,0.00126
Qwen 2.5 7B Instruct Turbo,,,,0.00032,0.00032
Llama 3.2 3B Instruct Turbo,,,,6e-05,6e-05
Qwen2 7B Instruct,,,,0.00094,0.00094
Llama 3 70B Instruct Reference,,,,0.00094,0.00094
Llama 3 8B Instruct Reference,,,,0.00021,0.00021
Snowflake Arctic Instruct,,,,0.00252,0.00252
Qwen 2 1.5B Instruct,,,,0.00052,0.00052
OpenAI o1-mini,,,,0.0126,0.0126
OpenAI o1-preview,,,,0.0157,0.0157
GPT-4o-2024-05-13,,,,0.00525,0.00525
GPT-4o-2024-08-06,,,,0.0105,0.0105
Gemini 1.0 Pro,,,,0.00039,0.00039
Gemini 1.5 Pro,,,,0.00788,0.00788
Gemini 1.5 Flash,,,,0.00016,0.00016
Hermes 2 Theta Llama-3 70B,,,,0.00052,0.00052
Llama-3 70B Gradient Instruct,,,,0.00052,0.00052
Llama 3 70B Instruct Lite,,,,0.00057,0.00057
Llama 3 8B Instruct Lite,,,,0.00011,0.00011
Llama 3.1 70B Instruct Turbo,,,,0.00092,0.00092
Llama 3.1 8B Instruct Turbo,,,,0.00019,0.00019
Llama 3.1 (405B) Instruct Turbo,,,,0.00525,0.00525
Chat GPT 4o mini,,,,0.00063,0.00063
Pythia-Chat-Base (7B),,,,0.00021,0.00021
Guanaco (7B),,,,0.00021,0.00021
Guanaco (65B),,,,0.00094,0.00094
Guanaco (33B),,,,0.00084,0.00084
Guanaco (13B),,,,0.00032,0.00032
Qwen Chat (14B),,,,0.00032,0.00032
Nous Hermes LLaMA-2 (70B),,,,0.00094,0.00094
MPT-Chat (7B),,,,0.00021,0.00021
MPT-Chat (30B),,,,0.00084,0.00084
Gemma 2 (9B),,,,0.00032,0.00032
Vicuna FastChat T5 (3B),,,,0.00011,0.00011
Vicuna v1.5 16k (13B),,,,0.00032,0.00032
Koala (7B),,,,0.00021,0.00021
Koala (13B),,,,0.00032,0.00032
DBRX Instruct,,,,0.00126,0.00126
Chat GPT-3.5 Turbo 0125,,,,0.00158,0.00158
Chat GPT-3.5 Turbo 1106,,,,0.0021,0.0021
Chat GPT-3.5 Turbo Instruct,,,,0.0021,0.0021
Open-Assistant StableLM SFT-7 (7B),,,,0.00021,0.00021
Open-Assistant Pythia SFT-4 (12B),,,,0.00032,0.00032
StarCoderChat Alpha (16B),,,,0.00032,0.00032
DiscoLM Mixtral 8x7b (46.7B),,,,0.00063,0.00063
Dolly v2 (7B),,,,0.00021,0.00021
Dolly v2 (3B),,,,0.00011,0.00011
OLMO TWIN-2T (7B),,,,0.00021,0.00021
Vicuna v1.5 (7B),,,,0.00021,0.00021
Claude 3.5 Sonnet,,,,0.01575,0.01575
Qwen 2 Instruct (72B),,,,0.00094,0.00094
Mistral (7B) Instruct v0.3,,,,0.00021,0.00021
Chat GPT-4o,,,,0.01575,0.01575
Claude 3 Haiku,,,,0.00131,0.00131
Claude 3 Sonnet,,,,0.01575,0.01575
Claude 3 Opus,,,,0.07875,0.07875
LLaMA-3 Chat (8B),,,,0.00021,0.00021
LLaMA-3 Chat (70B),,,,0.00094,0.00094
Dolly v2 (12B),,,,0.00032,0.00032
Toppy M (7B),,,,0.0021,0.0021
Chat GPT 4 32k,,,,0.126,0.126
Chat GPT 4 Turbo,,,,0.0315,0.0315
Chat GPT 4,,,,0.063,0.063
Chat GPT 3.5 Turbo,,,,0.0042,0.0042
Qwen Chat (7B),,,,0.00021,0.00021
OpenOrca Mistral (7B),,,,0.00021,0.00021
OpenChat 3.5 (7B),,,,0.00021,0.00021
LLama-3 (70B),,,,0.00094,0.00094
Mixtral-8x7B v0.1,,,,0.00063,0.00063
LLaMA-2 (7B),,,,0.00021,0.00021
Qwen 1.5 (0.5B),,,,0.00011,0.00011
Qwen 1.5 (72B),,,,0.00094,0.00094
Mixtral 7B,,,,0.00021,0.00021
