name,2024-04-21,2024-03-03,2024-02-22,2024-01-26,2023-09-25,2023-05-28,2023-05-21,2023-03-21,2023-02-01,2022-10-22,2022-08-16
base,0.15015119999999998,0.15015119999999998,0.15015119999999998,0.15015119999999998,0.15015119999999998,0.15015119999999998,0.15015119999999998,0.15015119999999998,0.15015119999999998,,
base-control,0.375,0.375,0.375,0.375,0.375,,,,,,
extended,0.2252268,0.2252268,0.2252268,0.2252268,0.2252268,0.2252268,0.2252268,0.2252268,0.2252268,,
extended-control,0.5625,0.5625,0.5625,0.5625,0.5625,,,,,,
luminous base,,,,,,,,,,0.00027570000000000003,0.00027570000000000003
luminous enhanced,,,,,,,,,,,0.00096495
luminous extended,,,,,,,,,,0.00041355000000000005,0.00041355000000000005
luminous supreme,,,,,,,,,,0.00096495,
magma base,,,,,,,,,,0.0005802,0.0005802
magma enhanced,,,,,,,,,,,0.0020307
magma extended,,,,,,,,,,0.0008703,0.0008703
magma supreme,,,,,,,,,,0.0020307,
supreme,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,,
supreme-control,2.1875,2.1875,2.1875,2.1875,2.1875,2.1875,2.1875,2.1875,,,
