name,2024-01-27,2024-02-24,2024-03-26,2024-04-26,2024-05-24,2024-06-22,2024-07-03,2024-08-26,2024-09-27,2024-10-21
jurassic-2 mid,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
jurassic 2 ultra,0.0188,0.0188,0.0188,0.0188,0.0188,0.0188,,0.0188,0.0188,0.0188
claude instant,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008
claude 2.0/2.1,,,0.008,0.008,0.008,0.008,0.008,,,
claude 3 opus,,,,,0.015,0.015,0.015,0.015,0.015,0.015
claude 3 sonnet,,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
claude 3 haiku,,,,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025
command,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
command-light,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,,
command r+,,,,,0.003,0.003,0.003,0.003,0.003,0.003
command r,,,,,0.0005,0.0005,0.0005,0.005,0.005,0.0005
llama 2 chat (13b),0.00075,0.00075,,,0.00075,0.00075,,0.00075,0.00075,0.00075
llama 2 chat (70b),0.00195,0.00195,,,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195
llama 2 préentrainé (13b),0.00149,[],[],[],[],[],[],,,
llama 2 préentrainé (70b),0.00799,[],[],[],,[],[],,,
mistral 7b,,,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
mixtral 8x7b,,,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045,0.00045
amazon titan text lite,,,,,0.0003,0.0003,,0.00015,0.00015,0.0003
mistral large,,,,0.008,0.008,0.008,0.008,,0.008,0.008
llama 3,,,,,,[],,,,
llama 2 pretrained (70b),,,,,[],,,,,
llama 2 pretrained (13b),,,,,[],,,,,
lama 2 chat (13b),,,0.00075,0.00075,,,0.00075,,,
lama 2 chat (70b),,,0.00195,0.00195,,,,,,
claude,0.008,0.008,,,,,,,,
jurassic-2 ultra,,,,,,,0.0188,,,
jamba-instruct,,,,,,,,0.0005,0.0005,0.0005
amazon titan text premier,,,,,,,,0.0005,0.0005,
amazon titan text express,,,,,,,,0.0002,0.0002,
claude 2.0,,,,,,,,0.008,0.008,0.008
claude 2.1,,,,,,,,0.008,0.008,0.008
claude 3.5 sonnet,,,,,,,,0.003,0.003,0.003
command light,,,,,,,,0.0003,0.0003,0.0003
llama 3.1 instruct (8b),,,,,,,,,0.00022,0.00022
llama 3.1 instruct (70b),,,,,,,,,0.00099,0.00099
llama 3.1 instruct (405b),,,,,,,,,0.00532,0.00532
llama 3 instruct (8b),,,,,,,,,0.0003,0.0003
llama 3 instruct (70b),,,,,,,,,0.00265,0.00265
jamba 1.5 large,,,,,,,,,,0.002
jamba 1.5 mini,,,,,,,,,,0.0002
llama 3.2 instruct (1b),,,,,,,,,,0.0001
llama 3.2 instruct (3b),,,,,,,,,,0.00015
mistral small (24.02),,,,,,,,,,0.001
mistral large (24.02),,,,,,,,,,0.004
