name,2024-06-22,2024-05-24,2024-04-26,2024-03-26,2024-02-24,2024-01-27,2024-07-03,2024-08-26,2024-09-27,2024-10-21
amazon titan text express,,,,,,,,0.6,0.6,
amazon titan text lite,0.4,0.4,,,,,,0.2,0.2,0.4
amazon titan text premier,,,,,,,,1.5,1.5,
claude 2.0,,,,,,,,24.0,24.0,24.0
claude 2.0/2.1,24.0,24.0,24.0,24.0,,,24.0,,,
claude 2.1,,,,,,,,24.0,24.0,24.0
claude 3 haiku,1.25,1.25,1.25,,,,1.25,1.25,1.25,1.25
claude 3 opus,75.0,75.0,,,,,75.0,75.0,75.0,75.0
claude 3 sonnet,15.0,15.0,15.0,15.0,,,15.0,15.0,15.0,15.0
claude 3.5 sonnet,,,,,,,,15.0,15.0,15.0
claude instant,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
command,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
command light,,,,,,,,0.6,0.6,0.6
command r,1.5,1.5,,,,,1.5,1.5,1.5,1.5
command r+,15.0,15.0,,,,,15.0,15.0,15.0,15.0
command-light,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,,
jamba 1.5 large,,,,,,,,,,8.0
jamba 1.5 mini,,,,,,,,,,0.4
jamba-instruct,,,,,,,,0.7,0.7,0.7
jurassic 2 ultra,18.8,18.8,18.8,18.8,18.8,18.8,,18.8,18.8,18.8
jurassic-2 mid,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
jurassic-2 ultra,,,,,,,18.8,,,
lama 2 chat (13b),,,1.0,1.0,,,1.0,,,
lama 2 chat (70b),,,2.56,2.56,,,,,,
llama 2 chat (13b),1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0
llama 2 chat (70b),2.56,2.56,,,2.56,2.56,2.56,2.56,2.56,2.56
llama 2 pretrained (13b),,,,,,,,,,
llama 2 pretrained (70b),,,,,,,,,,
llama 2 préentrainé (13b),,,,,,,,,,
llama 2 préentrainé (70b),,,,,,,,,,
llama 3,,,,,,,,,,
llama 3 instruct (70b),,,,,,,,,3.5,
llama 3 instruct (8b),,,,,,,,,0.6,0.6
llama 3.1 instruct (405b),,,,,,,,,16.0,16.0
llama 3.1 instruct (70b),,,,,,,,,0.99,0.99
llama 3.1 instruct (8b),,,,,,,,,0.22,0.22
llama 3.2 instruct (11b),,,,,,,,,,0.35
llama 3.2 instruct (1b),,,,,,,,,,0.1
llama 3.2 instruct (3b),,,,,,,,,,0.15
llama 3.2 instruct (90b),,,,,,,,,,2.0
mistral 7b,0.2,0.2,0.2,0.2,,,0.2,0.2,0.2,0.2
mistral large,24.0,24.0,24.0,,,,24.0,,24.0,24.0
mistral large (24.02),,,,,,,,,,12.0
mistral small (24.02),,,,,,,,,,3.0
mixtral 8x7b,0.7,0.7,0.7,0.7,,,0.7,0.7,0.7,0.7
stable image core,,,,,,,,,,
