name,2024-02-14,2024-07-03
ai21 jurrasic-2 grande,0.0,
ai21 jurrasic-2 grande instruct,0.0,
ai21 jurrasic-2 jumbo,0.0,
ai21 jurrasic-2 jumbo instruct,0.0,
ai21 jurrasic-2 large,0.0,
ai21 text-summarize,0.0,
anthropic claude-instant,0.0,
anthropic claude-v1,0.0,
anthropic claude-v2,0.0,
claude haiku,,
claude opus,,
claude-instant-1.2,0.0,
cohere-generate-command,0.0,
cohere-summarize,0.0,
databricks instruct,,
deepgram aura,,
dolly-v2-12b,0.0,
falcon-40b-instruct,0.0,
gcp code generation,0.0,
gcp palm 2 text bison,0.0,
llama2-70b-chat,0.0,
openai 3.5-turbo-instruct,,
openai gpt 4,,
openai gpt-3.5-turbo,0.0,
openai gpt-3.5-turbo-instruct,0.0,
openai gpt-3_5-turbo,,
openai gpt-4,0.0,
pre-trained classification model,,
pre-trained named entity recognition model,,
pre-trained segmentation model,,
pre-trained translation model,,
redpajama-incite-chat-7b,0.0,
starcoder,0.0,
wizardcoder-python-34b,0.0,
wizardlm-70b,0.0,
