name,2024-02-14,2024-07-03
ai21 jurrasic-2 grande,,0.05
ai21 jurrasic-2 grande instruct,,0.05
ai21 jurrasic-2 jumbo,,0.07
ai21 jurrasic-2 jumbo instruct,,0.07
ai21 jurrasic-2 large,,0.014
ai21 text-summarize,,0.0055
anthropic claude-instant,,0.08
anthropic claude-v1,,0.45
anthropic claude-v2,,0.45
claude haiku,,0.2
claude opus,,0.3
claude-instant-1.2,,0.2
cohere-generate-command,,0.017
cohere-summarize,,0.034
databricks instruct,,0.01
deepgram aura,,0.03
dolly-v2-12b,,0.00011
falcon-40b-instruct,,0.0011
gcp code generation,,0.006
gcp palm 2 text bison,,0.02
llama2-70b-chat,,0.0066
openai 3.5-turbo-instruct,,0.005
openai gpt 4,,0.22
openai gpt-3.5-turbo,,
openai gpt-3.5-turbo-instruct,,
openai gpt-3_5-turbo,,0.005
openai gpt-4,,
pre-trained classification model,,0.0012
pre-trained named entity recognition model,,0.002
pre-trained segmentation model,,0.0032
pre-trained translation model,,0.002
redpajama-incite-chat-7b,,0.00022
starcoder,,0.00175
wizardcoder-python-34b,,0.0022
wizardlm-70b,,
