name,id_name,2024-02-14,2024-07-03
AI21 Jurrasic-2 grande,jurrasic-grande-unknown-2-unknown-unknown-unknown-unknown-false,0.05,
AI21 Jurrasic-2 grande instruct,jurrasic-grande-unknown-2-unknown-unknown-unknown-instruct-false,0.05,
AI21 Jurrasic-2 jumbo,jurrasic-jumbo-unknown-2-unknown-unknown-unknown-unknown-false,0.07,
AI21 Jurrasic-2 jumbo instruct,jurrasic-jumbo-unknown-2-unknown-unknown-unknown-instruct-false,0.07,
AI21 Jurrasic-2 large,jurrasic-large-unknown-2-unknown-unknown-unknown-unknown-false,0.014,
AI21 text-summarize,,0.0055,
Anthropic claude-V1,claude-unknown-unknown-1-unknown-unknown-unknown-unknown-false,0.45,
Anthropic claude-V2,claude-unknown-unknown-2-unknown-unknown-unknown-unknown-false,0.45,
Anthropic claude-instant,claude-instant-unknown-unknown-unknown-unknown-unknown-unknown-false,0.08,
Claude-Instant-1.2,claude-instant-unknown-1.2-unknown-unknown-unknown-unknown-false,0.2,
Cohere-generate-command,command-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,0.017,
Cohere-summarize,,0.034,
Dolly-v2-12b,dolly-unknown-unknown-2-unknown-12-unknown-unknown-false,0.00011,
Falcon-40b-instruct,falcon-unknown-unknown-unknown-unknown-40-unknown-instruct-false,0.0011,
GCP Code Generation,gcp-unknown-code-generation-unknown-unknown-unknown-unknown-false,0.006,
GCP PaLM 2 Text Bison,palm-text-bison-2-unknown-unknown-unknown-unknown-false,0.02,
Llama2-70b-chat,llama-unknown-unknown-2-unknown-70-unknown-chat-false,0.0066,
OpenAI GPT-3.5-turbo,gpt-unknown-turbo-3.5-unknown-unknown-unknown-unknown-false,0.005,
OpenAI GPT-3.5-turbo-instruct,gpt-unknown-turbo-3.5-unknown-unknown-unknown-instruct-false,0.005,
OpenAI GPT-4,gpt-unknown-unknown-4-unknown-unknown-unknown-unknown-false,0.22,
RedPajama-INCITE-Chat-7B,redpajama-incite-unknown-unknown-unknown-7-unknown-chat-false,0.00022,
StarCoder,starcoder-unknown-unknown-unknown-unknown-unknown-unknown-false,0.00175,
WizardCoder-Python-34B,wizardcoder-unknown-unknown-34-unknown-unknown-unknown-python-false,0.0022,
WizardLM-70B,wizardlm-unknown-unknown-unknown-unknown-70-unknown-unknown-false,0.0066,
ai21 jurrasic-2 grande,jurrasic-grande-unknown-2-unknown-unknown-unknown-unknown-false,,
ai21 jurrasic-2 grande instruct,jurrasic-grande-unknown-2-unknown-unknown-unknown-instruct-false,,
ai21 jurrasic-2 jumbo,jurrasic-jumbo-unknown-2-unknown-unknown-unknown-unknown-false,,
ai21 jurrasic-2 jumbo instruct,jurrasic-jumbo-unknown-2-unknown-unknown-unknown-instruct-false,,
ai21 jurrasic-2 large,jurrasic-large-unknown-2-unknown-unknown-unknown-unknown-false,,
ai21 text-summarize,,,
anthropic claude-instant,claude-instant-unknown-unknown-unknown-unknown-unknown-unknown-false,,
anthropic claude-v1,claude-unknown-unknown-1-unknown-unknown-unknown-unknown-false,,
anthropic claude-v2,claude-unknown-unknown-2-unknown-unknown-unknown-unknown-false,,
claude haiku,claude-haiku-unknown-unknown-unknown-unknown-unknown-false,,
claude opus,claude-opus-unknown-unknown-unknown-unknown-unknown-false,,
claude-instant-1.2,claude-instant-unknown-1.2-unknown-unknown-unknown-unknown-false,,
cohere-generate-command,command-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,
cohere-summarize,,,
databricks instruct,databricks-unknown-unknown-unknown-unknown-unknown-unknown-instruct-false,,
deepgram aura,deepgram-unknown-unknown-unknown-unknown-unknown-unknown-false,,
dolly-v2-12b,dolly-unknown-unknown-2-unknown-12-unknown-unknown-false,,
falcon-40b-instruct,falcon-unknown-unknown-unknown-unknown-40-unknown-instruct-false,,
gcp code generation,gcp-unknown-code-generation-unknown-unknown-unknown-unknown-false,,
gcp palm 2 text bison,palm-text-bison-2-unknown-unknown-unknown-unknown-false,,
llama2-70b-chat,llama-unknown-unknown-2-unknown-70-unknown-chat-false,,
openai 3.5-turbo-instruct,openai-unknown-unknown-3.5-unknown-unknown-unknown-instruct-false,,
openai gpt 4,gpt-unknown-unknown-4-unknown-unknown-unknown-false,,
openai gpt-3_5-turbo,openai-unknown-unknown-3.5-unknown-unknown-unknown-false,,
pre-trained classification model,pretrained-classification-unknown-unknown-unknown-unknown-unknown-unknown-false,,
pre-trained named entity recognition model,pretrained-unknown-unknown-unknown-unknown-unknown-unknown-false,,
pre-trained segmentation model,pretrained-segmentation-unknown-unknown-unknown-unknown-unknown-unknown-false,,
pre-trained translation model,pretrained-unknown-unknown-unknown-unknown-unknown-unknown-false,,
redpajama-incite-chat-7b,redpajama-incite-unknown-unknown-unknown-7-unknown-chat-false,,
starcoder,starcoder-unknown-unknown-unknown-unknown-unknown-unknown-false,,
wizardcoder-python-34b,wizardcoder-unknown-unknown-34-unknown-unknown-unknown-python-false,,
