name,2024-02-14,2024-07-03
AI21 Jurrasic-2 large,,
AI21 Jurrasic-2 grande,,
AI21 Jurrasic-2 jumbo,,
AI21 Jurrasic-2 grande instruct,,
AI21 Jurrasic-2 jumbo instruct,,
AI21 text-summarize,,
Anthropic claude-V1,,
Anthropic claude-V2,,
Anthropic claude-instant,,
Claude-Instant-1.2,,
Cohere-summarize,,
Cohere-generate-command,,
Dolly-v2-12b,,
Falcon-40b-instruct,,
GCP PaLM 2 Text Bison,,
Llama2-70b-chat,,
OpenAI GPT-3.5-turbo,,
OpenAI GPT-3.5-turbo-instruct,,
OpenAI GPT-4,,
RedPajama-INCITE-Chat-7B,,
WizardLM-70B,,
ai21 jurrasic-2 large,,0.014
ai21 jurrasic-2 grande,,0.05
ai21 jurrasic-2 jumbo,,0.07
ai21 jurrasic-2 grande instruct,,0.05
ai21 jurrasic-2 jumbo instruct,,0.07
ai21 text-summarize,,0.0055
anthropic claude-v1,,0.45
anthropic claude-v2,,0.45
anthropic claude-instant,,0.08
claude-instant-1.2,,0.2
cohere-summarize,,0.034
cohere-generate-command,,0.017
dolly-v2-12b,,0.00011
falcon-40b-instruct,,0.0011
gcp palm 2 text bison,,0.02
llama2-70b-chat,,0.0066
openai gpt 4,,0.22
redpajama-incite-chat-7b,,0.00022
