name,id_name,2024-02-14,2024-07-03
claude haiku,claude-haiku-unknown-3-unknown-unknown-unknown-unknown-false,,
Claude-Instant-1.2,claude-instant-unknown-1.2-unknown-unknown-unknown-unknown-false,,
Anthropic claude-instant,claude-instant-unknown-unknown-unknown-unknown-unknown-unknown-false,,
claude opus,claude-opus-unknown-3-unknown-unknown-unknown-unknown-false,,
Anthropic claude-V1,claude-unknown-unknown-1-unknown-unknown-unknown-unknown-false,,
Anthropic claude-V2,claude-unknown-unknown-2-unknown-unknown-unknown-unknown-false,,
Cohere-generate-command,command-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,
databricks instruct,databricks-unknown-unknown-unknown-unknown-unknown-unknown-instruct-false,,
deepgram aura,deepgram-unknown-unknown-unknown-unknown-unknown-unknown-false,,
Dolly-v2-12b,dolly-unknown-unknown-2-unknown-12-unknown-unknown-false,,
Falcon-40b-instruct,falcon-unknown-unknown-unknown-unknown-40-unknown-instruct-false,,
GCP Code Generation,gcp-unknown-code-generation-unknown-unknown-unknown-unknown-false,,
OpenAI GPT-3.5-turbo-instruct,gpt-unknown-turbo-3.5-unknown-unknown-unknown-instruct-false,,
OpenAI GPT-3.5-turbo,gpt-unknown-turbo-3.5-unknown-unknown-unknown-unknown-false,,
openai gpt 4,gpt-unknown-unknown-4-unknown-unknown-unknown-false,,
OpenAI GPT-4,gpt-unknown-unknown-4-unknown-unknown-unknown-unknown-false,,
AI21 Jurrasic-2 grande instruct,jurrasic-grande-unknown-2-unknown-unknown-unknown-instruct-false,,
AI21 Jurrasic-2 grande,jurrasic-grande-unknown-2-unknown-unknown-unknown-unknown-false,,
AI21 Jurrasic-2 jumbo instruct,jurrasic-jumbo-unknown-2-unknown-unknown-unknown-instruct-false,,
AI21 Jurrasic-2 jumbo,jurrasic-jumbo-unknown-2-unknown-unknown-unknown-unknown-false,,
AI21 Jurrasic-2 large,jurrasic-large-unknown-2-unknown-unknown-unknown-unknown-false,,
Llama2-70b-chat,llama-unknown-unknown-2-unknown-70-unknown-chat-false,,
openai 3.5-turbo-instruct,openai-unknown-unknown-3.5-unknown-unknown-unknown-instruct-false,,
GCP PaLM 2 Text Bison,palm-text-bison-2-unknown-unknown-unknown-unknown-false,,
pre-trained classification model,pretrained-classification-unknown-unknown-unknown-unknown-unknown-unknown-false,,
pre-trained segmentation model,pretrained-segmentation-unknown-unknown-unknown-unknown-unknown-unknown-false,,
RedPajama-INCITE-Chat-7B,redpajama-incite-unknown-unknown-unknown-7-unknown-chat-false,,
StarCoder,starcoder-unknown-unknown-unknown-unknown-unknown-unknown-false,,
WizardCoder-Python-34B,wizardcoder-unknown-unknown-34-unknown-unknown-unknown-python-false,,
WizardLM-70B,wizardlm-unknown-unknown-unknown-unknown-70-unknown-unknown-false,,
