name,id_name,2024-10-31
deepseek-coder-6.7b-base-awq,deepseek-coder-awq-unknown-unknown-6.7-unknown-base-false,0.2
deepseek-coder-6.7b-instruct-awq,deepseek-coder-awq-unknown-unknown-6.7-unknown-instruct-false,0.2
deepseek-math-7b-instruct,deepseek-math-unknown-unknown-unknown-7-unknown-instruct-false,0.2
discolm-german-7b-v1-awq,discolm-german-awq-1-unknown-7-unknown-unknown-false,0.2
falcon-7b-instruct,falcon-unknown-unknown-unknown-unknown-7-unknown-instruct-false,0.2
gemma-2b-it-lora,gemma-unknown-it-unknown-unknown-2-unknown-unknown-true,0.1
gemma-7b-it-lora,gemma-unknown-it-unknown-unknown-7-unknown-unknown-true,0.2
hermes-2-pro-mistral-7b,hermes-mistral pro-2-unknown-7-unknown-unknown-false-false,0.2
llama-2-13b-chat-awq,llama-awq-unknown-2-unknown-13-unknown-unknown-false,0.25
llamaguard-7b-awq,llama-guard-awq-unknown-unknown-7-unknown-unknown-false,0.2
llama-3-8b-instruct-awq,llama-unknown-awq-3-unknown-8-unknown-instruct-false,0.15
llama-3.1-8b-instruct-awq,llama-unknown-awq-3.1-unknown-8-unknown-instruct-false,0.15
llama-2-7b-chat-hf-lora,llama-unknown-chat-2-unknown-7-unknown-unknown-true,0.2
llama-3.1-8b-instruct-fast,llama-unknown-fast-3.1-unknown-8-unknown-instruct-false,0.15
llama-2-7b-chat-fp16,llama-unknown-fp16-2-unknown-7-unknown-chat-false,0.2
llama-3.1-8b-instruct-fp8,llama-unknown-fp8-3.1-unknown-8-unknown-instruct-false,0.15
llama-2-7b-chat-int8,llama-unknown-int8-2-unknown-7-unknown-chat-false,0.2
llama-3-8b-instruct,llama-unknown-unknown-3-unknown-8-unknown-instruct-false,0.15
llama-3.1-70b-instruct,llama-unknown-unknown-3.1-unknown-70-unknown-instruct-false,0.9
llama-3.1-8b-instruct,llama-unknown-unknown-3.1-unknown-8-unknown-instruct-false,0.15
llama-3.2-1b-instruct,llama-unknown-unknown-3.2-unknown-1-unknown-instruct-false,0.1
llama-3.2-3b-instruct,llama-unknown-unknown-3.2-unknown-3-unknown-instruct-false,0.1
llama-3.2-11b-vision-instruct,llama-unknown-vision-3.2-unknown-11-unknown-instruct-false,0.2
mistral-7b-instruct-v0.1-awq,mistral-instruct-awq-0.1-unknown-7-unknown-unknown-false,0.2
mistral-7b-instruct-v0.2-lora,mistral-instruct-lora-0.2-unknown-7-unknown-unknown-false,0.2
mistral-7b-instruct-v0.1,mistral-instruct-unknown-0.1-unknown-7-unknown-unknown-false,0.2
mistral-7b-instruct-v0.2,mistral-instruct-unknown-0.2-unknown-7-unknown-unknown-false,0.2
neural-chat-7b-v3-1-awq,neural-chat-awq-3.1-unknown-7-unknown-unknown-false,0.2
openchat-3.5-0106,openchat-unknown-unknown-3.5-0106-unknown-unknown-unknown-false,0.2
openhermes-2.5-mistral-7b-awq,openhermes-mistral-awq-2.5-unknown-7-unknown-unknown-false,0.2
phi-2,phi-unknown-unknown-2-unknown-unknown-unknown-unknown-false,0.1
qwen1.5-14b-chat-awq,qwen-unknown-awq-1.5-unknown-14-unknown-chat-false,0.2
qwen1.5-7b-chat-awq,qwen-unknown-awq-1.5-unknown-7-unknown-chat-false,0.2
qwen1.5-0.5b-chat,qwen-unknown-unknown-1.5-unknown-0.5-unknown-chat-false,0.1
qwen1.5-1.8b-chat,qwen-unknown-unknown-1.5-unknown-1.8-unknown-chat-false,0.1
sqlcoder-7b-2,sqlcoder-unknown-unknown-2-unknown-7-unknown-unknown-false,0.2
starling-lm-7b-beta,starling-lm-beta-unknown-unknown-7-unknown-unknown-false,0.2
tinyllama-1.1b-chat-v1.0,tinyllama-unknown-unknown-1.0-unknown-1.1-unknown-chat-false,0.1
una-cybertron-7b-v2-bf16,una-cybertron-bf16-2-unknown-7-unknown-unknown-false,0.2
zephyr-7b-beta-awq,zephyr-beta-awq-unknown-unknown-7-unknown-unknown-false,0.2
