name,2024-10-31
deepseek-coder-6.7b-base-awq,0.2
deepseek-coder-6.7b-instruct-awq,0.2
deepseek-math-7b-instruct,0.2
discolm-german-7b-v1-awq,0.2
falcon-7b-instruct,0.2
gemma-2b-it-lora,0.1
gemma-7b-it-lora,0.2
hermes-2-pro-mistral-7b,0.2
llama-2-13b-chat-awq,0.25
llama-2-7b-chat-fp16,0.2
llama-2-7b-chat-hf-lora,0.2
llama-2-7b-chat-int8,0.2
llama-3-8b-instruct-awq,0.15
llama-3-8b-instruct,0.15
llama-3.1-70b-instruct,0.9
llama-3.1-8b-instruct-awq,0.15
llama-3.1-8b-instruct-fast,0.15
llama-3.1-8b-instruct-fp8,0.15
llama-3.1-8b-instruct,0.15
llama-3.2-11b-vision-instruct,0.2
llama-3.2-1b-instruct,0.1
llama-3.2-3b-instruct,0.1
llamaguard-7b-awq,0.2
meta-llama-3-8b-instruct,0.15
mistral-7b-instruct-v0.1-awq,0.2
mistral-7b-instruct-v0.1,0.2
mistral-7b-instruct-v0.2-lora,0.2
mistral-7b-instruct-v0.2,0.2
neural-chat-7b-v3-1-awq,0.2
openchat-3.5-0106,0.2
openhermes-2.5-mistral-7b-awq,0.2
phi-2,0.1
qwen1.5-0.5b-chat,0.1
qwen1.5-1.8b-chat,0.1
qwen1.5-14b-chat-awq,0.2
qwen1.5-7b-chat-awq,0.2
sqlcoder-7b-2,0.2
starling-lm-7b-beta,0.2
tinyllama-1.1b-chat-v1.0,0.1
una-cybertron-7b-v2-bf16,0.2
zephyr-7b-beta-awq,0.2
