name,2024-06-03,2024-05-20,2024-04-09,2024-07-03,2024-08-26,2024-09-27,2024-10-21,2024-03-24,2024-02-22,2023-12-08,2023-09-26,2023-08-28,2023-05-22,2023-04-21,2023-07-18
command,,,,,,,,,,2.0,,,,,
command light,0.6,,,,,,,0.6,0.6,0.6,,,,,
command r,1.5,,1.5,1.5,1.5,0.6,0.6,,,,,,,,
command r ,,1.5,,,,,,,,,,,,,
command r fine-tuned model,,4.0,,4.0,4.0,,,,,,,,,,
command r+,15.0,15.0,15.0,15.0,15.0,10.0,10.0,,,,,,,,
command-r,,,,,,,,1.5,,,,,,,
custom,,,,,,,,,,,,,,,0.8
default,,,,,,,,,,,,,,,0.4
default model,,,,,,,,,2.0,,,,,,
fine-tuned model - command r,4.0,,,,,4.0,1.2,,,,,,,,
generate,,,,,,,,,,,,,,,0.4
generate-custom,,,,,,,,,,,30.0,30.0,5.0,5.0,
generate-default,,,,,,,,,,,15.0,15.0,2.5,2.5,
rerank,,,,,,,,,,,,,,,
