name,id_name,2024-06-03,2024-05-20,2024-04-09,2024-03-24,2024-02-22,2023-12-08,2023-09-26,2023-08-28,2023-05-22,2023-04-21,2024-07-03,2024-08-26,2023-07-18,2024-09-27,2024-10-21
command,command-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,
command light,command-light-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,
command r,commandr-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,
command r fine-tuned model,commandr-unknown-unknown-unknown-unknown-unknown-unknown-unknown-true,,,,,,,,,,,,,,,
command r+,commandr-plus-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,
command-r,commandr-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,
custom,cohere-custom-unknown-unknown-unknown-unknown-unknown-unknown-true,,,,,,,,,,,,,,,
default,cohere-default-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,
default model,cohere-default-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,
fine-tuned model - command r,commandr-unknown-unknown-unknown-unknown-unknown-unknown-true,,,,,,,,,,,,,,,
generate,commandr-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,
generate-custom,commandr-custom-unknown-unknown-unknown-unknown-unknown-unknown-true,,,,,,,,,,,,,,,
generate-default,command-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,
rerank,rerank-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,
