name,id_name,2023-04-21,2023-05-22,2023-07-18,2023-08-28,2023-09-26,2023-12-08,2024-02-22,2024-03-24,2024-04-09,2024-05-20,2024-06-03,2024-07-03,2024-08-26,2024-09-27,2024-10-21
custom,cohere-custom-unknown-unknown-unknown-unknown-unknown-unknown-true,,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
default,cohere-default-unknown-unknown-unknown-unknown-unknown-unknown-false,,,0.4,0.4,0.4,0.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
command light,command-light-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
command,command-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,15.0,15.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
generate-custom,commandr-custom-unknown-unknown-unknown-unknown-unknown-unknown-true,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
command r+,commandr-plus-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,15.0,15.0,15.0,15.0,15.0,10.0,10.0
fine-tuned model - command r,commandr-unknown-unknown-unknown-unknown-unknown-unknown-true,,,,,,,,,,,4.0,4.0,4.0,4.0,1.2
command r,commandr-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,0.4,0.4,0.4,0.4,0.4,1.5,1.5,1.5,1.5,1.5,1.5,0.6,0.6
command r fine-tuned model,commandr-unknown-unknown-unknown-unknown-unknown-unknown-unknown-true,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0
rerank,rerank-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,,,,,
