name,id_name,2024-04-17,2024-07-03,2024-08-26,2024-09-27,2024-10-21
bge large,bge-large-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,
bge-l,bge-large-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,
dbrx,dbrx-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,
gte,gte-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,
llama 2 13b,llama-unknown-unknown-2-unknown-13-unknown-unknown-false,,,,,
llama 2 70b,llama-unknown-unknown-2-unknown-70-unknown-unknown-false,,,,,
llama 3 70b,llama-unknown-unknown-3-unknown-70-unknown-unknown-false,,,,,
llama 3 8b,llama-unknown-unknown-3-unknown-8-unknown-unknown-false,,,,,
llama 3.1 405b,llama-unknown-unknown-3.1-unknown-405-unknown-unknown-false,,,,,
llama 3.1 70b,llama-unknown-unknown-3.1-unknown-70-unknown-unknown-false,,,,,
llama 3.1 8b,llama-unknown-unknown-3.1-unknown-8-unknown-unknown-false,,,,,
llama 3.2 1b,llama-unknown-unknown-3.2-unknown-1-unknown-unknown-false,,,,,
llama 3.2 3b,llama-unknown-unknown-3.2-unknown-3-unknown-unknown-false,,,,,
llama-2-13b,llama-unknown-unknown-2-unknown-13-unknown-unknown-false,,,,,
llama-2-70b,llama-unknown-unknown-2-unknown-70-unknown-unknown-false,,,,,
mixtral 8x7b,mixtral-unknown-unknown-unknown-unknown-8x7-unknown-unknown-false,,,,,
mixtral-8-7b,mixtral-unknown-unknown-unknown-unknown-8x7-unknown-unknown-false,,,,,
mpt 30b,mpt-unknown-unknown-unknown-unknown-30-unknown-unknown-false,,,,,
mpt 7b,mpt-unknown-unknown-unknown-unknown-7-unknown-unknown-false,,,,,
mpt-30b,mpt-unknown-unknown-unknown-unknown-30-unknown-unknown-false,,,,,
mpt-7b,mpt-unknown-unknown-unknown-unknown-7-unknown-unknown-false,,,,,
