name,id_name,2022-07-17,2022-08-19,2022-10-09,2022-12-01,2023-02-28,2023-04-01,2023-12-22,2024-03-01,2024-05-30,2024-08-26,2024-09-27,2024-10-21,2023-04-15,2023-06-02,2023-07-29,2023-08-17,2024-01-22
base model,base-unknown-unknown-unknown,0.0158,0.0158,0.0158,0.0158,0.0145,0.0145,,,,,,,,,,,
enhanced model,enhanced-unknown-unknown-unknown,,,,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,,,,,
deepgram nova,deepgram-nova-unknown-unknown,,,,,,,,,,,,,0.0058,0.0059,0.0059,0.0059,
deepgram whisper cloud,deepgram-whisper-cloud-unknown,,,,,,,,,,,,,0.0033,0.0048,,,
whisper large,whisper-large-unknown-unknown,,,,,,,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,,,0.0048,0.0048,0.0048
whisper medium,whisper-medium-unknown-unknown,,,,,,,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,,,0.0042,0.0042,0.0042
whisper small,whisper-small-unknown-unknown,,,,,,,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038,,,0.0038,0.0038,0.0038
whisper base,whisper-base-unknown-unknown,,,,,,,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,,,0.0035,0.0035,0.0035
whisper tiny,whisper-tiny-unknown-unknown,,,,,,,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,,,0.0033,0.0033,0.0033
nova-1,nova-unknown-unknown-1,,,,,,,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,,,,,0.0059
base,base-unknown-unknown-unknown,,,,,,,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145,,,,,0.0145
redaction,redaction-unknown-unknown-unknown,,,,,,,0.004333333333333333,0.002,,,,,,,,,0.004333333333333333
nova-2,nova-unknown-unknown-2,,,,,,,,0.0059,0.0059,0.0059,0.0059,0.0059,,,,,0.0059
enhanced,enhanced-unknown-unknown-unknown,,,,,,,,,,,,,,,,,0.0165
