name,2024-06-18,2024-05-20,2024-04-23,2024-04-17,2024-02-25,2024-01-17,2023-12-25,2023-12-01,2024-07-03,2024-08-26,2023-02-20,2023-04-20,2023-05-20,2023-06-20,2023-07-20,2023-08-20,2023-09-20,2024-09-27,2024-10-21
airoboros-70b,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,
codellama-34b-instruct,,,0.6,0.6,0.7,0.7,0.7,0.7,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,
dbrx,,,0.6,0.6,,,,,,,,,,,,,,,
dolphin-2.6-mixtral-8x7b,0.24,0.24,0.24,0.27,,,,,0.24,,,,,,,,,,
gemma-2-27b-it,,,,,,,,,,,,,,,,,,,0.0
gemma-7b,0.07,0.07,0.1,,,,,,0.07,,,,,,,,,,
llama-2-13b-chat,,0.13,0.18,0.22,0.7,0.7,0.7,0.7,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,
llama-2-70b-chat,,0.64,0.64,0.7,0.7,0.7,0.7,0.7,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,
llama-2-7b-chat,,0.07,0.1,0.13,0.7,0.7,0.7,0.7,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,
llama-3-70b-instruct,0.59,0.59,0.59,,,,,,0.56,0.35,,,,,,,,0.35,0.35
llama-3-8b-instruct,0.08,0.08,0.1,,,,,,0.064,0.055,,,,,,,,0.055,0.055
llama-3.1-405b-instruct,,,,,,,,,,2.7,,,,,,,,1.79,1.79
llama-3.1-70b-instruct,,,,,,,,,,0.35,,,,,,,,0.35,0.35
llama-3.1-8b-instruct,,,,,,,,,,0.055,,,,,,,,0.055,0.055
llama-3.2-11b-vision-instruct,,,,,,,,,,,,,,,,,,,0.0
lzlv-70b,0.59,0.59,0.59,0.7,0.7,0.7,0.7,0.7,0.59,0.35,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.35,0.35
mistral-7b,0.07,0.07,,0.13,0.7,0.7,0.7,0.7,0.064,0.055,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,
mistral-7b-v2,0.07,0.07,0.1,,,,,,0.07,0.055,,,,,,,,,
mistral-7b-v3,0.07,,,,,,,,0.07,0.055,,,,,,,,0.055,0.055
mistrallite,,,,,,0.7,0.7,,,,,,,,,,,,
mixtral 8x22b,,0.65,,,,,,,,,,,,,,,,,
mixtral-8x22b,,,0.65,0.65,,,,,,,,,,,,,,,
mixtral-8x7b-chat,0.24,0.24,0.24,0.27,0.7,0.7,0.7,,0.24,0.24,,,,,,,,0.24,0.24
mythomax-l2-13b,0.13,0.13,0.18,0.22,0.7,0.7,0.7,,0.12,0.1,,,,,,,,0.1,0.1
mythomax-l2-13b-turbo,0.13,0.13,,,,,,,,,,,,,,,,,
openchat-3.5,0.07,0.07,0.13,0.13,0.7,0.7,0.7,,0.07,0.055,,,,,,,,0.055,0.055
phi-3-medium-4k,0.14,,,,,,,,0.14,0.14,,,,,,,,,
phind-codellama-34b-v2,0.6,0.6,0.6,0.6,0.7,0.7,0.7,,0.6,,,,,,,,,,0.0
qwen2-72b,0.59,,,,,,,,0.56,0.35,,,,,,,,0.35,
qwen2-7b,0.07,,,,,,,,0.07,0.055,,,,,,,,0.055,0.0
sdxl,,,,,,,,,,,,,,,,,,,
starcoder2-15b,,0.6,,,,,,,,,,,,,,,,,0.0
wizardlm-2-7b,0.07,0.07,0.1,,,,,,0.07,0.055,,,,,,,,0.055,0.055
wizardlm-2-8x22b,0.65,0.65,,,,,,,0.65,0.5,,,,,,,,0.5,0.5
yi-34b-chat,,,0.6,0.6,0.7,0.7,0.7,,,,,,,,,,,,
yi-6b-200k,,,,,,0.7,0.7,,,,,,,,,,,,
zephyr 8x-22b,,,0.65,0.65,,,,,,,,,,,,,,,
