name,2023-02-20,2023-04-20,2023-05-20,2023-06-20,2023-07-20,2023-08-20,2023-09-20,2023-12-01,2023-12-25,2024-01-17,2024-02-25,2024-04-17,2024-04-23,2024-05-20,2024-06-18,2024-07-03,2024-08-26,2024-09-27,2024-10-21
wizardlm-2-8x22b,,,,,,,,,,,,,,0.65,0.65,0.65,0.5,0.5,0.5
mixtral-8x7b-chat,,,,,,,,,0.9,0.9,1.0,0.27,0.24,0.24,0.24,0.24,0.24,0.24,0.24
dolphin-2.6-mixtral-8x7b,,,,,,,,,,,,0.27,0.24,0.24,0.24,0.24,,,
mistral-7b-v3,,,,,,,,,,,,,,,0.07,0.07,0.055,0.055,0.055
llama-3-8b-instruct,,,,,,,,,,,,,0.1,0.08,0.08,0.064,0.055,0.055,0.055
wizardlm-2-7b,,,,,,,,,,,,,0.1,0.07,0.07,0.07,0.055,0.055,0.055
gemma-7b,,,,,,,,,,,,,0.1,0.07,0.07,0.07,,,
mistral-7b-v2,,,,,,,,,,,,,0.1,0.07,0.07,0.07,0.055,,
mistral-7b,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.9,1.0,0.13,,0.07,0.07,0.064,0.055,,
qwen2-7b,,,,,,,,,,,,,,,0.07,0.07,0.055,0.055,
phi-3-medium-4k,,,,,,,,,,,,,,,0.14,0.14,0.14,,
mythomax-l2-13b,,,,,,,,,0.9,0.9,1.0,0.22,0.18,0.13,0.13,0.12,0.1,0.1,0.1
mythomax-l2-13b-turbo,,,,,,,,,,,,,,0.13,0.13,,,,
phind-codellama-34b-v2,,,,,,,,,0.9,0.9,1.0,0.6,0.6,0.6,0.6,0.6,,,
qwen2-72b,,,,,,,,,,,,,,,0.79,0.77,0.4,0.4,
llama-3-70b-instruct,,,,,,,,,,,,,0.79,0.79,0.79,0.77,0.4,0.4,0.4
lzlv-70b,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.9,1.0,0.9,0.79,0.79,0.79,0.79,0.4,0.4,0.4
openchat-3.5,,,,,,,,,0.9,0.9,1.0,0.13,0.13,0.07,0.07,0.07,0.055,0.055,0.055
llama-2-7b-chat,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.9,1.0,0.13,0.1,0.07,,,,,
llama-2-13b-chat,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.9,1.0,0.22,0.18,0.13,,,,,
llama-2-70b-chat,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.9,0.9,0.9,0.8,0.8,,,,,
airoboros-70b,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.9,1.0,0.9,0.9,0.9,,,,,
mixtral 8x22b,,,,,,,,,,,,,,0.65,,,,,
starcoder2-15b,,,,,,,,,,,,,,0.6,,,,,
mixtral-8x22b,,,,,,,,,,,,0.65,0.65,,,,,,
zephyr 8x-22b,,,,,,,,,,,,0.65,0.65,,,,,,
dbrx,,,,,,,,,,,,0.6,0.6,,,,,,
yi-34b-chat,,,,,,,,,0.9,0.9,1.0,0.6,0.6,,,,,,
codellama-34b-instruct,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.9,1.0,0.6,0.6,,,,,,
mistrallite,,,,,,,,,0.9,0.9,,,,,,,,,
yi-6b-200k,,,,,,,,,0.9,0.9,,,,,,,,,
llama-3.1-8b-instruct,,,,,,,,,,,,,,,,,0.055,0.055,0.055
llama-3.1-70b-instruct,,,,,,,,,,,,,,,,,0.4,0.4,0.4
llama-3.1-405b-instruct,,,,,,,,,,,,,,,,,2.7,1.79,1.79
gemma-2-27b-it,,,,,,,,,,,,,,,,,,,
llama-3.2-11b-vision-instruct,,,,,,,,,,,,,,,,,,,
