name,2024-10-31
capybara 34b,0.9
chronos hermes 13b v2,0.2
code llama 13b,0.2
code llama 13b instruct,0.2
code llama 13b python,0.2
code llama 34b,0.9
code llama 34b instruct,0.9
code llama 34b python,0.9
code llama 70b,0.9
code llama 70b instruct,0.9
code llama 70b python,0.9
code llama 7b,0.2
code llama 7b instruct,0.2
code llama 7b python,0.2
code qwen 1.5 7b,0.2
codegemma 2b,0.2
codegemma 7b,0.2
dbrx instruct,1.6
deepseek coder 1.3b base,0.2
deepseek coder 33b instruct,0.9
deepseek coder 6.7b base,0.2
deepseek coder 7b base v1.5,0.2
deepseek coder 7b instruct v1.5,0.2
deepseek coder v2 instruct,0.0
deepseek coder v2 lite,0.0
deepseek coder v2 lite base,0.0
deepseek v2 lite chat,0.0
deepseek v2.5,0.0
dolphin 2.6 mixtral 8x7b,0.5
dolphin 2.9.2 qwen2 72b,0.9
firellava-13b,0.2
gemma 2b instruct,0.2
gemma 7b,0.2
gemma 7b instruct,0.2
hermes 2 pro mistral 7b,0.2
llama 2 13b,0.2
llama 2 13b chat,0.2
llama 2 70b,0.9
llama 2 70b chat,0.9
llama 2 7b,0.2
llama 2 7b chat,0.2
llama 3 70b instruct,0.9
llama 3 70b instruct (hf version),0.9
llama 3 8b (hf version),0.2
llama 3 8b instruct,0.2
llama 3 8b instruct (hf version),0.2
llama 3.1 405b instruct,0.0
llama 3.1 70b instruct,0.9
llama 3.1 8b instruct,0.2
llama 3.2 11b vision instruct,0.2
llama 3.2 1b,0.2
llama 3.2 1b instruct,0.2
llama 3.2 3b,0.2
llama 3.2 3b instruct,0.2
llama 3.2 90b vision instruct,0.0
llama guard 7b,0.2
llama guard v2 8b,0.2
llama guard v3 1b,0.2
llama v3p1 405b instruct long,0.0
llava v1.6 yi 34b,0.9
mistral 7b,0.2
mistral 7b instruct v0.1,0.2
mistral 7b instruct v0.2,0.2
mistral 7b instruct v0.3,0.2
mistral 7b openorca,0.2
mistral 7b v0.2,0.2
mistral nemo base 2407,0.0
mistral nemo instruct 2407,0.0
mixtral 8x22b instruct v0.1,0.9
mixtral 8x7b v0.1,0.5
mixtral moe 8x22b,0.9
mixtral moe 8x22b instruct,0.9
mixtral moe 8x7b instruct,0.5
mixtral moe 8x7b instruct (hf version),0.5
mythomax l2 13b,0.2
nous capybara 7b v1.9,0.2
nous hermes 2 - mixtral 8x7b - dpo,0.5
nous hermes 2 - yi 34b,0.9
nous hermes llama2 13b,0.2
nous hermes llama2 70b,0.9
nous hermes llama2 7b,0.2
openchat 3.5 0106,0.2
openhermes 2 - mistral 7b,0.2
openhermes 2.5 - mistral 7b,0.2
phi 3 mini 128k instruct,0.0
phi 3.5 vision instruct,0.0
phi-2,0.2
phind codellama 34b python v1,0.9
phind codellama 34b v1,0.9
phind codellama 34b v2,0.9
pythia 12b,0.2
qwen1.5 72b chat,0.9
qwen2 72b instruct,0.9
qwen2 7b instruct,0.2
qwen2.5 14b,0.2
qwen2.5 14b instruct,0.2
qwen2.5 32b,0.9
qwen2.5 32b instruct,0.9
qwen2.5 72b,0.9
qwen2.5 72b float8-mm-405b,0.9
qwen2.5 72b instruct,0.9
qwen2.5 7b,0.2
qwen2.5 7b instruct,0.2
qwen2.5 coder 1.5b,0.2
qwen2.5 coder 1.5b instruct,0.2
qwen2.5 coder 7b,0.2
qwen2.5 coder 7b instruct,0.2
qwen2p5 math 72b instruct,0.9
snorkel mistral pairrm dpo,0.2
stable code 3b,0.0
starcoder 15.5b,0.2
starcoder 7b,0.2
starcoder2 15b,0.2
starcoder2 3b,0.2
starcoder2 7b,0.2
toppy m 7b,0.2
yi 34b,0.9
yi 34b chat,0.9
yi 6b,0.2
yi-large,3.0
zephyr 7b beta,0.2
