name,id_name
Capybara 34B,capybara-unknown-unknown-unknown-unknown-34-unknown-unknown-false
Chronos Hermes 13B v2,hermes-unknown-unknown-2-unknown-13-unknown-unknown-false
Code Llama 13B,code-unknown-unknown-unknown-unknown-13-unknown-unknown-false
Code Llama 13B Instruct,llama-unknown-unknown-unknown-unknown-13-unknown-instruct-false
Code Llama 13B Python,llama-unknown-unknown-unknown-unknown-13-unknown-python-false
Code Llama 34B,code-unknown-unknown-unknown-unknown-34-unknown-unknown-false
Code Llama 34B Instruct,llama-unknown-unknown-unknown-unknown-34-unknown-instruct-false
Code Llama 34B Python,llama-unknown-unknown-unknown-unknown-34-unknown-python-false
Code Llama 70B,code-unknown-unknown-unknown-unknown-70-unknown-unknown-false
Code Llama 70B Instruct,llama-unknown-unknown-unknown-unknown-70-unknown-instruct-false
Code Llama 70B Python,llama-unknown-unknown-unknown-unknown-70-unknown-python-false
Code Llama 7B,code-unknown-unknown-unknown-unknown-7-unknown-unknown-false
Code Llama 7B Instruct,llama-unknown-unknown-unknown-unknown-7-unknown-instruct-false
Code Llama 7B Python,llama-unknown-unknown-unknown-unknown-7-unknown-python-false
Code Qwen 1.5 7B,qwen-unknown-unknown-1.5-unknown-7-unknown-unknown-false
CodeGemma 2B,codegemma-unknown-unknown-unknown-2-unknown-unknown-unknown-false
CodeGemma 7B,codegemma-unknown-unknown-unknown-7-unknown-unknown-unknown-false
DBRX Instruct,dbrx-unknown-unknown-unknown-unknown-unknown-unknown-instruct-false
DeepSeek Coder 1.3B Base,deepseek-unknown-base-unknown-1.3-unknown-unknown-unknown-false
DeepSeek Coder 6.7B Base,deepseek-unknown-base-unknown-6.7-unknown-unknown-unknown-false
DeepSeek Coder V2 Instruct,deepseek-unknown-instruct-unknown-2-unknown-unknown-unknown-false
DeepSeek Coder V2 Lite Base,deepseek-unknown-lite-base-2-unknown-unknown-unknown-false
DeepSeek V2 Lite Chat,deepseek-unknown-lite-2-unknown-unknown-unknown-chat-false
DeepSeek V2.5,deepseek-unknown-unknown-2.5-unknown-unknown-unknown-unknown-false
Deepseek Coder 33B Instruct,deepseek-unknown-unknown-unknown-33-unknown-unknown-instruct-false
Deepseek Coder 7B Base v1.5,deepseek-unknown-base-1.5-unknown-7-unknown-unknown-false
Deepseek Coder 7B Instruct v1.5,deepseek-unknown-unknown-1.5-7-unknown-unknown-instruct-false
Deepseek Coder V2 Lite,deepseek-unknown-unknown-2-unknown-unknown-unknown-lite-false
Dolphin 2.6 Mixtral 8x7b,dolphin-mixtral-unknown-2.6-unknown-8x7-unknown-unknown-false
Dolphin 2.9.2 Qwen2 72B,dolphin-qwen-unknown-2.9.2-unknown-72-unknown-unknown-false
FireLLaVA-13B,firellava-unknown-unknown-unknown-13-unknown-unknown-false
Gemma 2B Instruct,gemma-unknown-unknown-unknown-unknown-2-unknown-instruct-false
Gemma 7B,gemma-unknown-unknown-unknown-unknown-7-unknown-unknown-false
Gemma 7B Instruct,gemma-unknown-unknown-unknown-unknown-7-unknown-instruct-false
Hermes 2 Pro Mistral 7B,hermes-mistral pro-2-unknown-7-unknown-unknown-false-false
LLaVA V1.6 Yi 34B,llava-unknown-yi-unknown-34-unknown-unknown-false
Llama 2 13B,llama-unknown-unknown-2-unknown-13-unknown-unknown-false
Llama 2 13B Chat,llama-unknown-unknown-2-unknown-13-unknown-unknown-false
Llama 2 70B,llama-unknown-unknown-2-unknown-70-unknown-unknown-false
Llama 2 70B Chat,llama-unknown-unknown-2-unknown-70-unknown-unknown-false
Llama 2 7B,llama-unknown-unknown-2-unknown-7-unknown-unknown-false
Llama 2 7B Chat,llama-unknown-unknown-2-unknown-7-unknown-chat-false
Llama 3 70B Instruct,llama-unknown-unknown-3-unknown-70-unknown-instruct-false
Llama 3 70B Instruct (HF version),llama-unknown-unknown-3-unknown-70-unknown-instruct-false
Llama 3 8B (HF version),llama-unknown-unknown-3-unknown-8-unknown-unknown-false
Llama 3 8B Instruct,llama-unknown-unknown-3-unknown-8-unknown-instruct-false
Llama 3 8B Instruct (HF version),llama-unknown-unknown-3-unknown-8-unknown-instruct-false
Llama 3.1 405B Instruct,llama-unknown-unknown-3.1-unknown-405-unknown-instruct-false
Llama 3.1 70B Instruct,llama-unknown-unknown-3.1-unknown-70-unknown-instruct-false
Llama 3.1 8B Instruct,llama-unknown-unknown-3.1-unknown-8-unknown-instruct-false
Llama 3.2 11B Vision Instruct,llama-vision-instruct-unknown-3.2-unknown-11-unknown-unknown-false
Llama 3.2 1B,llama-unknown-unknown-3.2-unknown-1-unknown-unknown-false
Llama 3.2 1B Instruct,llama-unknown-unknown-3.2-unknown-1-unknown-instruct-false
Llama 3.2 3B,llama-unknown-unknown-3.2-unknown-3-unknown-unknown-false
Llama 3.2 3B Instruct,llama-unknown-unknown-3.2-unknown-3-unknown-instruct-false
Llama 3.2 90B Vision Instruct,llama-vision-instruct-unknown-3.2-unknown-90-unknown-unknown-false
Llama Guard 7B,llama-guard-unknown-unknown-unknown-7-unknown-unknown-false
Llama Guard v2 8B,llama-guard-unknown-2-unknown-8-unknown-unknown-false
Llama Guard v3 1B,llama-guard-unknown-3-unknown-1-unknown-unknown-false
Llama V3p1 405b Instruct Long,llama-unknown-long-3.1-unknown-405-unknown-instruct-false
Mistral 7B,mistral-unknown-unknown-unknown-unknown-7-unknown-unknown-false
Mistral 7B Instruct v0.1,mistral-instruct-unknown-0.1-unknown-7-unknown-unknown-false
Mistral 7B Instruct v0.2,mistral-instruct-unknown-0.2-unknown-7-unknown-unknown-false
Mistral 7B Instruct v0.3,mistral-instruct-unknown-0.3-unknown-7-unknown-unknown-false
Mistral 7B OpenOrca,mistral-openorca-unknown-unknown-unknown-7-unknown-unknown-false
Mistral 7B v0.2,mistral-unknown-unknown-0.2-unknown-7-unknown-unknown-false
Mistral Nemo Base 2407,mistral-nemo-unknown-unknown-2407-unknown-unknown-unknown-false
Mistral Nemo Instruct 2407,mistral-nemo-unknown-unknown-2407-unknown-unknown-instruct-false
Mixtral 8x22B Instruct v0.1,mixtral-unknown-unknown-0.1-unknown-8x22-unknown-instruct-false
Mixtral 8x7B v0.1,mixtral-unknown-unknown-0.1-unknown-8x7-unknown-unknown-false
Mixtral MoE 8x22B,mixtral-moe-unknown-unknown-unknown-8x22-unknown-unknown-false
Mixtral MoE 8x22B Instruct,mixtral-moe-unknown-unknown-unknown-8x22-unknown-instruct-false
Mixtral MoE 8x7B Instruct,mixtral-moe-unknown-unknown-unknown-8x7-unknown-instruct-false
Mixtral MoE 8x7B Instruct (HF version),mixtral-moe-unknown-unknown-unknown-8x7-unknown-instruct-false
Mixtral Moe 8x22B,mixtral-moe-unknown-unknown-unknown-8x22-unknown-unknown-false
MythoMax L2 13b,mythomax-unknown-unknown-l2-unknown-13-unknown-unknown-false
Nous Capybara 7B V1.9,capybara-unknown-unknown-1.9-unknown-7-unknown-unknown-false
Nous Hermes 2 - Mixtral 8x7B - DPO,hermes-mixtral-dpo-2-unknown-8x7-unknown-unknown-false
Nous Hermes 2 - Yi 34B,hermes-yi-unknown-2-unknown-34-unknown-unknown-false
Nous Hermes Llama2 13B,hermes-llama-unknown-2-unknown-13-unknown-unknown-false
Nous Hermes Llama2 70B,hermes-llama-unknown-2-unknown-70-unknown-unknown-false
Nous Hermes Llama2 7B,hermes-llama-unknown-2-unknown-7-unknown-unknown-false
OpenChat 3.5 0106,openchat-unknown-unknown-3.5-0106-unknown-unknown-unknown-false
OpenHermes 2 - Mistral 7B,openhermes-mistral-unknown-2-unknown-7-unknown-unknown-false
OpenHermes 2.5 - Mistral 7B,openhermes-mistral-unknown-2.5-unknown-7-unknown-unknown-false
Phi 3 Mini 128K Instruct,phi-mini-unknown-3-unknown-unknown-128-instruct-false
Phi 3.5 Vision Instruct,phi-vision-instruct-unknown-3.5-unknown-unknown-unknown-false
Phi-2,phi-unknown-unknown-2-unknown-unknown-unknown-unknown-false
Phind CodeLlama 34B Python v1,codellama-unknown-unknown-unknown-34-unknown-unknown-python-false
Phind CodeLlama 34B v1,codellama-unknown-unknown-1-unknown-34-unknown-unknown-false
Phind CodeLlama 34B v2,codellama-unknown-unknown-2-unknown-34-unknown-unknown-false
Pythia 12B,pythia-unknown-unknown-unknown-unknown-12-unknown-unknown-false
QWen2.5 72B float8-mm-405b,qwen-unknown-float8-2.5-unknown-405-unknown-unknown-false
Qwen1.5 72B Chat,qwen-unknown-unknown-1.5-unknown-72-unknown-chat-false
Qwen2 72B Instruct,qwen-unknown-unknown-2-unknown-72-unknown-instruct-false
Qwen2 7B Instruct,qwen-unknown-unknown-2-unknown-7-unknown-instruct-false
Qwen2.5 14B,qwen-unknown-unknown-2.5-unknown-14-unknown-unknown-false
Qwen2.5 14B Instruct,qwen-unknown-unknown-2.5-unknown-14-unknown-instruct-false
Qwen2.5 32B,qwen-unknown-unknown-2.5-unknown-32-unknown-unknown-false
Qwen2.5 32B Instruct,qwen-unknown-unknown-2.5-unknown-32-unknown-instruct-false
Qwen2.5 72B,qwen-unknown-unknown-2.5-unknown-72-unknown-unknown-false
Qwen2.5 72B Instruct,qwen-unknown-unknown-2.5-unknown-72-unknown-instruct-false
Qwen2.5 7B,qwen-unknown-unknown-2.5-unknown-7-unknown-unknown-false
Qwen2.5 7B Instruct,qwen-instruct-unknown-2.5-unknown-7-unknown-instruct-false
Qwen2.5 Coder 1.5B,qwen-unknown-unknown-2.5-1.5-unknown-unknown-unknown-false
Qwen2.5 Coder 1.5B Instruct,qwen-unknown-unknown-2.5-1.5-unknown-unknown-instruct-false
Qwen2.5 Coder 7B,qwen-unknown-unknown-2.5-unknown-7-unknown-unknown-false
Qwen2.5 Coder 7B Instruct,qwen-unknown-unknown-2.5-unknown-7-unknown-instruct-false
Qwen2p5 Math 72b Instruct,qwen-math-unknown-2.5-unknown-72-unknown-instruct-false
Snorkel Mistral PairRM DPO,mistral-pairrm-dpo-unknown-unknown-unknown-unknown-unknown-false
Stable Code 3B,stable-code-unknown-unknown-unknown-3-unknown-unknown-false
StarCoder 15.5B,starcoder-unknown-unknown-unknown-unknown-15.5-unknown-unknown-false
StarCoder 7B,starcoder-unknown-unknown-unknown-unknown-7-unknown-unknown-false
StarCoder2 15B,starcoder2-unknown-unknown-unknown-unknown-15-unknown-unknown-false
StarCoder2 3B,starcoder2-unknown-unknown-unknown-unknown-3-unknown-unknown-false
StarCoder2 7B,starcoder2-unknown-unknown-unknown-unknown-7-unknown-unknown-false
Toppy M 7B,toppy-m-unknown-unknown-unknown-7-unknown-unknown-false
Yi 34B,yi-unknown-unknown-unknown-unknown-34-unknown-unknown-false
Yi 34B Chat,yi-unknown-unknown-unknown-unknown-34-unknown-chat-false
Yi 6B,yi-unknown-unknown-unknown-unknown-6-unknown-unknown-false
Yi-Large,yi-large-unknown-unknown-unknown-unknown-unknown-unknown-false
Zephyr 7B Beta,zephyr-beta-unknown-unknown-unknown-7-unknown-unknown-false
