name,2024-10-31
Capybara 34B,0.9
Chronos Hermes 13B v2,0.2
Code Llama 13B,0.2
Code Llama 13B Instruct,0.2
Code Llama 13B Python,0.2
Code Llama 34B,0.9
Code Llama 34B Instruct,0.9
Code Llama 34B Python,0.9
Code Llama 70B,0.9
Code Llama 70B Instruct,0.9
Code Llama 70B Python,0.9
Code Llama 7B,0.2
Code Llama 7B Instruct,0.2
Code Llama 7B Python,0.2
Code Qwen 1.5 7B,0.2
CodeGemma 2B,0.2
CodeGemma 7B,0.2
DBRX Instruct,1.6
DeepSeek Coder 1.3B Base,0.2
DeepSeek Coder 6.7B Base,0.2
DeepSeek Coder V2 Instruct,
DeepSeek Coder V2 Lite Base,
DeepSeek V2 Lite Chat,
DeepSeek V2.5,
Deepseek Coder 33B Instruct,0.9
Deepseek Coder 7B Base v1.5,0.2
Deepseek Coder 7B Instruct v1.5,0.2
Deepseek Coder V2 Lite,
Dolphin 2.6 Mixtral 8x7b,0.5
Dolphin 2.9.2 Qwen2 72B,0.9
FireLLaVA-13B,0.2
Gemma 2B Instruct,0.2
Gemma 7B,0.2
Gemma 7B Instruct,0.2
Hermes 2 Pro Mistral 7B,0.2
LLaVA V1.6 Yi 34B,0.9
Llama 2 13B,0.2
Llama 2 13B Chat,0.2
Llama 2 70B,0.9
Llama 2 70B Chat,0.9
Llama 2 7B,0.2
Llama 2 7B Chat,0.2
Llama 3 70B Instruct,0.9
Llama 3 70B Instruct (HF version),0.9
Llama 3 8B (HF version),0.2
Llama 3 8B Instruct,0.2
Llama 3 8B Instruct (HF version),0.2
Llama 3.1 405B Instruct,
Llama 3.1 70B Instruct,0.9
Llama 3.1 8B Instruct,0.2
Llama 3.2 11B Vision Instruct,0.2
Llama 3.2 1B,0.2
Llama 3.2 1B Instruct,0.2
Llama 3.2 3B,0.2
Llama 3.2 3B Instruct,0.2
Llama 3.2 90B Vision Instruct,0.0
Llama Guard 7B,0.2
Llama Guard v2 8B,0.2
Llama Guard v3 1B,0.2
Llama V3p1 405b Instruct Long,
Mistral 7B,0.2
Mistral 7B Instruct v0.1,0.2
Mistral 7B Instruct v0.2,0.2
Mistral 7B Instruct v0.3,0.2
Mistral 7B OpenOrca,0.2
Mistral 7B v0.2,0.2
Mistral Nemo Base 2407,
Mistral Nemo Instruct 2407,
Mixtral 8x22B Instruct v0.1,0.9
Mixtral 8x7B v0.1,0.5
Mixtral MoE 8x22B,0.9
Mixtral MoE 8x22B Instruct,0.9
Mixtral MoE 8x7B Instruct,0.5
Mixtral MoE 8x7B Instruct (HF version),0.5
Mixtral Moe 8x22B,0.9
MythoMax L2 13b,0.2
Nous Capybara 7B V1.9,0.2
Nous Hermes 2 - Mixtral 8x7B - DPO,0.5
Nous Hermes 2 - Yi 34B,0.9
Nous Hermes Llama2 13B,0.2
Nous Hermes Llama2 70B,0.9
Nous Hermes Llama2 7B,0.2
OpenChat 3.5 0106,0.2
OpenHermes 2 - Mistral 7B,0.2
OpenHermes 2.5 - Mistral 7B,0.2
Phi 3 Mini 128K Instruct,
Phi 3.5 Vision Instruct,
Phi-2,0.2
Phind CodeLlama 34B Python v1,0.9
Phind CodeLlama 34B v1,0.9
Phind CodeLlama 34B v2,0.9
Pythia 12B,0.2
QWen2.5 72B float8-mm-405b,0.9
Qwen1.5 72B Chat,0.9
Qwen2 72B Instruct,0.9
Qwen2 7B Instruct,0.2
Qwen2.5 14B,0.2
Qwen2.5 14B Instruct,0.2
Qwen2.5 32B,0.9
Qwen2.5 32B Instruct,0.9
Qwen2.5 72B,0.9
Qwen2.5 72B Instruct,0.9
Qwen2.5 7B,0.2
Qwen2.5 7B Instruct,0.2
Qwen2.5 Coder 1.5B,0.2
Qwen2.5 Coder 1.5B Instruct,0.2
Qwen2.5 Coder 7B,0.2
Qwen2.5 Coder 7B Instruct,0.2
Qwen2p5 Math 72b Instruct,0.9
Snorkel Mistral PairRM DPO,0.2
Stable Code 3B,0.0
StarCoder 15.5B,0.2
StarCoder 7B,0.2
StarCoder2 15B,0.2
StarCoder2 3B,0.2
StarCoder2 7B,0.2
Toppy M 7B,0.2
Yi 34B,0.9
Yi 34B Chat,0.9
Yi 6B,0.2
Yi-Large,3.0
Zephyr 7B Beta,0.2
