name,id_name,2024-06-01,2024-05-22,2024-04-19,2024-03-10,2024-07-03,2024-08-26,2024-09-27,2024-10-21
LLM Text translation,llm-unknown-text-unknown-unknown-unknown-unknown-translation-false,,,,,,,,
claude 3 haiku,claude-haiku-unknown-3-unknown-unknown-unknown-false,,,,,,,,
claude 3 opus,claude-opus-unknown-3-unknown-unknown-unknown-false,,,,,,,,
claude 3 sonnet,claude-sonnet-unknown-3-unknown-unknown-unknown-false,,,,,,,,
claude 3.5 sonnet,claude-sonnet-unknown-3.5-unknown-unknown-unknown-false,,,,,,,,
codestral,codestral-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,
codey for code chat,codey-unknown-code-chat-unknown-unknown-unknown-unknown-false,,,,,,,,
codey for code chat 32k,codey-unknown-code-chat-unknown-unknown-unknown-32-false,,,,,,,,
codey for code completion,codey-unknown-code-completion-unknown-unknown-unknown-unknown-false,,,,,,,,
codey for code generation,codey-unknown-code-generation-unknown-unknown-unknown-unknown-false,,,,,,,,
codey for code generation 32k,codey-unknown-code-generation-unknown-unknown-unknown-32-false,,,,,,,,
gemini 1.5 flash,gemini-flash-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,,,,
gemini 1.5 flash (<128 k),gemini-flash-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,,,,
gemini 1.5 flash 128k,gemini-flash-unknown-1.5-unknown-unknown-128-unknown-false,,,,,,,,
gemini 1.5 pro,gemini-pro-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,,,,
gemini 1.5 pro (<128k),gemini-pro-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,,,,
gemini 1.5 pro 128k,gemini-pro-unknown-1.5-unknown-unknown-128-unknown-false,,,,,,,,
gemini pro,gemini-pro-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,
jamba 1.5 large,jamba-large-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,,,,
jamba 1.5 mini,jamba-mini-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,,,,
mistral large,mistral-large-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,
mistral large 2407,mistral-large-unknown-unknown-2407-unknown-unknown-unknown-false,,,,,,,,
mistral nemo,mistral-nemo-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,
palm 2 for chat (chat bison),palm-unknown-bison-2-unknown-unknown-unknown-chat-false,,,,,,,,
palm 2 for chat 32k (chat bison 32k),palm-unknown-bison-2-unknown-unknown-32-chat-false,,,,,,,,
palm 2 for text (text bison),palm-unknown-bison-2-unknown-unknown-unknown-text-false,,,,,,,,
palm 2 for text (text unicorn),palm-unknown-unicorn-2-unknown-unknown-unknown-text-false,,,,,,,,
palm 2 for text 32k (text bison 32k),palm-unknown-bison-2-unknown-unknown-32-unknown-false,,,,,,,,
