name,2024-03-10,2024-04-19,2024-05-22,2024-06-01,2024-07-03,2024-08-26,2024-09-27,2024-10-21
gemini 1.5 flash,,,0.000263,0.000263,0.000263,0.000263,4e-05,4e-05
gemini 1.5 pro,,0.00265,0.00263,0.00263,0.00263,0.00263,0.00263,0.00263
gemini 1.0 pro,,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025
palm 2 for text (text bison),0.00025,0.00025,0.00025,0.00025,0.00025,,,
palm 2 for text 32k (text bison 32k),0.00025,0.00025,0.00025,0.00025,0.00025,,,
palm 2 for text (text unicorn),0.0025,0.0025,0.00025,0.00025,0.00025,,,
palm 2 for chat (chat bison),0.00025,0.00025,0.00025,0.00025,0.00025,,,
palm 2 for chat 32k (chat bison 32k),0.00025,0.00025,0.00025,0.00025,0.00025,,,
codey for code generation,0.00025,0.00025,0.00025,0.00025,0.00025,,,
codey for code generation 32k,0.00025,0.00025,0.00025,0.00025,0.00025,,,
codey for code chat,0.00025,0.00025,0.00025,0.00025,0.00025,,,
codey for code chat 32k,0.00025,0.00025,0.00025,0.00025,0.00025,,,
codey for code completion,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025
claude 3 opus,,15.0,15.0,15.0,15.0,15.0,15.0,15.0
claude 3 sonnet,,3.0,3.0,3.0,3.0,3.0,3.0,3.0
claude 3 haiku,,0.25,0.25,0.25,0.25,0.25,,0.25
claude 3.5 sonnet,,,,,,3.0,3.0,3.0
mistral large,,,,,,3.0,,
mistral nemo,,,,,,0.3,0.15,0.3
codestral,,,,,,1.0,0.2,1.0
LLM Text translation,,,,,,,10.0,10.0
jamba 1.5 mini,,,,,,,0.2,
jamba 1.5 large,,,,,,,2.0,
mistral large 2407,,,,,,,2.0,3.0
