name,id_name,2024-06-01,2024-05-22,2024-04-19,2024-03-10,2024-07-03,2024-08-26,2024-09-27,2024-10-21
LLM Text translation,llm-unknown-text-unknown-unknown-unknown-unknown-translation-false,,,,,,,40.0,40.0
claude 3 haiku,claude-haiku-unknown-3-unknown-unknown-unknown-false,1.25,1.25,1.25,,1.25,1.25,,1.25
claude 3 opus,claude-opus-unknown-3-unknown-unknown-unknown-false,75.0,75.0,75.0,,75.0,75.0,75.0,75.0
claude 3 sonnet,claude-sonnet-unknown-3-unknown-unknown-unknown-false,15.0,15.0,15.0,,15.0,15.0,15.0,15.0
claude 3.5 sonnet,claude-sonnet-unknown-3.5-unknown-unknown-unknown-false,,,,,,15.0,15.0,15.0
codestral,codestral-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,3.0,0.6,3.0
codey for code chat,codey-unknown-code-chat-unknown-unknown-unknown-unknown-false,2.0,2.0,2.0,,2.0,,,
codey for code chat 32k,codey-unknown-code-chat-unknown-unknown-unknown-32-false,2.0,2.0,2.0,,2.0,,,
codey for code completion,codey-unknown-code-completion-unknown-unknown-unknown-unknown-false,2.0,2.0,2.0,,2.0,2.0,0.5,0.5
codey for code generation,codey-unknown-code-generation-unknown-unknown-unknown-unknown-false,2.0,2.0,2.0,,2.0,,,
codey for code generation 32k,codey-unknown-code-generation-unknown-unknown-unknown-32-false,2.0,2.0,2.0,,2.0,,,
gemini 1.5 flash,gemini-flash-unknown-1.5-unknown-unknown-unknown-unknown-false,3.0,3.0,,,3.0,3.0,0.6,0.6
gemini 1.5 flash (<128 k),gemini-flash-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,,,0.3,0.3
gemini 1.5 flash 128k,gemini-flash-unknown-1.5-unknown-unknown-128-unknown-false,1.5,1.5,,,1.5,1.5,,
gemini 1.5 pro,gemini-pro-unknown-1.5-unknown-unknown-unknown-unknown-false,30.0,30.0,30.0,,30.0,30.0,30.0,30.0
gemini 1.5 pro (<128k),gemini-pro-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,,,15.0,15.0
gemini 1.5 pro 128k,gemini-pro-unknown-1.5-unknown-unknown-128-unknown-false,15.0,15.0,,,15.0,15.0,,
gemini pro,gemini-pro-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,1.5,,,,
jamba 1.5 large,jamba-large-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,,,8.0,
jamba 1.5 mini,jamba-mini-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,,,0.4,
mistral large,mistral-large-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,9.0,,
mistral large 2407,mistral-large-unknown-unknown-2407-unknown-unknown-unknown-false,,,,,,,6.0,9.0
mistral nemo,mistral-nemo-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,0.3,0.15,0.3
palm 2 for chat (chat bison),palm-unknown-bison-2-unknown-unknown-unknown-chat-false,2.0,2.0,2.0,2.0,2.0,,,
palm 2 for chat 32k (chat bison 32k),palm-unknown-bison-2-unknown-unknown-32-chat-false,2.0,2.0,2.0,2.0,2.0,,,
palm 2 for text (text bison),palm-unknown-bison-2-unknown-unknown-unknown-text-false,2.0,2.0,2.0,2.0,2.0,,,
palm 2 for text (text unicorn),palm-unknown-unicorn-2-unknown-unknown-unknown-text-false,30.0,30.0,30.0,30.0,30.0,,,
palm 2 for text 32k (text bison 32k),palm-unknown-bison-2-unknown-unknown-32-unknown-false,2.0,2.0,2.0,2.0,2.0,,,
