name,id_name,2024-10-31
DeepSeek V2.5 (BF16),deepseek-unknown-unknown-2.5-unknown-unknown-unknown-unknown-false,2.0
Hermes 3 70B (BF16),hermes-unknown-bf16-3-unknown-70-unknown-unknown-false,0.4
Llama 3 70B (BF16),llama-unknown-unknown-3-unknown-70-unknown-unknown-false,0.4
Llama 3.1 405B (BF16),llama-unknown-bf16-3.1-unknown-405-unknown-unknown-false,4.0
Llama 3.1 405B BASE (BF16),llama-unknown-bf16-3.1-unknown-405-unknown-base-false,4.0
Llama 3.1 405B BASE (FP8),llama-base-fp8-3.1-unknown-405-unknown-base-false,2.0
Llama 3.1 70B (BF16),llama-unknown-bf16-3.1-unknown-70-unknown-unknown-false,0.4
Llama 3.1 8B (BF16),llama-unknown-unknown-3.1-unknown-8-unknown-unknown-false,0.1
Llama 3.2 3B (BF16),llama-unknown-unknown-3.2-unknown-3-unknown-unknown-false,0.1
Llama 3.2 90B Vision BASE (BF16),llama-unknown-base-bf16-3.2-unknown-90-unknown-unknown-false,2.0
Llama-3.2-90B-Vision-Instruct (BF16),llama-unknown-instruct-bf16-3.2-unknown-90-unknown-unknown-false,0.4
Pixtral 12B (BF16),pixtral-unknown-unknown-bf16-unknown-12-unknown-unknown-false,0.1
Qwen 2.5 72B (BF16),qwen-unknown-unknown-2.5-unknown-72-unknown-instruct-false,0.4
Qwen2-VL-72B-Instruct (BF16),qwen-instruct-unknown-2-unknown-72-unknown-unknown-false,0.4
Qwen2-VL-7B-Instruct (BF16),qwen-instruct-unknown-2-unknown-7-unknown-unknown-false,0.1
