name,2024-05-21,2024-07-03,2024-08-26,2024-09-27,2024-10-21
granite-20b-multilingual,0.6,0.6,0.6,0.6,0.6
granite-13b-chat,0.6,,0.6,0.6,0.6
granite-13b-instruct,0.6,,0.6,0.6,0.6
granite-34b-code-instruct,0.6,0.6,0.6,0.6,0.6
granite-20b-code-instruct,0.6,0.6,0.6,0.6,0.6
granite-8b-code-instruct,0.6,0.6,0.6,0.6,0.6
granite-3b-code-instruct,0.6,0.6,0.6,0.6,0.6
granite-8b-japanese,0.6,0.6,0.6,0.6,0.6
granite-7b-lab,0.6,0.6,0.6,0.6,
llama-3-8b-instruct,0.6,0.6,,0.6,0.6
llama-3-70b-instruct,1.8,1.8,1.8,1.8,1.8
llama-2-70b-chat,1.8,1.8,1.8,,
llama-2-13b-chat,0.6,0.6,0.6,,
llama2-13b-dpo-v7 (korean),1.8,1.8,1.8,1.8,1.8
codellama-34b-instruct,1.8,1.8,1.8,1.8,1.8
mixtral-8x7b-instruct,0.6,,0.6,0.6,0.6
merlinite-7b,0.6,0.6,,,
jais-13b-chat (arabic),1.8,1.8,1.8,1.8,1.8
flan-t5-xl-3b,0.6,0.6,,0.6,0.6
flan-t5-xxl-11b,1.8,1.8,1.8,1.8,1.8
flan-ul2-20b,5.0,5.0,,5.0,5.0
elyza-japanese-llama-2-7b-instruct,1.8,1.8,1.8,1.8,1.8
mt0-xxl-13b,1.8,1.8,1.8,1.8,1.8
granite 13b chat,,0.6,,,
granite 13b instruct,,0.6,,,
allam-1-13b-instruct,,1.8,1.8,1.8,1.8
llama-3.1-8b-instruct,,,0.6,,
llama-3.1-405b-instruct,,,5.0,5.0,5.0
llama-3-1-70b-instruct,,,1.8,1.8,1.8
llama-3-1-8b-instruct,,,0.6,0.6,0.6
mistral-large-2,,,10.0,10.0,10.0
llama-3-2-3b-instruct,,,,,0.15
granite-3-8b-instruct,,,,,0.2
granite-3-2b-instruct,,,,,0.1
granite-guardian-3-8b,,,,,0.2
granite-guardian-3-2b,,,,,0.1
llama-3-2-1b-instruct,,,,,0.1
