name,id_name,2024-10-31
EleutherAI/pythia-410m,pythia-unknown-unknown-unknown-unknown-0.41-unknown-unknown-false,
EleutherAI/pythia-70m,pythia-unknown-unknown-unknown-unknown-0.07-unknown-unknown-false,
Qwen/Qwen2-7B-Instruct,qwen-unknown-unknown-2-unknown-7-unknown-instruct-false,
hf-internal-testing/tiny-random-gpt2,gpt-random-tiny-2-unknown-unknown-unknown-unknown-false,
meta-llama/Llama-2-13b-chat-hf,llama-unknown-hf-2-unknown-13-unknown-chat-false,
meta-llama/Llama-2-7b-chat-hf,llama-unknown-hf-2-unknown-7-unknown-chat-false,
meta-llama/Llama-2-7b-hf,llama-unknown-hf-2-unknown-7-unknown-unknown-false,
meta-llama/Meta-Llama-3-8B-Instruct,llama-unknown-unknown-3-unknown-8-unknown-instruct-false,
meta-llama/Meta-Llama-3.1-8B-Instruct,llama-unknown-unknown-3.1-unknown-8-unknown-instruct-false,
microsoft/Phi-3-mini-4k-instruct,phi-mini-unknown-3-unknown-unknown-4-instruct-false,
microsoft/phi-2,phi-unknown-unknown-2-unknown-unknown-unknown-unknown-false,
mistralai/Mistral-7B-Instruct-v0.1,mistral-unknown-unknown-0.1-unknown-7-unknown-instruct-false,
mistralai/Mistral-7B-Instruct-v0.2,mistral-unknown-unknown-0.2-unknown-7-unknown-instruct-false,
mistralai/Mistral-7B-Instruct-v0.3,mistral-unknown-unknown-0.3-unknown-7-unknown-instruct-false,
