name,id_name,2024-10-31
EleutherAI/pythia-410m,pythia-unknown-unknown-unknown-unknown-0.41-unknown-unknown-false,0.5
EleutherAI/pythia-70m,pythia-unknown-unknown-unknown-unknown-0.07-unknown-unknown-false,0.5
Qwen/Qwen2-7B-Instruct,qwen-unknown-unknown-2-unknown-7-unknown-instruct-false,0.5
hf-internal-testing/tiny-random-gpt2,gpt-random-tiny-2-unknown-unknown-unknown-unknown-false,0.5
meta-llama/Llama-2-13b-chat-hf,llama-unknown-hf-2-unknown-13-unknown-chat-false,0.5
meta-llama/Llama-2-7b-chat-hf,llama-unknown-hf-2-unknown-7-unknown-chat-false,0.5
meta-llama/Llama-2-7b-hf,llama-unknown-hf-2-unknown-7-unknown-unknown-false,0.5
meta-llama/Meta-Llama-3-8B-Instruct,llama-unknown-unknown-3-unknown-8-unknown-instruct-false,0.5
meta-llama/Meta-Llama-3.1-8B-Instruct,llama-unknown-unknown-3.1-unknown-8-unknown-instruct-false,0.5
microsoft/Phi-3-mini-4k-instruct,phi-mini-unknown-3-unknown-unknown-4-instruct-false,0.5
microsoft/phi-2,phi-unknown-unknown-2-unknown-unknown-unknown-unknown-false,0.5
mistralai/Mistral-7B-Instruct-v0.1,mistral-unknown-unknown-0.1-unknown-7-unknown-instruct-false,0.5
mistralai/Mistral-7B-Instruct-v0.2,mistral-unknown-unknown-0.2-unknown-7-unknown-instruct-false,0.5
mistralai/Mistral-7B-Instruct-v0.3,mistral-unknown-unknown-0.3-unknown-7-unknown-instruct-false,0.5
