name,2024-01-03,2024-02-01,2024-03-02,2024-04-05,2024-05-20,2024-08-26,2024-09-27,2024-10-21
llama2 7b,0.1,0.1,0.1,0.1,,,,
llama2 13b,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
llama2 70b,0.8,0.8,0.8,0.8,,,,
code llama 7b,0.1,,,,,,,
code llama 13b,0.3,,,,,,,
code llama 34b,0.8,,,,,,,
prompt llm,,0.2,0.2,,,,,
mixtral 8x7b,,0.5,0.5,0.5,0.5,0.5,0.5,0.5
lepton search (beta),,0.015,0.015,0.015,0.015,0.015,0.015,0.015
mythomax l2 13b,,,,0.3,0.18,0.18,0.18,0.18
gemma 7b,,,,0.1,0.07,0.07,0.07,
dolphin mixtral 8x7b,,,,0.5,0.5,0.5,0.5,0.5
dbrx,,,,0.9,,,,
wizardlm-2 7b,,,,,0.07,0.07,0.07,0.07
wizardlm-2 8x22b,,,,,1.0,1.0,1.0,1.0
toppy m 7b,,,,,0.07,0.07,0.07,0.07
openchat 3.5,,,,,0.07,0.07,0.07,0.07
nous: hermes 13b,,,,,0.18,0.18,0.18,0.18
mixtral 8x22b,,,,,0.8,,,
mistral 7b,,,,,0.07,0.07,0.07,0.07
llama3 70b,,,,,0.8,0.8,0.8,0.8
llama3.1 8b,,,,,,0.07,0.07,0.07
llama3.1 70b,,,,,,0.8,0.8,0.8
llama3.1 405b,,,,,,2.8,2.8,2.8
mistral nemo,,,,,,0.18,0.18,0.18
qwen2 72b,,,,,,0.8,0.8,0.8
gemma 2 9b,,,,,,,0.07,0.07
