name,id_name,2024-01-03,2024-02-01,2024-03-02,2024-04-05,2024-05-20,2024-08-26,2024-09-27,2024-10-21
code llama 13b,code-unknown-unknown-unknown-unknown-13-unknown-unknown-false,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
code llama 34b,code-unknown-unknown-unknown-unknown-34-unknown-unknown-false,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
code llama 7b,code-unknown-unknown-unknown-unknown-7-unknown-unknown-false,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
dbrx,dbrx-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,0.9,0.9,0.9,0.9,0.9
dolphin mixtral 8x7b,dolphin-mixtral-unknown-unknown-unknown-8x7-unknown-unknown-false,,,,0.5,0.5,0.5,0.5,0.5
gemma 2 9b,gemma-unknown-unknown-2-unknown-9-unknown-unknown-false,,,,,,,0.07,0.07
gemma 7b,gemma-unknown-unknown-unknown-unknown-7-unknown-unknown-false,,,,0.1,0.07,0.07,0.07,0.07
nous: hermes 13b,hermes-unknown-unknown-unknown-unknown-13-unknown-unknown-false,,,,,0.18,0.18,0.18,0.18
llama3 70b,llama-unknown-unknown-3-unknown-70-unknown-unknown-false,,,,,0.8,0.8,0.8,0.8
llama3 8b,llama-unknown-unknown-3-unknown-8-unknown-unknown-false,,,,,0.07,0.07,0.07,0.07
llama3.1 405b,llama-unknown-unknown-3.1-unknown-405-unknown-unknown-false,,,,,,2.8,2.8,2.8
llama3.1 70b,llama-unknown-unknown-3.1-unknown-70-unknown-unknown-false,,,,,,0.8,0.8,0.8
llama3.1 8b,llama-unknown-unknown-3.1-unknown-8-unknown-unknown-false,,,,,,0.07,0.07,0.07
llama3.2 3b,llama-unknown-unknown-3.2-unknown-3-unknown-unknown-false,,,,,,,,0.03
llama2 13b,llama-unknown-unknown-unknown-13-unknown-unknown-unknown-false,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
llama2 7b,llama-unknown-unknown-unknown-7-unknown-unknown-unknown-false,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
llama2 70b,llama-unknown-unknown-unknown-70-unknown-unknown-unknown-false,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
mistral nemo,mistral-nemo-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,0.18,0.18,0.18
mistral 7b,mistral-unknown-unknown-unknown-unknown-7-unknown-unknown-false,,,,,0.07,0.07,0.07,0.07
mixtral 8x22b,mixtral-unknown-unknown-unknown-unknown-8x22-unknown-unknown-false,,,,,0.8,0.8,0.8,0.8
mixtral 8x7b,mixtral-unknown-unknown-unknown-unknown-8x7-unknown-unknown-false,,0.5,0.5,0.5,0.5,0.5,0.5,0.5
mythomax l2 13b,mythomax-unknown-unknown-l2-unknown-13-unknown-unknown-false,,,,0.3,0.18,0.18,0.18,0.18
openchat 3.5,openchat-unknown-unknown-3.5-unknown-unknown-unknown-unknown-false,,,,,0.07,0.07,0.07,0.07
prompt llm,prompt-llm-unknown-unknown-unknown-unknown-unknown-unknown-false,,0.2,0.2,0.2,0.2,0.2,0.2,0.2
qwen2 72b,qwen-unknown-unknown-2-unknown-72-unknown-unknown-false,,,,,,0.8,0.8,0.8
toppy m 7b,toppy-m-unknown-unknown-unknown-7-unknown-unknown-false,,,,,0.07,0.07,0.07,0.07
wizardlm-2 7b,wizardlm-unknown-unknown-2-unknown-7-unknown-unknown-false,,,,,0.07,0.07,0.07,0.07
wizardlm-2 8x22b,wizardlm-unknown-unknown-2-unknown-8x22-unknown-unknown-false,,,,,1.0,1.0,1.0,1.0
