name,2024-07-05,2024-09-30
babbage-002,0.4,
babbage-002 (fine-tuned),0.4,0.4
code interpreter,,
command r,1.5,1.5
command r 08-2024,,0.6
command r+,15.0,15.0
command r+ 08-2024,,2.5
davinci-002,2.0,
davinci-002 (fine-tuned),2.0,2.0
gpt 3.5 16k 0613,,4.0
gpt 3.5 16k 1106,,2.0
gpt 3.5 4k 0301,,2.0
gpt 3.5 4k 0613,,2.0
gpt 3.5 turbo 0125,,1.5
gpt 3.5 turbo 16k,,1.5
gpt 3.5 turbo 4k,,1.5
gpt 3.5 turbo instruct,,2.0
gpt 4 32k,,120.0
gpt 4 8k,,60.0
gpt 4-0 2024-08-06,,10.0
gpt 4-0 global deployment,,15.0
gpt 4-0 mini global deployment,,0.6
gpt 4-0 mini regional api,,0.6
gpt 4-0 regional deployment,,15.0
gpt 4o,,11.0
gpt 4o mini,,0.66
gpt-3.5-turbo (16k fine-tuned),1.5,
gpt-3.5-turbo (4k fine-tuned),1.5,
gpt-3.5-turbo-0125,1.5,
gpt-3.5-turbo-0301,2.0,
gpt-3.5-turbo-0613,2.0,
gpt-3.5-turbo-0613 (16k),4.0,
gpt-3.5-turbo-1106,2.0,
gpt-3.5-turbo-instruct,2.0,
gpt-4,60.0,
gpt-4-32k,120.0,
gpt-4o global deployment,15.0,
gpt-4o regional api,15.0,
jais 30b chat,9.709999999999999,9.709999999999999
jamba 1.5 large,,8.0
jamba 1.5 mini,,0.4
jamba-instruct,0.7,0.7
llama 2 13b,0.94,0.94
llama 2 13b chat,0.94,0.94
llama 2 70b,1.77,1.77
llama 2 70b chat,0.67,1.77
llama 2 7b,0.67,0.67
llama 3 70b instruct,11.780000000000001,3.54
llama 3 8b instruct,1.1,0.61
llama 3.1 405b instruct,,16.0
llama 3.1 70b instruct,,3.54
llama 3.1 8b instruct,,0.61
mistral large,12.0,12.0
mistral large 2407,,9.0
mistral small,3.0,0.3
phi-3-medium-128k-instruct,1.5,0.68
phi-3-medium-4k-instruct,1.35,0.68
phi-3-mini-128k-instruct,0.9,0.5199999999999999
phi-3-mini-4k-instruct,0.84,0.5199999999999999
phi-3-small-128k-instruct,1.05,0.6
phi-3-small-8k-instruct,0.96,0.6
phi-3.5 moe instruct,,0.64
