name,id_name,2024-04-05,2024-03-24,2024-02-26,2024-01-16,2023-12-18,2023-12-14,2024-07-03,2024-08-26,2024-09-17,2024-09-27,2024-10-21
Codestral finetuned,codestral-unknown-unknown-unknown-unknown-unknown-unknown-unknown-true,,,,,,,,,,,
Mistral Large 2407 finetuned,mistral-large-unknown-unknown-2407-unknown-unknown-unknown-true,,,,,,,,,,,
codestral,codestral-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,
codestral 22B,codestral-unknown-unknown-unknown-unknown-22-unknown-code-false,,,,,,,,,,,
codestral 22b,codestral-unknown-unknown-unknown-unknown-22-unknown-code-false,,,,,,,,,,,
codestral finetuned,codestral-unknown-unknown-unknown-unknown-unknown-unknown-unknown-true,,,,,,,,,,,
codestral mamba,codestral-mamba-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,
codestral mamba 7B,codestral-mamba-unknown-unknown-unknown-7-unknown-unknown-false,,,,,,,,,,,
ministral 3b 24.10,ministral-unknown-unknown-unknown-2410-3-unknown-unknown-false,,,,,,,,,,,
ministral 8b 24.10,ministral-unknown-unknown-unknown-2410-8-unknown-unknown-false,,,,,,,,,,,
mistral 7b,mistral-unknown-unknown-unknown-unknown-7-unknown-unknown-false,,,,,,,,,,,
mistral 7b finetuned,mistral-unknown-unknown-unknown-unknown-7-unknown-unknown-true,,,,,,,,,,,
mistral large,mistral-large-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,
mistral large 2,mistral-large-unknown-2-unknown-unknown-unknown-unknown-false,,,,,,,,,,,
mistral large 2 finetuned,mistral-large-unknown-2-unknown-unknown-unknown-unknown-true,,,,,,,,,,,
mistral large 2402,mistral-large-unknown-unknown-2402-unknown-unknown-unknown-false,,,,,,,,,,,
mistral medium,mistral-medium-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,
mistral nemo,mistral-nemo-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,
mistral nemo finetuned,mistral-nemo-finetuned-unknown-unknown-unknown-unknown-unknown-true,,,,,,,,,,,
mistral small,mistral-small-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,
mistral small 24.09,mistral-small-unknown-unknown-2409-unknown-unknown-unknown-false,,,,,,,,,,,
mistral small 24.09 finetuned,mistral-small-unknown-unknown-2409-unknown-unknown-unknown-true,,,,,,,,,,,
mistral small 2402,mistral-small-unknown-unknown-2402-unknown-unknown-unknown-false,,,,,,,,,,,
mistral small 2402 finetuned,mistral-small-unknown-unknown-2402-unknown-unknown-unknown-true,,,,,,,,,,,
mistral small finetuned,mistral-small-unknown-unknown-unknown-unknown-unknown-unknown-true,,,,,,,,,,,
mistral-medium,mistral-medium-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,
mistral-small,mistral-small-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,
mistral-tiny,mistral-tiny-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,,,,
mixtral 8x22b,mixtral-unknown-unknown-unknown-unknown-8x22-unknown-unknown-false,,,,,,,,,,,
mixtral 8x7b,mixtral-unknown-unknown-unknown-unknown-8x7-unknown-unknown-false,,,,,,,,,,,
pixtral 12b,pixtral-unknown-unknown-unknown-12-unknown-unknown-false,,,,,,,,,,,
