name,id_name,2024-09-27,2024-10-21
cognitivecomputations/dolphin-mixtral-8x22b,dolphin-mixtral-unknown-unknown-unknown-8x22-unknown-unknown-false,,
google/gemma-2-9b-it,gemma-unknown-it-2-unknown-9-unknown-unknown-false,,
gryphe/mythomax-l2-13b,mythomax-unknown-unknown-l2-unknown-13-unknown-unknown-false,,
jondurbin/airoboros-l2-70b,airoboros-unknown-unknown-l2-unknown-70-unknown-unknown-false,,
lzlv_70b,lzlv-unknown-unknown-unknown-unknown-70-unknown-unknown-false,,
meta-llama/llama-3-70b-instruct,llama-unknown-unknown-3-unknown-70-unknown-unknown-instruct-false,,
meta-llama/llama-3-8b-instruct,llama-unknown-unknown-3-unknown-8-unknown-instruct-false,,
meta-llama/llama-3.1-405b-instruct,llama-unknown-unknown-3.1-unknown-405-unknown-instruct-false,,
meta-llama/llama-3.1-70b-instruct,llama-unknown-unknown-3.1-unknown-70-unknown-instruct-false,,
meta-llama/llama-3.1-8b-instruct,llama-unknown-unknown-3.1-unknown-8-unknown-instruct-false,,
microsoft/wizardlm-2-7b,wizardlm-unknown-unknown-2-unknown-7-unknown-unknown-false,,
microsoft/wizardlm-2-8x22b,wizardlm-unknown-unknown-2-unknown-8x22-unknown-unknown-false,,
mistralai/mistral-7b-instruct,mistral-unknown-unknown-unknown-unknown-7-unknown-instruct-false,,
mistralai/mistral-nemo,mistral-nemo-unknown-unknown-unknown-unknown-unknown-unknown-false,,
nousresearch/hermes-2-pro-llama-3-8b,hermes-pro-llama-2-unknown-8-unknown-unknown-false,,
nousresearch/nous-hermes-llama2-13b,llama2-unknown-unknown-2-unknown-13-unknown-unknown-false,,
openchat/openchat-7b,openchat-unknown-unknown-unknown-unknown-7-unknown-unknown-false,,
qwen/qwen-2-72b-instruct,qwen-unknown-unknown-2-unknown-72-unknown-instruct-false,,
qwen/qwen-2-7b-instruct,qwen-unknown-unknown-2-unknown-7-unknown-instruct-false,,
qwen/qwen-2.5-72b-instruct,qwen-unknown-unknown-2.5-unknown-72-unknown-unknown-instruct-false,,
sao10k/l3-70b-euryale-v2.1,euryale-l3-unknown-2.1-unknown-70-unknown-unknown-false,,
sao10k/l31-70b-euryale-v2.2,euryale-l31-unknown-2.1-unknown-70-unknown-unknown-false,,
sophosympatheia/midnight-rose-70b,midnight-rose-unknown-unknown-unknown-70-unknown-unknown-false,,
teknium/openhermes-2.5-mistral-7b,openhermes-mistral-unknown-2.5-unknown-7-unknown-unknown-false,,
