name,id_name,2024-09-27,2024-10-21
cognitivecomputations/dolphin-mixtral-8x22b,dolphin-mixtral-unknown-unknown-unknown-8x22-unknown-unknown-false,0.9,0.9
google/gemma-2-9b-it,gemma-unknown-it-2-unknown-9-unknown-unknown-false,0.08,0.08
gryphe/mythomax-l2-13b,mythomax-unknown-unknown-l2-unknown-13-unknown-unknown-false,0.12,0.09
jondurbin/airoboros-l2-70b,airoboros-unknown-unknown-l2-unknown-70-unknown-unknown-false,0.5,0.5
lzlv_70b,lzlv-unknown-unknown-unknown-unknown-70-unknown-unknown-false,0.78,
meta-llama/llama-3-70b-instruct,llama-unknown-unknown-3-unknown-70-unknown-unknown-instruct-false,0.74,0.74
meta-llama/llama-3-8b-instruct,llama-unknown-unknown-3-unknown-8-unknown-instruct-false,0.06,0.04
meta-llama/llama-3.1-405b-instruct,llama-unknown-unknown-3.1-unknown-405-unknown-instruct-false,2.75,2.75
meta-llama/llama-3.1-70b-instruct,llama-unknown-unknown-3.1-unknown-70-unknown-instruct-false,0.74,0.74
meta-llama/llama-3.1-8b-instruct,llama-unknown-unknown-3.1-unknown-8-unknown-instruct-false,0.07,0.05
microsoft/wizardlm-2-7b,wizardlm-unknown-unknown-2-unknown-7-unknown-unknown-false,0.06,0.06
microsoft/wizardlm-2-8x22b,wizardlm-unknown-unknown-2-unknown-8x22-unknown-unknown-false,0.62,0.62
mistralai/mistral-7b-instruct,mistral-unknown-unknown-unknown-unknown-7-unknown-instruct-false,0.06,0.059
mistralai/mistral-nemo,mistral-nemo-unknown-unknown-unknown-unknown-unknown-unknown-false,0.17,0.17
nousresearch/hermes-2-pro-llama-3-8b,hermes-pro-llama-2-unknown-8-unknown-unknown-false,0.14,0.14
nousresearch/nous-hermes-llama2-13b,llama2-unknown-unknown-2-unknown-13-unknown-unknown-false,0.17,
openchat/openchat-7b,openchat-unknown-unknown-unknown-unknown-7-unknown-unknown-false,0.06,0.06
qwen/qwen-2-72b-instruct,qwen-unknown-unknown-2-unknown-72-unknown-instruct-false,0.39,0.39
qwen/qwen-2-7b-instruct,qwen-unknown-unknown-2-unknown-7-unknown-instruct-false,0.05,0.054
qwen/qwen-2.5-72b-instruct,qwen-unknown-unknown-2.5-unknown-72-unknown-unknown-instruct-false,,0.4
sao10k/l3-70b-euryale-v2.1,euryale-l3-unknown-2.1-unknown-70-unknown-unknown-false,1.48,1.48
sao10k/l31-70b-euryale-v2.2,euryale-l31-unknown-2.1-unknown-70-unknown-unknown-false,1.48,
sophosympatheia/midnight-rose-70b,midnight-rose-unknown-unknown-unknown-70-unknown-unknown-false,0.8,0.8
teknium/openhermes-2.5-mistral-7b,openhermes-mistral-unknown-2.5-unknown-7-unknown-unknown-false,0.17,
