name,id_name,2024-02-06,2024-02-24,2024-04-15,2024-04-21,2024-07-25,2024-08-26,2024-09-27,2024-10-21
code llama (34b),code-unknown-unknown-unknown-unknown-34-unknown-unknown-false,,,,,,,,
codellama-13b-instruct,codellama-unknown-instruct-unknown-unknown-13-unknown-code-false,,,,,,,,
codellama 7b instruct,codellama-unknown-instruct-unknown-unknown-7-unknown-code-false,,,,,,,,
codellama 70b instruct,codellama-unknown-instruct-unknown-unknown-70-unknown-code-false,,,,,,,,
codellama 13b,codellama-unknown-unknown-unknown-unknown-13-unknown-unknown-false,,,,,,,,
codellama-34b-instruct,codellama-unknown-unknown-unknown-unknown-34-unknown-instruct-false,,,,,,,,
codellama 7b,codellama-unknown-unknown-unknown-unknown-7-unknown-unknown-false,,,,,,,,
Hermes 2 Pro Llama 3,hermes-llama-pro-2-unknown-unknown-unknown-unknown-false,,,,,,,,
nous hermes mixtral 8x7b,hermes-mixtral-unknown-unknown-unknown-8x7-unknown-unknown-false,,,,,,,,
llama guard 2 7b,llama-guard-unknown-2-unknown-7-unknown-unknown-false,,,,,,,,
llama 2 13b,llama-unknown-unknown-2-unknown-13-unknown-unknown-false,,,,,,,,
llama 2 7b,llama-unknown-unknown-2-unknown-7-unknown-unknown-false,,,,,,,,
llama 2 70b,llama-unknown-unknown-2-unknown-70-unknown-unknown-false,,,,,,,,
llama 3 7b,llama-unknown-unknown-3-unknown-7-unknown-unknown-false,,,,,,,,
llama 3 70b,llama-unknown-unknown-3-unknown-70-unknown-unknown-false,,,,,,,,
llama 3 8b,llama-unknown-unknown-3-unknown-8-unknown-unknown-false,,,,,,,,
llama 3.1 instruct 405b,llama-unknown-unknown-3.1-unknown-405-unknown-instruct-false,,,,,,,,
llama 3.1 instruct 70b,llama-unknown-unknown-3.1-unknown-70-unknown-instruct-false,,,,,,,,
llama 3.1 instruct 8b,llama-unknown-unknown-3.1-unknown-8-unknown-instruct-false,,,,,,,,
Mistral NeMo,mistral-nemo-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,,,
mistral 7b instruct,mistral-unknown-unknown-unknown-unknown-7-unknown-instruct-false,,,,,,,,
mistral 7b,mistral-unknown-unknown-unknown-unknown-7-unknown-unknown-false,,,,,,,,
mixtral-8x22b,mixtral-unknown-unknown-unknown-unknown-8x22-unknown-unknown-false,,,,,,,,
mixtral 8x7b,mixtral-unknown-unknown-unknown-unknown-8x7-unknown-unknown-false,,,,,,,,
Phi 3.5-Vision,phi-unknown-unknown-3.5-unknown-unknown-unknown-vision-false,,,,,,,,
qwen (32b),qwen-unknown-unknown-unknown-unknown-32-unknown-unknown-false,,,,,,,,
wizardlm-2 8x22b,wizardlm-unknown-unknown-2-unknown-8x22-unknown-unknown-false,,,,,,,,
WizardLM 2,wizardlm-unknown-unknown-2-unknown-unknown-unknown-unknown-false,,,,,,,,
