name,2024-05-01,2024-04-24,2024-07-03,2024-08-26,2024-09-16,2024-09-27,2024-10-21,2024-03-23,2024-02-24,2024-01-23,2023-12-22,2023-11-23,2023-09-24,2023-08-23,2023-10-24,2023-07-24,2023-06-24,2023-05-24,2023-03-23,2023-02-27,2022-11-17
ada (fine-tuning),,,,,,,,,,,,,,,,1.6,1.6,,,,
babbage,,,,,,,,,,,,,,,,,0.5,,0.5,5.0,
babbage (fine-tuning),,,,,,,,,,,,,,,,2.4,2.4,,,,
babbage 002,,,0.4,0.4,0.4,0.4,0.4,,,,,,,,,,,,,,
babbage-002,0.4,0.4,1.6,,,,,0.4,0.4,,0.4,0.4,0.4,0.4,,,,,,,
babbage-002 (base),,,,,,,,,,0.4,,,,,,,,,,,
babbage-002 (fine-tuned),1.6,,,,,,,,,,,,,,,,,,,,
babbage-002 (fine-tuning),,,,,,,,,,,,,1.6,1.6,,,,,,,
babbage-002 finetuned,,1.6,,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,,,1.6,,,,,,
chat gpt-4o latest,,,,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,
chatgpt (gpt-3.5-turbo),,,,,,,,,,,,,,,,,,2.0,,,
curie,,,,,,,,,,,,,,,,,2.0,,2.0,2.0,
curie (fine-tuning),,,,,,,,,,,,,,,,12.0,12.0,,,,
davinci,,,,,,,,,,,,,,,,,20.0,,20.0,20.0,
davinci (fine-tuning),,,,,,,,,,,,,,,,120.0,120.0,,,,
davinci 002,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,
davinci-002,2.0,2.0,12.0,,,,,2.0,2.0,,2.0,2.0,2.0,2.0,,,,,,,
davinci-002 (base),,,,,,,,,,2.0,,,,,,,,,,,
davinci-002 (fine-tuned),12.0,,,,,,,,,,,,,,,,,,,,
davinci-002 (fine-tuning),,,,,,,,,,,,,12.0,12.0,,,,,,,
davinci-002 finetuned,,12.0,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,12.0,,,,,,
fine-tuned ada,,,,,,,,,,,,,,,,,,,1.6,1.6,1.6
fine-tuned babbage,,,,,,,,,,,,,,,,,,,2.4,2.4,2.4
fine-tuned curie,,,,,,,,,,,,,,,,,,,12.0,12.0,12.0
fine-tuned davinci,,,,,,,,,,,,,,,,,,,120.0,120.0,120.0
fine-tuning (ada),,,,,,,,,,,,,,,,,,1.6,,,
fine-tuning (babbage),,,,,,,,,,,,,,,,,,2.4,,,
fine-tuning (curie),,,,,,,,,,,,,,,,,,12.0,,,
fine-tuning (davinci),,,,,,,,,,,,,,,,,,120.0,,,
gpt-3.5 turbo (16k context),,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,,,,
gpt-3.5 turbo (4k context),,,,,,,,,,,,,1.5,1.5,1.5,1.5,1.5,,,,
gpt-3.5 turbo (fine-tuning),,,,,,,,,,,,,12.0,12.0,,,,,,,
