name,2022-11-17,2023-02-27,2023-03-23,2023-05-24,2023-06-24,2023-07-24,2023-08-23,2023-09-24,2023-10-24,2023-11-23,2023-12-22,2024-01-23,2024-02-24,2024-03-23,2024-04-24,2024-05-01,2024-07-03,2024-08-26,2024-09-16,2024-09-27,2024-10-21
gpt-3.5-turbo-0125,,,,,,,,,,,,,0.0005,0.5,0.5,0.5,,,,,
gpt-3.5-turbo-instruct,,,,,,,,,,0.0015,0.0015,0.0015,0.0015,1.5,1.5,1.5,,,,,
davinci-002 (fine-tuned),,,,,,,,,,,,,,,,12.0,,,,,
babbage-002 (fine-tuned),,,,,,,,,,,,,,,,1.6,,,,,
gpt-3.5-turbo (fine-tuned),,,,,,,,,,,,,,,,3.0,3.0,,,,
assistants api,,,,,,,,,,,0.03,,,,,0.03,,,,,
gpt-3.5-turbo-1106,,,,,,,,,,0.001,,0.001,0.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
davinci-002,,,,,,,0.002,0.002,,0.002,0.002,,0.002,2.0,2.0,2.0,12.0,,,,
babbage-002,,,,,,,0.0004,0.0004,,0.0004,0.0004,,0.0004,0.4,0.4,0.4,1.6,,,,
gpt-3.5-turbo-0613,,,,,,,,,,,,,0.0015,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
gpt-3.5-turbo-16k-0613,,,,,,,,,,,,,0.003,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
gpt-3.5-turbo-0301,,,,,,,,,,,,,0.0015,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
gpt-3.5-turbo finetuned,,,,,,,,,,0.003,0.003,0.003,0.003,3.0,3.0,,,3.0,,,
davinci-002 finetuned,,,,,,,,,0.012,0.012,0.012,0.012,0.012,12.0,12.0,,,12.0,,,
babbage-002 finetuned,,,,,,,,,0.0016,0.0016,0.0016,0.0016,0.0016,1.6,1.6,,,1.6,,,
assistants api (code interpreter),,,,,,,,,,,,0.03,,0.03,,,,,,,
assistants api (retrieval),,,,,,,,,,,,0.2,,0.2,,,,,,,
assistants api - retrieval,,,,,,,,,,,,,0.2,,,,,,,,
davinci-002 (base),,,,,,,,,,,,0.002,,,,,,,,,
babbage-002 (base),,,,,,,,,,,,0.0004,,,,,,,,,
gpt-3.5 turbo-1106,,,,,,,,,,,0.001,,,,,,,,,,
gpt-4 (8k context),,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,
gpt-4 (32k context),,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,,,,,,,,,,,
gpt-3.5 turbo (4k context),,,,,0.0015,0.0015,0.0015,0.0015,0.0015,,,,,,,,,,,,
gpt-3.5 turbo (16k context),,,,,0.003,0.003,0.003,0.003,0.003,,,,,,,,,,,,
gpt-3.5 turbo finetuned,,,,,,,,,0.012,,,,,,,,,,,,
babbage-002 (fine-tuning),,,,,,,0.0016,0.0016,,,,,,,,,,,,,
davinci-002 (fine-tuning),,,,,,,0.012,0.012,,,,,,,,,,,,,
gpt-3.5 turbo (fine-tuning),,,,,,,0.012,0.012,,,,,,,,,,,,,
ada (fine-tuning),,,,,0.0016,0.0016,,,,,,,,,,,,,,,
babbage (fine-tuning),,,,,0.0024,0.0024,,,,,,,,,,,,,,,
curie (fine-tuning),,,,,0.012,0.012,,,,,,,,,,,,,,,
davinci (fine-tuning),,,,,0.12,0.12,,,,,,,,,,,,,,,
babbage,,0.005,0.0005,,0.0005,,,,,,,,,,,,,,,,
curie,,0.002,0.002,,0.002,,,,,,,,,,,,,,,,
davinci,,0.02,0.02,,0.02,,,,,,,,,,,,,,,,
chatgpt (gpt-3.5-turbo),,,,0.002,,,,,,,,,,,,,,,,,
instructgpt (ada),0.0004,,,0.0004,,,,,,,,,,,,,,,,,
instructgpt (babbage),0.0005,,,0.0005,,,,,,,,,,,,,,,,,
instructgpt (curie),0.002,,,0.002,,,,,,,,,,,,,,,,,
instructgpt (davinci),0.02,,,0.02,,,,,,,,,,,,,,,,,
fine-tuning (ada),,,,0.0016,,,,,,,,,,,,,,,,,
fine-tuning (babbage),,,,0.0024,,,,,,,,,,,,,,,,,
fine-tuning (curie),,,,0.012,,,,,,,,,,,,,,,,,
fine-tuning (davinci),,,,0.12,,,,,,,,,,,,,,,,,
gpt-3.5-turbo,,,0.002,,,,,,,,,,,,,,,,,,
fine-tuned ada,0.0016,0.0016,0.0016,,,,,,,,,,,,,,,,,,
fine-tuned babbage,0.0024,0.0024,0.0024,,,,,,,,,,,,,,,,,,
fine-tuned curie,0.012,0.012,0.012,,,,,,,,,,,,,,,,,,
fine-tuned davinci,0.12,0.12,0.12,,,,,,,,,,,,,,,,,,
gpt-4o 2024-05-13,,,,,,,,,,,,,,,,,5.0,,,,
gpt-3.5 turbo 0125,,,,,,,,,,,,,,,,,0.5,,,,
gpt-3.5 turbo instruct,,,,,,,,,,,,,,,,,1.5,,,,
davinci 002,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0
babbage 002,,,,,,,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4
gpt-4o-2024-08-06,,,,,,,,,,,,,,,,,,2.5,,,
gpt-4o-2024-05-13,,,,,,,,,,,,,,,,,,5.0,,,
o1-preview,,,,,,,,,,,,,,,,,,,,,
o1-mini,,,,,,,,,,,,,,,,,,,,,
assistants api (file search),,,,,,,,,,,,,,,,,,,,,
o1-preview 2024 09 12,,,,,,,,,,,,,,,,,,,,,
o1-mini 2024 09 12,,,,,,,,,,,,,,,,,,,,,
