name,2024-05-01,2024-04-24,2024-03-23,2024-02-24,2024-01-23,2023-12-22,2023-11-23,2023-10-24,2023-09-24,2023-08-23,2023-07-24,2023-06-24,2023-05-24,2023-03-23,2023-02-27,2024-07-03,2024-08-26,2024-09-16,2022-11-17,2024-09-27,2024-10-21
ada (fine-tuning),,,,,,,,,,,,,,,,,,,,,
babbage,,,,,,,,,,,,,,,,,,,,,
babbage (fine-tuning),,,,,,,,,,,,,,,,,,,,,
babbage 002,,,,,,,,,,,,,,,,0.4,0.4,0.4,,0.4,0.4
babbage-002,,,,0.4,,,,,,,,,,,,1.6,,,,,
babbage-002 (base),,,,,,,,,,,,,,,,,,,,,
babbage-002 (fine-tuned),1.6,,,,,,,,,,,,,,,,,,,,
babbage-002 (fine-tuning),,,,,,,,,1.6,1.6,,,,,,,,,,,
babbage-002 finetuned,,1.6,1.6,1.6,1.6,1.6,1.6,1.6,,,,,,,,,1.6,1.6,,1.6,1.6
chat gpt-4o latest,,,,,,,,,,,,,,,,,10.0,10.0,,10.0,10.0
chatgpt (gpt-3.5-turbo),,,,,,,,,,,,,,,,,,,,,
curie,,,,,,,,,,,,,,,,,,,,,
curie (fine-tuning),,,,,,,,,,,,,,,,,,,,,
davinci,,,,,,,,,,,,,,,,,,,,,
davinci (fine-tuning),,,,,,,,,,,,,,,,,,,,,
davinci 002,,,,,,,,,,,,,,,,2.0,2.0,2.0,,2.0,2.0
davinci-002,,,,2.0,,,,,,,,,,,,12.0,,,,,
davinci-002 (base),,,,,,,,,,,,,,,,,,,,,
davinci-002 (fine-tuned),12.0,,,,,,,,,,,,,,,,,,,,
davinci-002 (fine-tuning),,,,,,,,,12.0,12.0,,,,,,,,,,,
davinci-002 finetuned,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,12.0,12.0,,12.0,12.0
fine-tuned ada,,,,,,,,,,,,,,,,,,,1.6,,
fine-tuned babbage,,,,,,,,,,,,,,,,,,,2.4,,
fine-tuned curie,,,,,,,,,,,,,,,,,,,12.0,,
fine-tuned davinci,,,,,,,,,,,,,,,,,,,120.0,,
fine-tuning (ada),,,,,,,,,,,,,,,,,,,,,
fine-tuning (babbage),,,,,,,,,,,,,,,,,,,,,
fine-tuning (curie),,,,,,,,,,,,,,,,,,,,,
fine-tuning (davinci),,,,,,,,,,,,,,,,,,,,,
gpt-3.5 turbo (16k context),,,,,,,,4.0,4.0,4.0,4.0,4.0,,,,,,,,,
gpt-3.5 turbo (4k context),,,,,,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,
gpt-3.5 turbo (fine-tuning),,,,,,,,,16.0,16.0,,,,,,,,,,,
gpt-3.5 turbo 0125,,,,,,,,,,,,,,,,1.5,,,,,
gpt-3.5 turbo finetuned,,,,,,,,16.0,,,,,,,,,,,,,
gpt-3.5 turbo instruct,,,,,,,,,,,,,,,,2.0,,,,,
gpt-3.5 turbo-1106,,,,,,2.0,,,,,,,,,,,,,,,
gpt-3.5-turbo,,,,,,,,,,,,,,,,,,,,,
gpt-3.5-turbo (fine-tuned),6.0,,,,,,,,,,,,,,,6.0,,,,,
gpt-3.5-turbo finetuned,,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,6.0,6.0,,6.0,6.0
gpt-3.5-turbo-0125,1.5,1.5,1.5,1.5,,,,,,,,,,,,,,,,,
gpt-3.5-turbo-0301,2.0,2.0,2.0,2.0,,,,,,,,,,,,2.0,2.0,2.0,,2.0,2.0
gpt-3.5-turbo-0613,2.0,2.0,2.0,2.0,,,,,,,,,,,,2.0,2.0,2.0,,2.0,2.0
gpt-3.5-turbo-1106,2.0,2.0,2.0,2.0,2.0,,20.0,,,,,,,,,2.0,2.0,2.0,,2.0,2.0
gpt-3.5-turbo-16k-0613,4.0,4.0,4.0,4.0,,,,,,,,,,,,4.0,4.0,4.0,,4.0,4.0
gpt-3.5-turbo-instruct,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,
gpt-4,60.0,60.0,60.0,60.0,60.0,60.0,60.0,,,,,,,,,60.0,60.0,60.0,,60.0,60.0
gpt-4 (32k context),,,,,,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,,,,,,
gpt-4 (8k context),,,,,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,,,,,,,
gpt-4-0125-preview,30.0,30.0,30.0,30.0,,,,,,,,,,,,30.0,30.0,30.0,,30.0,30.0
gpt-4-1106-preview,30.0,30.0,30.0,30.0,30.0,30.0,60.0,,,,,,,,,30.0,30.0,30.0,,30.0,30.0
gpt-4-1106-vision-preview,,,30.0,30.0,30.0,30.0,60.0,,,,,,,,,,,,,,
gpt-4-32k,120.0,120.0,120.0,120.0,120.0,120.0,120.0,,,,,,,,,120.0,120.0,120.0,,120.0,120.0
