name,id_name,2024-06-10,2024-07-03,2024-08-26,2024-09-27,2024-10-21
ai21: jamba 1.5 large,jamba-large-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,
ai21: jamba 1.5 mini,jamba-mini-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,
ai21: jamba instruct,jamba-unknown-unknown-unknown-unknown-unknown-unknown-instruct-false,,,,,
airoboros 70b,airoboros-unknown-unknown-unknown-unknown-70-unknown-unknown-false,,,,,
anthropic: claude 3 haiku,claude-haiku-unknown-3-unknown-unknown-unknown-false,,,,,
anthropic: claude 3 haiku (self-moderated),claude-haiku-unknown-3-unknown-unknown-unknown-false,,,,,
anthropic: claude 3 opus,claude-opus-unknown-3-unknown-unknown-unknown-false,,,,,
anthropic: claude 3 opus (self-moderated),claude-opus-selfmoderated-3-unknown-unknown-unknown-false,,,,,
anthropic: claude 3 sonnet,claude-sonnet-unknown-3-unknown-unknown-unknown-false,,,,,
anthropic: claude 3 sonnet (self-moderated),claude-sonnet-unknown-3-unknown-unknown-unknown-false,,,,,
anthropic: claude 3.5 sonnet,claude-sonnet-unknown-3.5-unknown-unknown-unknown-false,,,,,
anthropic: claude 3.5 sonnet (self-moderated),claude-sonnet-unknown-3.5-unknown-unknown-unknown-false,,,,,
anthropic: claude instant v1.1,claude-instant-unknown-1.1-unknown-unknown-unknown-unknown-false,,,,,
anthropic: claude v2,claude-unknown-unknown-2-unknown-unknown-unknown-unknown-false,,,,,
anthropic: claude v2 (self-moderated),claude-unknown-moderated-2-unknown-unknown-unknown-unknown-false,,,,,
anthropic: claude v2.1,claude-unknown-unknown-2.1-unknown-unknown-unknown-unknown-false,,,,,
anthropic: claude v2.1 (self-moderated),claude-unknown-moderated-2.1-unknown-unknown-unknown-unknown-false,,,,,
cohere: command r (03-2024),commandr-unknown-unknown-unknown-032024-unknown-unknown-unknown-false,,,,,
cohere: command r (08-2024),commandr-unknown-unknown-unknown-082024-unknown-unknown-unknown-false,,,,,
cohere: command r+ (04-2024),commandr-plus-unknown--unknown-042024-unknown-unknown-unknown-false,,,,,
cohere: command r+ (08-2024),commandr-plus-unknown-unknown-082024-unknown-unknown-unknown-false,,,,,
deepseek coder,deepseek-coder-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,
deepseek-coder-v2,deepseek-unknown-unknown-2-unknown-unknown-unknown-unknown-false,,,,,
deepseek-v2 chat,deepseek-unknown-unknown-2-unknown-unknown-unknown-chat-false,,,,,
dolphin 2.6 mixtral 8x7b 🐬,dolphin-mixtral-unknown-2.6-unknown-8x7-unknown-unknown-false,,,,,
dolphin 2.9.2 mixtral 8x22b,dolphin-mixtral-unknown-2.9.2-unknown-8x22-unknown-unknown-false,,,,,
dolphin 2.9.2 mixtral 8x22b 🐬,dolphin-mixtral-unknown-2.9.2-unknown-8x22-unknown-unknown-false,,,,,
eva qwen2.5 14b,eva-qwen-unknown-2.5-unknown-14-unknown-unknown-false,,,,,
fimbulvetr 11b v2,fimbulvetr-unknown-unknown-2-unknown-11-unknown-unknown-false,,,,,
firellava 13b,firellava-unknown-unknown-unknown-unknown-13-unknown-unknown-false,,,,,
flavor of the week,flavor-week-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,
goliath 120b,goliath-unknown-unknown-unknown-unknown-120-unknown-unknown-false,,,,,
google: gemini 1.5 flash-8b,gemini-flash-unknown-1.5-unknown-8-unknown-unknown-false,,,,,
google: gemini flash 1.5,gemini-flash-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,
google: gemini flash 1.5 (preview),gemini-flash-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,
google: gemini flash 1.5 experimental,gemini-flash-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,
google: gemini flash 8b 1.5 experimental,gemini-flash-exp-1.5-unknown-8-unknown-unknown-false,,,,,
google: gemini pro 1.5 experimental,gemini-pro-unknown-1.5-unknown-unknown-unknown-unknown-false,,,,,
google: gemma 2 27b,gemma-unknown-unknown-2-unknown-27-unknown-unknown-false,,,,,
google: gemma 2 9b,gemma-unknown-unknown-2-unknown-9-unknown-unknown-false,,,,,
google: gemma 2 9b (free),gemma-unknown-unknown-2-unknown-9-unknown-unknown-false,,,,,
google: palm 2 chat 32k,palm-unknown-unknown-2-unknown-unknown-32-chat-false,,,,,
