name,2024-06-10,2024-07-03,2024-08-26,2024-09-27,2024-10-21
starcoder2 15b instruct,0.15,,0.35,,
dolphin 2.9.2 mixtral 8x22b,1.0,,,,0.9
qwen 2 72b instruct,0.9,,0.35,,
openchat 3.6 8b,0.08,,,,
mistral 7b instruct,0.07,,,,
mistral 7b instruct v0.3,0.07,,0.055,,0.055
nousresearch: hermes 2 pro - llama-3 8b,0.15,,0.14,0.14,
phi-3 mini instruct (free),0.0,,0.0,,0.0
phi-3 mini instruct,0.1,,,,
phi-3 medium instruct (free),0.0,,,,
phi-3 medium instruct,1.0,,,,
llama 3 lumimaid 70b,3.375,,3.375,3.375,
perplexity: llama3 sonar 8b,0.2,,0.2,,
perplexity: llama3 sonar 8b online,0.2,,,,0.2
perplexity: llama3 sonar 70b,1.0,,,,
perplexity: llama3 sonar 70b online,1.0,,1.0,,
deepseek-v2 chat,0.14,,0.14,,
deepseek coder,0.14,,0.14,,
meta: llama 3 8b (base),0.18,,0.18,,
meta: llama 3 70b (base),0.81,,0.81,,
meta: llamaguard 2 8b,0.2,,,,
olmo 7b instruct,0.18,,,,
qwen 1.5 110b chat,1.62,,,,
qwen 1.5 14b chat,0.27,,,,
qwen 1.5 7b chat,0.18,,,,
qwen 1.5 4b chat,0.09,,,,
qwen 1.5 72b chat,0.9,,,,0.81
qwen 1.5 32b chat,0.75,,,,
meta: llama 3 8b instruct (free),0.0,,,0.0,
llama 3 lumimaid 8b,0.2006,,,0.1875,0.1875
llama 3 lumimaid 8b (extended),0.2006,,,0.1875,0.1875
snowflake: arctic instruct,2.16,,,,
firellava 13b,0.2,,,,
lynn: llama 3 soliloquy 8b v2,0.05,,,,
fimbulvetr 11b v2,0.375,,,0.375,
meta: llama 3 8b instruct (extended),0.2006,,,0.1875,0.1875
meta: llama 3 8b instruct (nitro),0.2,,,0.162,
meta: llama 3 70b instruct (nitro),0.9,,,0.792,0.792
meta: llama 3 8b instruct,0.07,,,0.055,0.055
meta: llama 3 70b instruct,0.59,,,0.35,0.35
mistral: mixtral 8x22b instruct,0.65,,,,
deepseek-coder-v2,,,,,
google: gemma 2 9b (free),,,,,0.0
flavor of the week,,,,,
llama 3 stheno 8b v3.3 32k,,,,,
yi large,,,,,
ai21: jamba instruct,,,,,0.5
nvidia nemotron-4 340b instruct,,,,,
dolphin 2.9.2 mixtral 8x22b 🐬,,,0.9,,
meta: llama 3.2 3b instruct,,,,0.054,0.03
meta: llama 3.2 1b instruct,,,,0.1,0.01
qwen2.5 72b instruct,,,,0.35,0.35
qwen2-vl 72b instruct,,,,0.4,0.4
lumimaid v0.2 8b,,,,0.1875,0.1875
openai: o1-mini (2024-09-12),,,,3.0,3.0
openai: o1-mini,,,,3.0,3.0
openai: o1-preview,,,,15.0,15.0
mistral: pixtral 12b,,,,0.1,0.1
cohere: command r (03-2024),,,,0.475,0.475
cohere: command r+ (04-2024),,,,2.85,2.85
cohere: command r+ (08-2024),,,,2.375,0.2
cohere: command r (08-2024),,,,0.1425,
qwen2-vl 7b instruct,,,,0.1,0.1
google: gemini flash 8b 1.5 experimental,,,,0.0,0.0
llama 3.1 euryale 70b v2.2,,,,0.35,0.35
ai21: jamba 1.5 large,,,,2.0,2.0
ai21: jamba 1.5 mini,,,,0.2,0.2
nous: hermes 3 70b instruct,,,,0.4,0.4
nous: hermes 3 405b instruct (free),,,,0.0,0.0
nous: hermes 3 405b instruct,,,,4.5,1.79
nous: hermes 3 405b instruct (extended),,,,4.5,4.5
perplexity: llama 3.1 sonar 405b online,,,,5.0,5.0
xai: grok beta,,,,,5.0
ministral 8b,,,,,0.1
ministral 3b,,,,,0.04
