name,2024-07-03,2024-08-26,2024-09-27,2024-06-04,2024-01-22,2024-10-21,2024-04-30
granite-20b-code-instruction-8k,,1.0,0.5,,,,
granite-8b-code-instruction-128k,,1.0,1.0,,,,
ibm-granite/granite-3.0-2b-instruct,,,,,,0.25,
ibm-granite/granite-3.0-8b-instruct,,,,,,0.25,
ibmwatsonxai/granite-20b-code-instruction-8k,,,,,,0.5,
ibmwatsonxai/granite-8b-code-instruction-128k,,,,,,0.25,
llama-2-13b,0.5,0.5,0.5,0.5,,,
llama-2-13b-chat,0.5,0.5,0.5,0.5,,,
llama-2-70b,2.75,2.75,2.75,2.75,,,
llama-2-70b-chat,2.75,2.75,2.75,2.75,,,
llama-2-7b,0.25,0.25,0.25,0.25,12.0,0.25,
llama-2-7b-chat,0.25,0.25,0.25,0.25,,,
llama-3-70b,,2.75,,,,,
llama-3-70b-instruct,,2.75,,,,,
llama-3-8b-instruct,,0.25,,,,0.25,
meta-llama-3-70b,2.75,,,2.75,,2.75,
meta-llama-3-70b-instruct,2.75,,,2.75,,,
meta-llama-3-8b,0.25,0.25,,0.25,,,
meta-llama-3-8b-instruct,0.25,,,0.25,,,
meta/llama-2-13b,,,,,,0.5,
meta/llama-2-13b-chat,,,,,,0.5,
meta/llama-2-70b,,,,,,2.75,
meta/llama-2-70b-chat,,,,,,2.75,
meta/llama-2-7b-chat,,,,,,0.25,
meta/meta-llama-3-70b,,,2.75,,,,
meta/meta-llama-3-70b-instruct,,,2.75,,,2.75,
meta/meta-llama-3-8b,,,0.25,,,0.25,
meta/meta-llama-3-8b-instruct,,,0.25,,,0.25,
meta/meta-llama-3.1-405b-instruct,,9.5,9.5,,,9.5,
mistral-7b-instruct-v0.2,0.25,0.25,,0.25,,,
mistral-7b-v0.1,0.25,0.25,,0.25,12.0,,
mistralai/mistral-7b-instruct-v0.2,,,0.25,,,0.25,
mistralai/mistral-7b-v0.1,,,0.25,,,0.25,
mistralai/mixtral-8x7b-instruct-v0.1,,,1.0,,,1.0,
mixtral-8x7b-instruct-v0.1,1.0,1.0,,1.0,,,
