name,2024-01-22,2024-04-30,2024-06-04,2024-07-03,2024-08-26,2024-09-27,2024-10-21
llama-2-13b,,,0.1,0.1,0.1,0.1,
llama-2-13b-chat,,,0.1,0.1,0.1,0.1,
llama-2-70b,,,0.65,0.65,0.65,0.65,
llama-2-70b-chat,,,0.65,0.65,0.65,0.65,
llama-2-7b,0.012,,0.05,0.05,0.05,0.05,0.05
llama-2-7b-chat,,,0.05,0.05,0.05,0.05,
meta-llama-3-70b,,,0.65,0.65,,,0.65
meta-llama-3-70b-instruct,,,0.65,0.65,,,
meta-llama-3-8b-instruct,,,0.05,0.05,,,
mistral-7b-instruct-v0.2,,[],0.05,0.05,0.05,,
mistral-7b-v0.1,0.012,[],0.05,0.05,0.05,,
mixtral-8x7b-instruct-v0.1,,,0.3,0.3,0.3,,
llama-3-8b-instruct,,[],,,0.05,,0.05
llama-3-70b,,,,,0.65,,
llama-3-70b-instruct,,[],,,0.65,,
granite-20b-code-instruction-8k,,,,,0.3,0.1,
granite-8b-code-instruction-128k,,,,,0.3,0.3,
meta/meta-llama-3.1-405b-instruct,,,,,9.5,9.5,9.5
meta/meta-llama-3-70b,,,,,,0.65,
meta/meta-llama-3-70b-instruct,,,,,,0.65,0.65
meta/meta-llama-3-8b-instruct,,,,,,0.05,0.05
mistralai/mistral-7b-instruct-v0.2,,,,,,0.05,0.05
mistralai/mistral-7b-v0.1,,,,,,0.05,0.05
mistralai/mixtral-8x7b-instruct-v0.1,,,,,,0.3,0.3
ibmwatsonxai/granite-20b-code-instruction-8k,,,,,,,0.1
ibmwatsonxai/granite-8b-code-instruction-128k,,,,,,,0.05
meta/llama-2-13b,,,,,,,0.1
meta/llama-2-13b-chat,,,,,,,0.1
meta/llama-2-70b,,,,,,,0.65
meta/llama-2-70b-chat,,,,,,,0.65
meta/llama-2-7b-chat,,,,,,,0.05
ibm-granite/granite-3.0-2b-instruct,,,,,,,0.03
ibm-granite/granite-3.0-8b-instruct,,,,,,,0.05
