name,id_name,2024-05-12,2024-04-19,2024-03-24,2024-07-03,2024-08-26,2024-09-27,2024-10-21,2024-02-23,2024-02-06,2023-11-20,2023-12-23,2023-09-15,2023-08-24,2023-07-27
SD3,stablediffusion-unknown-unknown-3-unknown-unknown-false-unknown-false,6.5,6.5,6.5,,,,,,,,,,,
SD3 Turbo,stablediffusion-unknown-turbo-3-unknown-unknown-false-unknown-false,4.0,4.0,4.0,,,,,,,,,,,
Core,core-unknown-unknown-1-unknown-unknown-false-unknown-false,3.0,3.0,3.0,3.0,300.0,,,,,,,,,
SDXL 1.0 1024,stablediffusion-xl-unknown-1-1024x1024-unknown-false-unknown-false,0.2,0.2,0.2,0.2,0.2,0.2,90.0,,,,,,,
SDXL 1.0 HD 1024,stablediffusion-xl-unknown-1-1024x1024-unknown-true-unknown-false,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,
SD 1.6 512,stablediffusion-unknown-unknown-1.6-512x512-unknown-false-unknown-false,0.2,0.2,0.2,0.2,0.2,0.2,90.0,,,,,,,
SD 1.6 HD 512,stablediffusion-unknown-unknown-1.6-512x512-unknown-true-unknown-false,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
Stable Diffusion XL 1.0 - 1024 - 30 steps,stablediffusion-xl-unknown-1.0-1024x1024-30-False,,,,,,,,20.0,20.0,20.0,,,,
Stable Diffusion 1.6 - 30 steps - 512 pixels,stablediffusion-unknown-unknown-1.6-512x512-30-False,,,,,,,,20.0,20.0,20.0,20.0,,,
Stable Diffusion 1.6 HD - 30 steps - 1024 pixels,stablediffusion-unknown-unknown-1.6-1024x1024-30-True,,,,,,,,30.0,30.0,30.0,30.0,,,
Stable Diffusion XL 1.0 - 1024- 30 steps,stablediffusion-xl-unknown-1.0-1024x1024-30-False,,,,,,,,,,,20.0,,,
Stable Diffusion XL 1.0 - 30 steps - 1024 pixels,stablediffusion-xl-unknown-1.0-1024x1024-30-False,,,,,,,,,,,,160.0,160.0,160.0
Stable Diffusion XL 0.9 - 30 steps - 1024 pixels,stablediffusion-xl-unknown-0.9-1024x1024-30-False,,,,,,,,,,,,160.0,160.0,160.0
Stable Diffusion XL 0.8 - 30 steps - 512 pixels,stablediffusion-xl-unknown-0.8-512x512-30-False,,,,,,,,,,,,50.0,50.0,50.0
Stable Diffusion 1.5 - 30 steps - 512 pixels,stablediffusion-unknown-unknown-1.5-512x512-30-False,,,,,,,,,,,,20.0,20.0,20.0
Stable Diffusion 1.5 HD - 30 steps - 1024 pixels,stablediffusion-unknown-unknown-1.5-1024x1024-30-True,,,,,,,,,,,,190.0,190.0,190.0
Stable Diffusion 2.1 - 30 steps - 512 pixels,stablediffusion-unknown-unknown-2.1-512x512-30-False,,,,,,,,,,,,20.0,20.0,20.0
Stable Diffusion 2.1 HD - 30 steps - 1024 pixels,stablediffusion-unknown-unknown-2.1-1024x1024-30-True,,,,,,,,,,,,190.0,190.0,190.0
Stable Diffusion x4 Latent Upscaler - 512 pixels,stablediffusion-x4-unknown-unknown-unknown-512x512-False,,,,,,,,,,,,800.0,800.0,800.0
Ultra,ultra-unknown-unknown-1-unknown-unknown-false-unknown-false,,,,8.0,800.0,,,,,,,,,
Stable Diffusion 3 Medium,stablediffusion-medium-unknown-3-unknown-unknown-false-unknown-false,,,,3.5000000000000004,350.0,3.5000000000000004,,,,,,,,
Stable Diffusion 3 Large,stablediffusion-large-unknown-3-unknown-unknown-false-unknown-false,,,,6.5,650.0,6.5,,,,,,,,
Stable Diffusion 3 Large Turbo,stablediffusion-large-turbo-3-unknown-unknown-false-unknown-false,,,,4.0,400.0,4.0,,,,,,,,
Stable Image Ultra,stableimage-ultra-unknown-1-unknown-unknown-false-unknown-false,,,,,,8.0,800.0,,,,,,,
Stable Image Core,stableimage-core-unknown-1-unknown-unknown-false-unknown-false,,,,,,3.0,300.0,,,,,,,
Stable Diffusion 3 & 3.5 Large,stablediffusion-large-unknown-3-unknown-unknown-False,,,,,,,650.0,,,,,,,
Stable Diffusion 3 & 3.5 Large Turbo,stablediffusion-large-turbo-3-unknown-unknown-False,,,,,,,400.0,,,,,,,
Stable Diffusion 3 & 3.5 Medium,stablediffusion-medium-unknown-3-unknown-unknown-False,,,,,,,350.0,,,,,,,
