name,2024-06-20,2024-05-28,2024-05-10,2024-08-26,2024-03-23,2024-03-04,2024-01-17,2023-12-24,2023-11-29,2023-10-17,2024-10-21,2023-08-12,2023-07-18,2023-07-14,2024-07-03,2024-09-27
01-ai yi chat (34b),,,,,,,,,,,0.8,,,,,
airoboros gptq (33b),,,,,,,,,,,,,6.0,6.0,,
alpaca (7b),,,,,,,,,,,0.2,,1.0,1.0,,
carson ml318br,,,,,,,,,,,0.1,,,,,
chronos hermes (13b),,,,,,,,,,,0.3,,,,,
code llama instruct (13b),,,,,,,,,,,0.3,,,,,
code llama instruct (34b),,,,,,,,,,,0.8,,,,,
code llama instruct (70b),,,,,,,,,,,0.9,,,,,
code llama instruct (7b),,,,,,,,,,,0.2,,,,,
codellama (13b),0.3,0.3,0.3,,0.3,0.3,0.3,0.3,0.3,0.4,,,,,,
codellama (7b),0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,
codellama instruct (13b),0.3,0.3,0.3,,0.3,0.3,0.3,0.3,0.3,0.4,,,,,,
codellama instruct (7b),0.2,0.2,0.2,,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,
codellama python (13b),0.3,0.3,0.3,,0.3,0.3,0.3,0.3,0.3,0.4,,,,,,
codellama python (7b),0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,
dbrx instruct,,,,,,,,,,,0.1,,,,,
deepseek coder instruct (33b),,,,,,,,,,,0.8,,,,,
deepseek llm chat (67b),,,,,,,,,,,0.9,,,,,
dolly v2 (3b),,,,,,,,,,,,,1.0,1.0,,
dolly v2 (7b),,,,,,,,,,,,,3.0,3.0,,
dolphin 2.5 mixtral 8x7b,,,,,,,,,,,0.6,,,,,
falcon (40b),,,,,,,,,,,,,6.0,6.0,,
falcon (7b),,,,,,,,,,,,,1.0,1.0,,
falcon instruct (7b),,,,,,,,,,,,,1.0,1.0,,
flan t5 xxl (11b),,,,,,,,,,,,,3.0,3.0,,
gemma instruct (2b),,,,,,,,,,,0.1,,,,,
gemma instruct (7b),,,,,,,,,,,0.2,,,,,
gemma-2 instruct (27b),,,,,,,,,,,0.8,,,,,
gemma-2 instruct (9b),,,,,,,,,,,0.3,,,,,
genomic models,,,,,,,,,,,,,,,2.0,
genomic models 4.1b - 8b,,,,2.0,,,,,,,,,,,,
gpt-jt-moderation (6b),,,,,,,,,,,,,1.0,1.0,,
gpt-neox (20b),,,,,,,,,,,,,3.0,3.0,,
gpt-neoxt-chat-base (20b),,,,,,,,,,,,,3.0,3.0,,
gryphe mythomax l2 lite (13b),,,,,,,,,,,0.6,,,,,
guanaco (13b),,,,,,,,,,,0.3,,,,,
guanaco (33b),,,,,,,,,,,0.8,,6.0,6.0,,
guanaco (65b),,,,,,,,,,,0.9,,15.0,15.0,,
guanaco (7b),,,,,,,,,,,0.2,,1.0,1.0,,
hermes 2 theta llama-3 70b,,,,,,,,,,,0.9,,,,,
instructcodet5 (16b),,,,,,,,,,,,,3.0,3.0,,
koala (13b),,,,,,,,,,,0.3,,3.0,3.0,,
koala (7b),,,,,,,,,,,0.2,,1.0,1.0,,
llama (13b),,,,,,,,,,,,,3.0,3.0,,
llama (33b),,,,,,,,,,,,,6.0,6.0,,
llama (65b),,,,,,,,,,,,,15.0,15.0,,
llama 3 (70b),,0.9,0.9,,,,,,,,,,,,,
llama 3 (8b),0.2,0.2,0.2,,,,,,,,,,,,,
llama 3 instruct (70b),,0.9,0.9,0.0,,,,,,,,,,,,
llama 3 instruct (8b),0.2,0.2,0.2,0.0,,,,,,,,,,,,
llama 3 lite 3b,,,,,,,,,,,0.06,,,,,0.06
llama 3 lite 70b,,,,0.54,,,,,,,,,,,,0.54
llama 3 lite 8b,,,,0.1,,,,,,,0.1,,,,,0.1
llama 3 reference 70b,,,,0.9,,,,,,,,,,,,0.9
llama 3 reference 8b,,,,0.2,,,,,,,,,,,,0.2
llama 3 turbo 3b,,,,,,,,,,,0.06,,,,,0.06
llama 3 turbo 405b,,,,5.0,,,,,,,,,,,,
llama 3 turbo 70b,,,,0.88,,,,,,,,,,,,0.88
llama 3 turbo 8b,,,,0.18,,,,,,,,,,,,0.18
llama 3.1 instruct (70b) reference,,,,0.0,,,,,,,,,,,,
llama 3.1 instruct (8b) reference,,,,0.0,,,,,,,,,,,,
llama 3.1 turbo 405b,,,,,,,,,,,,,,,,3.5
llama-2 (13b),0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.4,,,,,,
llama-2 (70b),,0.9,0.9,0.0,0.9,0.9,0.9,0.9,0.9,1.0,,,,,,
llama-2 (70b) chat,,0.9,0.9,,0.9,0.9,0.9,0.9,0.9,1.0,,,,,,
llama-2 (7b),0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,
llama-2 (7b) 32k context,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,
llama-2 chat (13b),0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.4,0.3,,,,,
llama-2 chat (70b),,,,0.0,,,,,,,0.9,,,,,
llama-2 chat (7b),0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,
llama-3 70b instruct gradient 1048k,,,,,,,,,,,0.9,,,,,
llama3 8b chat hf int4,,,,,,,,,,,0.2,,,,,
llava-next (mistral-7b),,,,,,,,,,,0.6,,,,,
meta llama 3 70b instruct,,,,,,,,,,,0.88,,,,,
meta llama 3 70b instruct lite,,,,,,,,,,,0.54,,,,,
meta llama 3 70b instruct reference,,,,,,,,,,,0.9,,,,,
meta llama 3 70b instruct turbo,,,,,,,,,,,0.88,,,,,
meta llama 3 8b instruct,,,,,,,,,,,0.18,,,,,
meta llama 3 8b instruct lite,,,,,,,,,,,0.1,,,,,
meta llama 3 8b instruct reference,,,,,,,,,,,0.2,,,,,
meta llama 3 8b instruct turbo,,,,,,,,,,,0.18,,,,,
meta llama 3.1 405b instruct turbo,,,,,,,,,,,3.5,,,,,
meta llama 3.1 70b instruct,,,,,,,,,,,0.88,,,,,
meta llama 3.1 70b instruct turbo,,,,,,,,,,,0.88,,,,,
meta llama 3.1 8b instruct,,,,,,,,,,,0.18,,,,,
meta llama 3.1 8b instruct turbo,,,,,,,,,,,0.18,,,,,
meta llama 3.2 3b instruct turbo,,,,,,,,,,,0.06,,,,,
mistral (7b) instruct,,,,,,,,,,,0.2,,,,,
mistral (7b) instruct v0.2,,,,,,,,,,,0.2,,,,,
mistral (7b) instruct v0.3,,,,,,,,,,,0.2,,,,,
mistral instruct v0.1 (7b),0.2,0.2,0.2,0.0,0.2,0.2,,,,,,,,,,
mistral instruct v0.2 (7b),0.2,0.2,0.2,0.0,0.2,0.2,,,,,,,,,,
mistral v0.1 (7b),0.2,0.2,0.2,0.0,0.2,0.2,,,,,,,,,,
mixtral-8x22b instruct v0.1,,,,,,,,,,,0.6,,,,,
mixtral-8x7b (46.7b),0.9,0.9,0.9,0.0,0.9,0.9,,,,,,,,,,
mixtral-8x7b instruct (46.7b),0.9,0.9,0.9,0.0,0.9,0.9,,,,,,,,,,
mixtral-8x7b instruct v0.1,,,,,,,,,,,0.6,,,,,
mixture-of-experts 176.1b - 480b,,,,2.4,,,,,,,,,,,,
mixture-of-experts 56.1b - 176b,,,,1.2,,,,,,,,,,,,
mixture-of-experts models (176.1b - 480b),,,,,,,,,,,,,,,2.4,
mixture-of-experts models (56.1b - 176b),,,,,,,,,,,,,,,1.2,
mixture-of-experts models (up to 56b),,,,,,,,,,,,,,,0.6,
mixture-of-experts up to 56b,,,,0.6,,,,,,,,,,,,
mpt (30b),,,,,,,,,,,,,6.0,6.0,,
mpt-chat (30b),,,,,,,,,,,,,6.0,6.0,,
mpt-chat (7b),,,,,,,,,,,,,1.0,1.0,,
mpt-instruct (30b),,,,,,,,,,,,,6.0,6.0,,
mythomax-l2 (13b),,,,,,,,,,,0.6,,,,,
nous capybara v1.9 (7b),,,,,,,,,,,0.2,,,,,
nous hermes (13b),,,,,,,,,,,,,3.0,3.0,,
nous hermes 2 - mistral dpo (7b),,,,,,,,,,,0.2,,,,,
nous hermes 2 - mixtral 8x7b-dpo,,,,,,,,,,,0.6,,,,,
nous hermes 2 - mixtral 8x7b-sft,,,,,,,,,,,0.6,,,,,
nous hermes llama-2 (13b),,,,,,,,,,,0.3,,,,,
nous hermes llama-2 (70b),,,,,,,,,,,0.9,,,,,
nous hermes llama-2 (7b),,,,,,,,,,,0.2,,,,,
nous-hermes-2 mixtral 8x7b-dpo (46.7b),0.9,0.9,0.9,0.0,0.9,0.9,,,,,,,,,,
nous-hermes-2 mixtral 8x7b-sft (46.7b),0.9,0.9,0.9,0.0,0.9,0.9,,,,,,,,,,
olmo instruct (7b),,,,,,,,,,,0.2,,,,,
open-assistant llama sft-6 (30b),,,,,,,,,,,,,6.0,6.0,,
open-assistant pythia reward based (7b),,,,,,,,,,,,,1.0,1.0,,
open-assistant pythia sft-4 (12b),,,,,,,,,,,,,3.0,3.0,,
open-assistant stablelm sft-7 (7b),,,,,,,,,,,,,1.0,1.0,,
openchat 3.5,,,,,,,,,,,0.1,,,,,
openhermes 2.5 mistral (7b),,,,0.0,,,,,,,,,,,,
openhermes 2.5 mistral 7b,0.2,,,,,,,,,,,,,,,
openhermes-2-mistral (7b),,,,,,,,,,,0.2,,,,,
openhermes-2.5-mistral (7b),,,,,,,,,,,0.2,,,,,
openorca mistral (7b) 8k,,,,,,,,,,,0.2,,,,,
platypus2 instruct (70b),,,,,,,,,,,0.9,,,,,
pythia chat (7b),,0.2,0.2,,0.2,0.2,0.2,0.2,0.2,,,,,,,
pythia-chat-base (7b),,,,,,,,,,,,,1.0,1.0,,
qwen 1.5 chat (0.5b),,,,,,,,,,,0.1,,,,,
qwen 1.5 chat (1.8b),,,,,,,,,,,0.1,,,,,
qwen 1.5 chat (110b),,,,,,,,,,,1.8,,,,,
