name,id_name,2024-06-20,2024-05-28,2024-05-10,2024-03-23,2024-03-04,2024-01-17,2023-12-24,2023-11-29,2023-10-17,2023-08-12,2023-07-18,2023-07-14,2024-07-03,2024-08-26,2024-09-27,2024-10-21
01-ai Yi Chat (34B),yi-unknown-unknown-unknown-unknown-34-unknown-chat-false,,,,,,,,,,,,,,,,0.8
Alpaca (7B),alpaca-unknown-unknown-unknown-unknown-7-unknown-unknown-false,,,,,,,,,,,,,,,,0.2
Chronos Hermes (13B),chronos-hermes-unknown-unknown-unknown-13-unknown-unknown-false,,,,,,,,,,,,,,,,0.3
Code Llama Instruct (13B),llama-unknown-unknown-unknown-unknown-13-unknown-instruct-false,,,,,,,,,,,,,,,,0.3
Code Llama Instruct (34B),llama-unknown-unknown-unknown-unknown-34-unknown-instruct-false,,,,,,,,,,,,,,,,0.8
Code Llama Instruct (70B),llama-unknown-unknown-unknown-unknown-70-unknown-instruct-false,,,,,,,,,,,,,,,,0.9
Code Llama Instruct (7B),llama-unknown-unknown-unknown-unknown-7-unknown-instruct-false,,,,,,,,,,,,,,,,0.2
CodeLlama (13B),llama-unknown-unknown-unknown-unknown-13-unknown-code-false,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,,,,,,,
CodeLlama (7B),codellama-unknown-unknown-unknown-unknown-7-unknown-code-false,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,
CodeLlama Instruct (13B),codellama-unknown-instruct-unknown-unknown-13-unknown-code-false,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,,,,,,,
CodeLlama Instruct (7B),codellama-unknown-instruct-unknown-unknown-7-unknown-code-false,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,
CodeLlama Python (13B),codellama-unknown-python-python-unknown-13-unknown-code-false,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,,,,,,,
CodeLlama Python (7B),codellama-unknown-python-unknown-unknown-7-unknown-code-false,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,
DBRX Instruct,dbrx-unknown-unknown-unknown-unknown-unknown-unknown-instruct-false,,,,,,,,,,,,,,,,0.1
DeepSeek LLM Chat (67B),deepseek-unknown-unknown-unknown-unknown-67-unknown-chat-false,,,,,,,,,,,,,,,,0.9
Deepseek Coder Instruct (33B),deepseek-unknown-instruct-unknown-33-unknown-unknown-unknown-false,,,,,,,,,,,,,,,,0.8
Dolphin 2.5 Mixtral 8x7b,dolphin-mixtral-unknown-2.5-unknown-8x7-unknown-unknown-false,,,,,,,,,,,,,,,,0.6
Gemma Instruct (2B),gemma-unknown-unknown-unknown-unknown-2-unknown-instruct-false,,,,,,,,,,,,,,,,0.1
Gemma Instruct (7B),gemma-unknown-unknown-unknown-unknown-7-unknown-instruct-false,,,,,,,,,,,,,,,,0.2
Gemma-2 Instruct (27B),gemma-unknown-unknown-2-unknown-27-unknown-instruct-false,,,,,,,,,,,,,,,,0.8
