name,2024-06-20,2024-05-28,2024-05-10,2024-03-23,2024-03-04,2024-01-17,2023-12-24,2023-11-29,2023-10-17,2023-08-12,2023-07-18,2023-07-14,2024-07-03,2024-08-26,2024-09-27,2024-10-21
01-ai Yi Chat (34B),,,,,,,,,,,,,,,,0.8
Alpaca (7B),,,,,,,,,,,,,,,,0.2
Chronos Hermes (13B),,,,,,,,,,,,,,,,0.3
Code Llama Instruct (13B),,,,,,,,,,,,,,,,0.3
Code Llama Instruct (34B),,,,,,,,,,,,,,,,0.8
Code Llama Instruct (70B),,,,,,,,,,,,,,,,0.9
Code Llama Instruct (7B),,,,,,,,,,,,,,,,0.2
CodeLlama (13B),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,,,,,,,
CodeLlama (7B),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,
CodeLlama Instruct (13B),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,,,,,,,
CodeLlama Instruct (7B),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,
CodeLlama Python (13B),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,,,,,,,
CodeLlama Python (7B),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,
DBRX Instruct,,,,,,,,,,,,,,,,0.1
DeepSeek LLM Chat (67B),,,,,,,,,,,,,,,,0.9
Deepseek Coder Instruct (33B),,,,,,,,,,,,,,,,0.8
Dolphin 2.5 Mixtral 8x7b,,,,,,,,,,,,,,,,0.6
Gemma Instruct (2B),,,,,,,,,,,,,,,,0.1
Gemma Instruct (7B),,,,,,,,,,,,,,,,0.2
Gemma-2 Instruct (27B),,,,,,,,,,,,,,,,0.8
Gemma-2 Instruct (9B),,,,,,,,,,,,,,,,0.3
Gryphe MythoMax L2 Lite (13B),,,,,,,,,,,,,,,,0.6
Guanaco (13B),,,,,,,,,,,,,,,,0.3
Guanaco (33B),,,,,,,,,,,,,,,,0.8
Guanaco (65B),,,,,,,,,,,,,,,,0.9
Guanaco (7B),,,,,,,,,,,,,,,,0.2
Hermes 2 Theta Llama-3 70B,,,,,,,,,,,,,,,,0.9
Koala (13B),,,,,,,,,,,,,,,,0.3
Koala (7B),,,,,,,,,,,,,,,,0.2
LLaMA-2 Chat (13B),,,,,,,,,,,,,,,,0.3
LLaMA-2 Chat (70B),,,,,,,,,,,,,,,,0.9
LLaMA-2 Chat (7B),,,,,,,,,,,,,,,,0.2
LLaVa-Next (Mistral-7B),,,,,,,,,,,,,,,,0.6
Llama 3 (70B),,0.9,0.9,,,,,,,,,,,,,
Llama 3 (8B),0.2,0.2,0.2,,,,,,,,,,,,,
Llama 3 Instruct (70B),,0.9,0.9,,,,,,,,,,,,,
Llama 3 Instruct (8B),0.2,0.2,0.2,,,,,,,,,,,,,
Llama-2 (13B),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,,,,,,,
Llama-2 (70B),,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,,,,,,,
Llama-2 (70B) Chat,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,,,,,,,
Llama-2 (7B),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,
Llama-2 (7B) 32K Context,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,
Llama-2 Chat (13B),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,,,,,,,
Llama-2 Chat (7B),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,
Llama-3 70B Instruct Gradient 1048K,,,,,,,,,,,,,,,,0.9
Llama3 8B Chat HF INT4,,,,,,,,,,,,,,,,0.2
Meta Llama 3 70B Instruct,,,,,,,,,,,,,,,,0.88
Meta Llama 3 70B Instruct Lite,,,,,,,,,,,,,,,,0.54
Meta Llama 3 70B Instruct Reference,,,,,,,,,,,,,,,,0.9
Meta Llama 3 70B Instruct Turbo,,,,,,,,,,,,,,,,0.88
Meta Llama 3 8B Instruct,,,,,,,,,,,,,,,,0.18
Meta Llama 3 8B Instruct Lite,,,,,,,,,,,,,,,,0.1
Meta Llama 3 8B Instruct Reference,,,,,,,,,,,,,,,,0.2
Meta Llama 3 8B Instruct Turbo,,,,,,,,,,,,,,,,0.18
Meta Llama 3.1 405B Instruct Turbo,,,,,,,,,,,,,,,,3.5
Meta Llama 3.1 70B Instruct,,,,,,,,,,,,,,,,0.88
Meta Llama 3.1 70B Instruct Turbo,,,,,,,,,,,,,,,,0.88
Meta Llama 3.1 8B Instruct,,,,,,,,,,,,,,,,0.18
Meta Llama 3.1 8B Instruct Turbo,,,,,,,,,,,,,,,,0.18
