name,id_name,2023-07-14,2023-07-18,2023-08-12,2023-11-29,2023-12-24,2024-01-17,2024-03-04,2024-03-23,2024-05-10,2024-05-28,2024-06-20,2024-10-21
"Analog Diffusion (100 steps, 1024x1024)",analogdiffusion-unknown-unknown-1-1024x1024-100-false-unknown-false,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Analog Diffusion (25 steps, 1024x1024)",analogdiffusion-unknown-unknown-1-1024x1024-25-false-unknown-false,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Analog Diffusion (50 steps, 1024x1024)",analogdiffusion-unknown-unknown-1-1024x1024-50-false-unknown-false,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"Analog Diffusion (75 steps, 1024x1024)",analogdiffusion-unknown-unknown-1-1024x1024-75-false-unknown-false,,,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004,3.5000000000000004
"Analog Diffusion (100 steps, 512x512)",analogdiffusion-unknown-unknown-1-512x512-100-false-unknown-false,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Analog Diffusion (25 steps, 512x512)",analogdiffusion-unknown-unknown-1-512x512-25-false-unknown-false,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Analog Diffusion (50 steps, 512x512)",analogdiffusion-unknown-unknown-1-512x512-50-false-unknown-false,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"Analog Diffusion (75 steps, 512x512)",analogdiffusion-unknown-unknown-1-512x512-75-false-unknown-false,,,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
Analog Diffusion,analogdiffusion-unknown-unknown-1-unknown-unknown-false-unknown-false,,,,,,,,,,,,
"ControlNet (100 steps, 1024x1024)",controlnet-unknown-unknown-1-1024x1024-100-false-unknown-false,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
