name,2024-09-27,2024-10-21
solar pro,0.0,0.0
solar mini,0.15,0.15
solar docvision,0.0,0.0
document parse,0.01,0.01
document ocr,0.0015,0.0015
translation,1.0,1.0
groundedness check,1.0,1.0
key information extraction - receipt,0.05,0.05
key information extraction - air waybill,0.15,0.15
key information extraction - bill of lading,0.15,0.15
key information extraction - shipping request,0.15,0.15
key information extraction - commercial invoice,0.15,0.15
key information extraction - packing list,0.15,0.15
key information extraction - export declaration certificate (kr),0.15,0.15
