name,id_name,2023-11-13,2023-07-14,2023-06-26,2024-07-03,2024-08-26,2024-10-21
CharGLM-3,charglm-unknown-unknown-3-unknown-unknown-unknown-unknown-false,,,,,,
CodeGeeX-4,codegeex-unknown-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,
Emohaa,emohaa-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,
GLM-4-0520,glm-unknown-unknown-4-0520-unknown-unknown-unknown-false,,,,,,
GLM-4-Air,glm-air-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,
GLM-4-AirX,glm-airx-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,
GLM-4-Flash,glm-flash-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,
GLM-4-FlashX,glm-flashx-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,
GLM-4-Long,glm-long-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,
GLM-4-Plus,glm-plus-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,
characterglm,characterglm-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,
charglm-3,charglm-unknown-unknown-3-unknown-unknown-unknown-unknown-false,,,,,,
chatglm-12b,chatglm-unknown-unknown-unknown-unknown-12-unknown-unknown-false,,,,,,
chatglm-130b,chatglm-unknown-unknown-unknown-unknown-130-unknown-unknown-false,,,,,,
chatglm-32b,chatglm-unknown-unknown-unknown-unknown-32-unknown-unknown-false,,,,,,
chatglm-66b,chatglm-unknown-unknown-unknown-unknown-66-unknown-unknown-false,,,,,,
chatglm-turbo,chatglm-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,
chatglm_turbo,chatglm-unknown-turbo-unknown-unknown-unknown-unknown-unknown-false,,,,,,
emohaa,emohaa-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,
glm-130b,glm-unknown-unknown-unknown-unknown-130-unknown-unknown-false,,,,,,
glm-175b,glm-unknown-unknown-unknown-unknown-175-unknown-unknown-false,,,,,,
glm-3 Turbo,glm-unknown-turbo-3-unknown-unknown-unknown-unknown-false,,,,,,
glm-4-0520,glm-unknown-unknown-4-0520-unknown-unknown-unknown-false,,,,,,
glm-4-air,glm-air-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,
glm-4-airx,glm-airx-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,
glm-4-alltools,glm-alltools-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,
glm-4-flash,glm-flash-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,
glm-4v,glm-unknown-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,
glm-6b,glm-unknown-unknown-unknown-unknown-6-unknown-unknown-false,,,,,,
