name,id_name,2023-11-13,2023-07-14,2023-06-26,2024-07-03,2024-08-26,2024-10-21
CharGLM-3,charglm-unknown-unknown-3-unknown-unknown-unknown-unknown-false,,,,,,2.25
CodeGeeX-4,codegeex-unknown-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,0.015
Emohaa,emohaa-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,2.25
GLM-4-0520,glm-unknown-unknown-4-0520-unknown-unknown-unknown-false,,,,,,15.0
GLM-4-Air,glm-air-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,0.15
GLM-4-AirX,glm-airx-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,1.5
GLM-4-Flash,glm-flash-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,0.0
GLM-4-FlashX,glm-flashx-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,0.015
GLM-4-Long,glm-long-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,0.15
GLM-4-Plus,glm-plus-unknown-4-unknown-unknown-unknown-unknown-false,,,,,,7.5
characterglm,characterglm-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,,,
charglm-3,charglm-unknown-unknown-3-unknown-unknown-unknown-unknown-false,,,,2.25,2.25,
chatglm-12b,chatglm-unknown-unknown-unknown-unknown-12-unknown-unknown-false,,0.3,12.0,,,
chatglm-130b,chatglm-unknown-unknown-unknown-unknown-130-unknown-unknown-false,,,,,,
chatglm-32b,chatglm-unknown-unknown-unknown-unknown-32-unknown-unknown-false,,0.3,15.0,,,
chatglm-66b,chatglm-unknown-unknown-unknown-unknown-66-unknown-unknown-false,,,,,,
chatglm-turbo,chatglm-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,0.75,,9.0,,,
chatglm_turbo,chatglm-unknown-turbo-unknown-unknown-unknown-unknown-unknown-false,,,,0.75,0.75,
emohaa,emohaa-unknown-unknown-unknown-unknown-unknown-unknown-unknown-false,,,,2.25,2.25,
glm-130b,glm-unknown-unknown-unknown-unknown-130-unknown-unknown-false,,,22.5,,,
glm-175b,glm-unknown-unknown-unknown-unknown-175-unknown-unknown-false,,,30.0,,,
glm-3 Turbo,glm-unknown-turbo-3-unknown-unknown-unknown-unknown-false,,,,39.75,39.75,
glm-4-0520,glm-unknown-unknown-4-0520-unknown-unknown-unknown-false,,,,15.0,15.0,
glm-4-air,glm-air-unknown-4-unknown-unknown-unknown-unknown-false,,,,0.15,0.15,
glm-4-airx,glm-airx-unknown-4-unknown-unknown-unknown-unknown-false,,,,1.5,1.5,
glm-4-alltools,glm-alltools-unknown-4-unknown-unknown-unknown-unknown-false,,,,15.0,15.0,
glm-4-flash,glm-flash-unknown-4-unknown-unknown-unknown-unknown-false,,,,0.015,0.015,
glm-4v,glm-unknown-unknown-4-unknown-unknown-unknown-unknown-false,,,,7.5,7.5,
glm-6b,glm-unknown-unknown-unknown-unknown-6-unknown-unknown-false,,,7.5,,,
